"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task"
1,135,0.0283,-8.5098,0.0283,-8.5098,528,395,0,-8.5,-8.4853,-0.014719,1,0,1,0,0,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.0366,-8.5151,0.0366,-8.5151,528,395,0,-8.5,-8.4853,-0.014719,1,0,20,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.0645,-8.5282,0.0645,-8.5282,528,395,0,-8.5,-8.4853,-0.014719,1,0,40,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.0883,-8.5387,0.0883,-8.5387,528,395,0,-8.5,-8.4853,-0.014719,1,0,60,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.1149,-8.5466,0.1149,-8.5466,528,395,0,-8.5,-8.4853,-0.014719,1,0,80,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.147,-8.5623,0.147,-8.5623,528,395,0,-8.5,-8.4853,-0.014719,1,0,100,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.1807,-8.5701,0.1807,-8.5701,528,395,0,-8.5,-8.4853,-0.014719,1,0,120,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.2228,-8.5831,0.2228,-8.5831,528,395,0,-8.5,-8.4853,-0.014719,1,0,140,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.2524,-8.5882,0.2524,-8.5882,528,395,0,-8.5,-8.4853,-0.014719,1,0,160,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.2722,-8.5829,0.2722,-8.5829,528,395,0,-8.5,-8.4853,-0.014719,1,0,180,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.285,-8.5776,0.285,-8.5776,528,395,0,-8.5,-8.4853,-0.014719,1,0,200,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3007,-8.5697,0.3007,-8.5697,528,395,0,-8.5,-8.4853,-0.014719,1,0,220,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3121,-8.5591,0.3121,-8.5591,528,395,0,-8.5,-8.4853,-0.014719,1,0,240,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3249,-8.5538,0.3249,-8.5538,528,395,0,-8.5,-8.4853,-0.014719,1,0,260,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3306,-8.5485,0.3306,-8.5485,528,395,0,-8.5,-8.4853,-0.014719,1,0,280,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3335,-8.5459,0.3335,-8.5459,528,395,0,-8.5,-8.4853,-0.014719,1,0,300,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3406,-8.5459,0.3406,-8.5459,528,395,0,-8.5,-8.4853,-0.014719,1,0,320,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3448,-8.5485,0.3448,-8.5485,528,395,0,-8.5,-8.4853,-0.014719,1,0,340,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3448,-8.5485,0.3448,-8.5485,528,395,0,-8.5,-8.4853,-0.014719,1,0,360,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3489,-8.5511,0.3489,-8.5511,528,395,0,-8.5,-8.4853,-0.014719,1,0,380,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3489,-8.5511,0.3489,-8.5511,528,395,0,-8.5,-8.4853,-0.014719,1,0,400,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3489,-8.5511,0.3489,-8.5511,528,395,0,-8.5,-8.4853,-0.014719,1,0,420,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3448,-8.5485,0.3448,-8.5485,528,395,0,-8.5,-8.4853,-0.014719,1,0,440,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3489,-8.5511,0.3489,-8.5511,528,395,0,-8.5,-8.4853,-0.014719,1,0,460,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3489,-8.5511,0.3489,-8.5511,528,395,0,-8.5,-8.4853,-0.014719,1,0,481,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3489,-8.5511,0.3489,-8.5511,528,395,0,-8.5,-8.4853,-0.014719,1,0,500,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3531,-8.5537,0.3531,-8.5537,528,395,0,-8.5,-8.4853,-0.014719,1,0,520,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3531,-8.5537,0.3531,-8.5537,528,395,0,-8.5,-8.4853,-0.014719,1,0,540,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3531,-8.5537,0.3531,-8.5537,528,395,0,-8.5,-8.4853,-0.014719,1,0,560,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3531,-8.5537,0.3531,-8.5537,528,395,0,-8.5,-8.4853,-0.014719,1,0,580,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,600,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,620,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,640,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,660,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,680,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,700,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,720,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,741,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,760,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,780,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,800,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,820,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,840,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,860,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,880,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3573,-8.5563,0.3573,-8.5563,528,395,0,-8.5,-8.4853,-0.014719,1,0,900,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3615,-8.5589,0.3615,-8.5589,528,395,0,-8.5,-8.4853,-0.014719,1,0,921,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3615,-8.5589,0.3615,-8.5589,528,395,0,-8.5,-8.4853,-0.014719,1,0,940,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3615,-8.5589,0.3615,-8.5589,528,395,0,-8.5,-8.4853,-0.014719,1,0,960,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3644,-8.5562,0.3644,-8.5562,528,395,0,-8.5,-8.4853,-0.014719,1,0,980,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3644,-8.5562,0.3644,-8.5562,528,395,0,-8.5,-8.4853,-0.014719,1,0,1000,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3644,-8.5562,0.3644,-8.5562,528,395,0,-8.5,-8.4853,-0.014719,1,0,1020,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3602,-8.5536,0.3602,-8.5536,528,395,0,-8.5,-8.4853,-0.014719,1,0,1040,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3602,-8.5536,0.3602,-8.5536,528,395,0,-8.5,-8.4853,-0.014719,1,0,1060,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3602,-8.5536,0.3602,-8.5536,528,395,0,-8.5,-8.4853,-0.014719,1,0,1080,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3602,-8.5536,0.3602,-8.5536,528,395,0,-8.5,-8.4853,-0.014719,1,0,1100,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3602,-8.5536,0.3602,-8.5536,528,395,0,-8.5,-8.4853,-0.014719,1,0,1120,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3602,-8.5536,0.3602,-8.5536,528,395,0,-8.5,-8.4853,-0.014719,1,0,1140,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3602,-8.5536,0.3602,-8.5536,528,395,0,-8.5,-8.4853,-0.014719,1,0,1160,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.356,-8.551,0.356,-8.551,528,395,0,-8.5,-8.4853,-0.014719,1,0,1181,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.356,-8.551,0.356,-8.551,528,395,0,-8.5,-8.4853,-0.014719,1,0,1200,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3589,-8.5484,0.3589,-8.5484,528,395,0,-8.5,-8.4853,-0.014719,1,0,1221,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.3589,-8.5484,0.3589,-8.5484,528,395,0,-8.5,-8.4853,-0.014719,1,0,1240,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.363,-8.551,0.363,-8.551,528,395,0,-8.5,-8.4853,-0.014719,1,0,1260,0,1,0,0,"ap_1301","align_explicit_train_selected"
1,135,0.363,-8.551,0.363,-8.551,528,395,0,-8.5,-8.4853,-0.014719,1,0,1280,0,1,0,0,"ap_1301","align_explicit_train_selected"
