"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task"
1,45,0.029,-8.5414,0.029,-8.5414,528,395,0,-8.5,8.4853,-0.014719,1,0,1,1,0,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.0374,-8.5466,0.0374,-8.5466,528,395,0,-8.5,8.4853,-0.014719,1,0,20,1,0,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.0582,-8.5597,0.0582,-8.5597,528,395,0,-8.5,8.4853,-0.014719,1,0,40,1,0,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.0749,-8.5702,0.0749,-8.5702,528,395,0,-8.5,8.4853,-0.014719,1,0,60,1,0,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.0958,-8.5833,0.0958,-8.5833,528,395,0,-8.5,8.4853,-0.014719,1,0,80,1,0,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.1238,-8.5964,0.1238,-8.5964,528,395,0,-8.5,8.4853,-0.014719,1,0,100,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.1559,-8.6121,0.1559,-8.6121,528,395,0,-8.5,8.4853,-0.014719,1,0,120,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.1881,-8.6278,0.1881,-8.6278,528,395,0,-8.5,8.4853,-0.014719,1,0,140,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.2106,-8.6329,0.2106,-8.6329,528,395,0,-8.5,8.4853,-0.014719,1,0,160,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.2289,-8.6355,0.2289,-8.6355,528,395,0,-8.5,8.4853,-0.014719,1,0,180,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.2472,-8.6381,0.2472,-8.6381,528,395,0,-8.5,8.4853,-0.014719,1,0,200,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.2725,-8.6406,0.2725,-8.6406,528,395,0,-8.5,8.4853,-0.014719,1,0,220,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.2908,-8.6431,0.2908,-8.6431,528,395,0,-8.5,8.4853,-0.014719,1,0,240,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3078,-8.6405,0.3078,-8.6405,528,395,0,-8.5,8.4853,-0.014719,1,0,260,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3206,-8.6352,0.3206,-8.6352,528,395,0,-8.5,8.4853,-0.014719,1,0,280,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3348,-8.6351,0.3348,-8.6351,528,395,0,-8.5,8.4853,-0.014719,1,0,300,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3531,-8.6376,0.3531,-8.6376,528,395,0,-8.5,8.4853,-0.014719,1,0,320,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3601,-8.6376,0.3601,-8.6376,528,395,0,-8.5,8.4853,-0.014719,1,0,340,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3601,-8.6376,0.3601,-8.6376,528,395,0,-8.5,8.4853,-0.014719,1,0,360,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3588,-8.6324,0.3588,-8.6324,528,395,0,-8.5,8.4853,-0.014719,1,0,380,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3546,-8.6298,0.3546,-8.6298,528,395,0,-8.5,8.4853,-0.014719,1,0,400,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3504,-8.6272,0.3504,-8.6272,528,395,0,-8.5,8.4853,-0.014719,1,0,420,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3392,-8.6246,0.3392,-8.6246,528,395,0,-8.5,8.4853,-0.014719,1,0,440,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3392,-8.6246,0.3392,-8.6246,528,395,0,-8.5,8.4853,-0.014719,1,0,460,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.335,-8.622,0.335,-8.622,528,395,0,-8.5,8.4853,-0.014719,1,0,480,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3363,-8.6272,0.3363,-8.6272,528,395,0,-8.5,8.4853,-0.014719,1,0,500,1,1,0,0,"nm_3009","align_explicit_train_selected"
1,45,0.3392,-8.6246,0.3392,-8.6246,528,395,0,-8.5,8.4853,-0.014719,1,0,520,1,1,0,0,"nm_3009","align_explicit_train_selected"
