"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
4,90,1.5811,-4.1724,1.5811,-4.1724,528,395,0,-8.5,0,3.5,1,0,762,1,0,1,1,"th_0710","align_explicit_train_selected",12,90,4.3276,69.9300914159999,20.0699085840001,FALSE,"th_0710"
5,135,-1.8416,-6.5541,-1.8416,-6.5541,528,395,0,-8.5,-8.4853,-0.014719,1,0,140,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,1.9459,133.422590127585,1.57740987241482,FALSE,"th_0710"
6,45,1.733,-6.8906,1.733,-6.8906,528,395,0,-8.5,8.4853,-0.014719,1,0,121,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,1.6094,42.8822005307284,2.11779946927157,FALSE,"th_0710"
8,45,1.6254,-4.7702,1.6254,-4.7702,528,395,0,-8.5,8.4853,-0.014719,1,0,240,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,3.7298,66.4530324810425,-21.4530324810425,FALSE,"th_0710"
9,90,0.9387,-4.489,0.9387,-4.489,528,395,0,-8.5,0,3.5,1,0,161,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,4.011,76.8280516838104,13.1719483161896,FALSE,"th_0710"
10,90,0.0909,-5.0982,0.0909,-5.0982,528,395,0,-8.5,0,3.5,1,0,160,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,3.4018,88.4693552513629,1.53064474863713,FALSE,"th_0710"
11,45,1.5114,-5.4905,1.5114,-5.4905,528,395,0,-8.5,8.4853,-0.014719,1,0,180,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,3.0095,63.3337545868695,-18.3337545868695,FALSE,"th_0710"
14,45,2.8339,-4.1304,2.8339,-4.1304,528,395,0,-8.5,8.4853,-0.014719,1,0,180,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,4.3696,57.0346122351073,-12.0346122351073,FALSE,"th_0710"
15,90,1.1373,-3.3179,1.1373,-3.3179,528,395,0,-8.5,0,3.5,1,0,180,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,5.1821,77.6217129186884,12.3782870813116,FALSE,"th_0710"
16,90,1.1297,-3.7257,1.1297,-3.7257,528,395,0,-8.5,0,3.5,1,0,221,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,4.7743,76.6874607644702,13.3125392355298,FALSE,"th_0710"
17,135,-2.9416,-3.9933,-2.9416,-3.9933,528,395,0,-8.5,-8.4853,-0.014719,1,0,460,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,4.5067,123.133170311329,11.8668296886712,FALSE,"th_0710"
18,45,3.892,-4.1509,3.892,-4.1509,528,395,0,-8.5,8.4853,-0.014719,1,0,520,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,4.3491,48.1747088178378,-3.17470881783782,FALSE,"th_0710"
19,45,3.0708,-4.4189,3.0708,-4.4189,528,395,0,-8.5,8.4853,-0.014719,1,0,500,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,4.0811,53.0405805760844,-8.04058057608444,FALSE,"th_0710"
20,90,0.4117,-4.1527,0.4117,-4.1527,528,395,0,-8.5,0,3.5,1,0,460,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,4.3473,84.590083337272,5.40991666272798,FALSE,"th_0710"
22,45,4.0817,-3.5875,4.0817,-3.5875,528,395,0,-8.5,8.4853,-0.014719,1,0,561,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,4.9125,50.2774720373889,-5.27747203738894,FALSE,"th_0710"
23,90,0.4248,-3.5331,0.4248,-3.5331,528,395,0,-8.5,0,3.5,1,0,480,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,4.9669,85.1116065859242,4.88839341407578,FALSE,"th_0710"
24,135,-2.0609,-4.8696,-2.0609,-4.8696,528,395,0,-8.5,-8.4853,-0.014719,1,0,380,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,3.6304,119.582645490538,15.4173545094619,FALSE,"th_0710"
25,135,-3.3601,-4.3826,-3.3601,-4.3826,528,395,0,-8.5,-8.4853,-0.014719,1,0,360,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,4.1174,129.2169644236,5.78303557640035,FALSE,"th_0710"
26,45,5.2062,-3.6711,5.2062,-3.6711,528,395,0,-8.5,8.4853,-0.014719,1,0,460,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,4.8289,42.8468057222921,2.15319427770786,FALSE,"th_0710"
27,90,0.6797,-3.4728,0.6797,-3.4728,528,395,0,-8.5,0,3.5,1,0,400,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,5.0272,82.3000459736894,7.69995402631056,FALSE,"th_0710"
28,90,0.3019,-3.5687,0.3019,-3.5687,528,395,0,-8.5,0,3.5,1,0,360,1,1,0,1,"th_0710","align_explicit_train_selected",12,90,4.9313,86.4966573415147,3.50334265848528,FALSE,"th_0710"
29,45,4.0375,-5.5845,4.0375,-5.5845,528,395,0,-8.5,8.4853,-0.014719,1,0,480,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,44.9999358525315,2.9155,35.8332486357757,9.1667513642243,FALSE,"th_0710"
30,135,-3.2591,-5.3301,-3.2591,-5.3301,528,395,0,-8.5,-8.4853,-0.014719,1,0,540,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,3.1699,135.794906769224,-0.794906769224298,FALSE,"th_0710"
31,135,-2.7505,-6.2384,-2.7505,-6.2384,528,395,0,-8.5,-8.4853,-0.014719,1,0,440,1,1,0,1,"th_0710","align_explicit_train_selected",8.485281,135.000064147469,2.2616,140.571231144118,-5.57123114411829,FALSE,"th_0710"
