"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task"
1,45,0.1295,-8.5912,0.1295,-8.5912,528,395,0,-8.5,8.4853,-0.014719,1,0,1,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.163,-8.6121,0.163,-8.6121,528,395,0,-8.5,8.4853,-0.014719,1,0,20,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.2386,-8.646,0.2386,-8.646,528,395,0,-8.5,8.4853,-0.014719,1,0,40,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.3241,-8.6771,0.3241,-8.6771,528,395,0,-8.5,8.4853,-0.014719,1,0,60,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.3987,-8.6924,0.3987,-8.6924,528,395,0,-8.5,8.4853,-0.014719,1,0,80,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.4652,-8.6894,0.4652,-8.6894,528,395,0,-8.5,8.4853,-0.014719,1,0,100,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.5164,-8.6681,0.5164,-8.6681,528,395,0,-8.5,8.4853,-0.014719,1,0,120,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.562,-8.639,0.562,-8.639,528,395,0,-8.5,8.4853,-0.014719,1,0,140,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.6076,-8.6098,0.6076,-8.6098,528,395,0,-8.5,8.4853,-0.014719,1,0,160,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.6545,-8.5857,0.6545,-8.5857,528,395,0,-8.5,8.4853,-0.014719,1,0,180,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.6998,-8.5696,0.6998,-8.5696,528,395,0,-8.5,8.4853,-0.014719,1,0,200,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.7353,-8.5561,0.7353,-8.5561,528,395,0,-8.5,8.4853,-0.014719,1,0,220,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.7594,-8.5401,0.7594,-8.5401,528,395,0,-8.5,8.4853,-0.014719,1,0,240,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.7779,-8.5294,0.7779,-8.5294,528,395,0,-8.5,8.4853,-0.014719,1,0,260,1,1,0,0,"rd_3105","align_explicit_train_selected"
1,45,0.7906,-8.524,0.7906,-8.524,528,395,0,-8.5,8.4853,-0.014719,1,0,280,1,1,0,0,"rd_3105","align_explicit_train_selected"
