"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
1,135,-2.0152,-7.2931,-2.0152,-7.2931,528,395,0,-8.5,-8.4853,-0.014719,1,0,1760,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,135.000064147469,1.2069,149.082676770354,-14.0826767703543,FALSE,"bd_0707"
3,45,1.4238,-6.9927,1.4238,-6.9927,528,395,0,-8.5,8.4853,-0.014719,1,0,160,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,1.5073,46.6317778392766,-1.63177783927664,FALSE,"bd_0707"
5,90,-0.1433,-5.5121,-0.1433,-5.5121,528,395,0,-8.5,0,3.5,1,0,180,1,1,0,1,"bd_0707","align_explicit_train_selected",12,90,2.9879,92.7458076584251,-2.74580765842505,FALSE,"bd_0707"
6,45,3.3069,-4.9551,3.3069,-4.9551,528,395,0,-8.5,8.4853,-0.014719,1,0,580,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,3.5449,46.989391863395,-1.98939186339499,FALSE,"bd_0707"
8,45,2.734,-6.1201,2.734,-6.1201,528,395,0,-8.5,8.4853,-0.014719,1,0,640,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,2.3799,41.0390105635663,3.96098943643372,FALSE,"bd_0707"
9,90,-0.2006,-3.4176,-0.2006,-3.4176,528,395,0,-8.5,0,3.5,1,0,640,1,1,0,1,"bd_0707","align_explicit_train_selected",12,90,5.0824,92.2602649462135,-2.26026494621348,FALSE,"bd_0707"
10,90,-0.7239,-5.1313,-0.7239,-5.1313,528,395,0,-8.5,0,3.5,1,0,680,1,1,0,1,"bd_0707","align_explicit_train_selected",12,90,3.3687,102.127856888184,-12.1278568881844,FALSE,"bd_0707"
11,135,-3.9696,-6.0868,-3.9696,-6.0868,528,395,0,-8.5,-8.4853,-0.014719,1,0,580,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,135.000064147469,2.4132,148.703737250102,-13.7037372501017,FALSE,"bd_0707"
12,45,2.6481,-6.2064,2.6481,-6.2064,528,395,0,-8.5,8.4853,-0.014719,1,0,740,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,2.2936,40.8968331783148,4.10316682168515,FALSE,"bd_0707"
13,45,3.4278,-5.0314,3.4278,-5.0314,528,395,0,-8.5,8.4853,-0.014719,1,0,760,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,3.4686,45.3389653342978,-0.338965334297754,FALSE,"bd_0707"
14,135,-4.8119,-5.3029,-4.8119,-5.3029,528,395,0,-8.5,-8.4853,-0.014719,1,0,620,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,135.000064147469,3.1971,146.399328550004,-11.399328550004,FALSE,"bd_0707"
15,90,-0.9001,-3.2484,-0.9001,-3.2484,528,395,0,-8.5,0,3.5,1,0,640,1,1,0,1,"bd_0707","align_explicit_train_selected",12,90,5.2516,99.7257313417646,-9.72573134176457,FALSE,"bd_0707"
16,90,-0.4354,-4.2589,-0.4354,-4.2589,528,395,0,-8.5,0,3.5,1,0,661,1,1,0,1,"bd_0707","align_explicit_train_selected",12,90,4.2411,95.8615668140737,-5.86156681407367,FALSE,"bd_0707"
17,135,-3.9185,-5.4679,-3.9185,-5.4679,528,395,0,-8.5,-8.4853,-0.014719,1,0,580,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,135.000064147469,3.0321,142.267618558903,-7.26761855890334,FALSE,"bd_0707"
18,45,3.0252,-5.2645,3.0252,-5.2645,528,395,0,-8.5,8.4853,-0.014719,1,0,680,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,3.2355,46.9238701214324,-1.92387012143237,FALSE,"bd_0707"
19,45,3.8798,-5.1633,3.8798,-5.1633,528,395,0,-8.5,8.4853,-0.014719,1,0,580,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,3.3367,40.6961422522444,4.3038577477556,FALSE,"bd_0707"
20,135,-3.5883,-6.2122,-3.5883,-6.2122,528,395,0,-8.5,-8.4853,-0.014719,1,0,520,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,135.000064147469,2.2878,147.479551807932,-12.4795518079315,FALSE,"bd_0707"
21,90,-0.1838,-2.8931,-0.1838,-2.8931,528,395,0,-8.5,0,3.5,1,0,641,1,1,0,1,"bd_0707","align_explicit_train_selected",12,90,5.6069,91.8775427644352,-1.87754276443525,FALSE,"bd_0707"
22,90,-0.4502,-4.1668,-0.4502,-4.1668,528,395,0,-8.5,0,3.5,1,0,600,1,1,0,1,"bd_0707","align_explicit_train_selected",12,90,4.3332,95.9314929475022,-5.93149294750216,FALSE,"bd_0707"
23,45,3.3218,-5.2286,3.3218,-5.2286,528,395,0,-8.5,8.4853,-0.014719,1,0,540,1,1,0,1,"bd_0707","align_explicit_train_selected",8.485281,44.9999358525315,3.2714,44.5620258687305,0.437974131269463,FALSE,"bd_0707"
