"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
2,90,0.5924,-4.1715,0.5924,-4.1715,528,395,0,-8.5,0,3.5,1,0,561,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.3285,82.2068961174803,7.7931038825197,FALSE,"hd_0310"
3,45,3.9769,-4.67,3.9769,-4.67,528,395,0,-8.5,8.4853,-0.014719,1,0,100,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.83,43.9220104196417,1.07798958035826,FALSE,"hd_0310"
6,90,0.8142,-3.6546,0.8142,-3.6546,528,395,0,-8.5,0,3.5,1,0,2761,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.8454,80.4613770191666,9.53862298083344,FALSE,"hd_0310"
7,45,2.3189,-5.5302,2.3189,-5.5302,528,395,0,-8.5,8.4853,-0.014719,1,0,120,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.9698,52.0163211421787,-7.01632114217875,FALSE,"hd_0310"
8,135,-6.6593,-3.2218,-6.6593,-3.2218,528,395,0,-8.5,-8.4853,-0.014719,1,0,2866,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,5.2782,141.599451185767,-6.59945118576735,FALSE,"hd_0310"
10,45,2.0144,-6.815,2.0144,-6.815,528,395,0,-8.5,8.4853,-0.014719,1,0,160,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,1.685,39.9117187531061,5.08828124689391,FALSE,"hd_0310"
12,135,-1.348,-7.2085,-1.348,-7.2085,528,395,0,-8.5,-8.4853,-0.014719,1,0,100,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,1.2915,136.22626150786,-1.22626150785962,FALSE,"hd_0310"
13,135,-1.1249,-7.8575,-1.1249,-7.8575,528,395,0,-8.5,-8.4853,-0.014719,1,0,100,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,0.6425,150.266638971085,-15.2666389710849,FALSE,"hd_0310"
16,90,-0.0876,-3.0521,-0.0876,-3.0521,528,395,0,-8.5,0,3.5,1,0,2581,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,5.4479,90.9212132717909,-0.921213271790947,FALSE,"hd_0310"
17,45,2.4705,-5.4128,2.4705,-5.4128,528,395,0,-8.5,8.4853,-0.014719,1,0,1400,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.0872,51.331818478563,-6.331818478563,FALSE,"hd_0310"
