"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
1,45,3.2753,-5.2449,3.2753,-5.2449,528,395,0,-8.5,8.4853,-0.014719,1,0,901,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.2551,44.8227717972996,0.177228202700384,FALSE,"br_3249"
2,135,-4.3579,-4.3815,-4.3579,-4.3815,528,395,0,-8.5,-8.4853,-0.014719,1,0,381,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,4.1185,136.61778163284,-1.61778163283964,FALSE,"br_3249"
3,90,-0.5016,-5.3081,-0.5016,-5.3081,528,395,0,-8.5,0,3.5,1,0,361,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,3.1919,98.930865379704,-8.93086537970399,FALSE,"br_3249"
4,45,3.2427,-4.8275,3.2427,-4.8275,528,395,0,-8.5,8.4853,-0.014719,1,0,241,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.6725,48.5565261601688,-3.55652616016884,FALSE,"br_3249"
5,90,0.257,-2.5771,0.257,-2.5771,528,395,0,-8.5,0,3.5,1,0,561,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.9229,87.5154426912094,2.48455730879056,FALSE,"br_3249"
6,135,-4.3995,-4.7102,-4.3995,-4.7102,528,395,0,-8.5,-8.4853,-0.014719,1,0,481,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.7898,139.257861661276,-4.25786166127574,FALSE,"br_3249"
7,45,3.2891,-4.6603,3.2891,-4.6603,528,395,0,-8.5,8.4853,-0.014719,1,0,641,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.8397,49.4165286593912,-4.41652865939118,FALSE,"br_3249"
8,90,0.1982,-3.1955,0.1982,-3.1955,528,395,0,-8.5,0,3.5,1,0,541,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.3045,87.8601671817495,2.13983281825053,FALSE,"br_3249"
9,135,-4.0928,-3.949,-4.0928,-3.949,528,395,0,-8.5,-8.4853,-0.014719,1,0,381,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,4.551,131.965642700844,3.03435729915614,FALSE,"br_3249"
11,90,0.0608,-3.9491,0.0608,-3.9491,528,395,0,-8.5,0,3.5,1,0,361,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,4.5509,89.2345742258417,0.765425774158302,FALSE,"br_3249"
