"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
1,90,-0.5237,-4.8241,-0.5237,-4.8241,528,395,0,-8.5,0,3.5,1,0,485,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,3.6759,98.1082795483124,-8.10827954831235,FALSE,"bw_3254"
3,45,2.9287,-4.488,2.9287,-4.488,528,395,0,-8.5,8.4853,-0.014719,1,0,401,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,4.012,53.8711148444276,-8.8711148444276,FALSE,"bw_3254"
4,45,4.3898,-4.8075,4.3898,-4.8075,528,395,0,-8.5,8.4853,-0.014719,1,0,461,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,3.6925,40.0690198627294,4.93098013727064,FALSE,"bw_3254"
5,90,-0.9104,-3.6244,-0.9104,-3.6244,528,395,0,-8.5,0,3.5,1,0,521,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.8756,100.576793867338,-10.5767938673377,FALSE,"bw_3254"
6,135,-3.9359,-5.1715,-3.9359,-5.1715,528,395,0,-8.5,-8.4853,-0.014719,1,0,421,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,3.3285,139.779568027008,-4.77956802700831,FALSE,"bw_3254"
7,135,-4.8061,-5.4354,-4.8061,-5.4354,528,395,0,-8.5,-8.4853,-0.014719,1,0,381,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,3.0646,147.476460844387,-12.476460844387,FALSE,"bw_3254"
8,90,-1.0388,-3.1967,-1.0388,-3.1967,528,395,0,-8.5,0,3.5,1,0,401,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,5.3033,101.082666000513,-11.0826660005132,FALSE,"bw_3254"
9,45,3.3543,-4.4315,3.3543,-4.4315,528,395,0,-8.5,8.4853,-0.014719,1,0,441,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,4.0685,50.495913296269,-5.49591329626904,FALSE,"bw_3254"
10,45,4.4887,-3.8318,4.4887,-3.8318,528,395,0,-8.5,8.4853,-0.014719,1,0,441,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,4.6682,46.1230083747228,-1.12300837472282,FALSE,"bw_3254"
11,90,-1.068,-4.3181,-1.068,-4.3181,528,395,0,-8.5,0,3.5,1,0,401,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.1819,104.326332345146,-14.3263323451458,FALSE,"bw_3254"
12,135,-4.0034,-5.1479,-4.0034,-5.1479,528,395,0,-8.5,-8.4853,-0.014719,1,0,361,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,3.3521,140.060114400508,-5.06011440050773,FALSE,"bw_3254"
13,90,-0.8446,-3.6833,-0.8446,-3.6833,528,395,0,-8.5,0,3.5,1,0,501,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.8167,99.9456056778018,-9.94560567780175,FALSE,"bw_3254"
