"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task"
1,90,0.0762,-8.5755,0.0762,-8.5755,528,395,0,-8.5,0,3.5,1,0,20,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.1193,-8.6069,0.1193,-8.6069,528,395,0,-8.5,0,3.5,1,0,40,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.1849,-8.6435,0.1849,-8.6435,528,395,0,-8.5,0,3.5,1,0,60,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.2396,-8.6643,0.2396,-8.6643,528,395,0,-8.5,0,3.5,1,0,80,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.3111,-8.6954,0.3111,-8.6954,528,395,0,-8.5,0,3.5,1,0,100,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.3757,-8.7135,0.3757,-8.7135,528,395,0,-8.5,0,3.5,1,0,120,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.4362,-8.7288,0.4362,-8.7288,528,395,0,-8.5,0,3.5,1,0,141,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.4928,-8.7285,0.4928,-8.7285,528,395,0,-8.5,0,3.5,1,0,161,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.5339,-8.7229,0.5339,-8.7229,528,395,0,-8.5,0,3.5,1,0,180,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.5681,-8.7044,0.5681,-8.7044,528,395,0,-8.5,0,3.5,1,0,200,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.5881,-8.6859,0.5881,-8.6859,528,395,0,-8.5,0,3.5,1,0,222,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.6082,-8.6674,0.6082,-8.6674,528,395,0,-8.5,0,3.5,1,0,240,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.6225,-8.6542,0.6225,-8.6542,528,395,0,-8.5,0,3.5,1,0,260,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.6397,-8.6383,0.6397,-8.6383,528,395,0,-8.5,0,3.5,1,0,280,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.6555,-8.6172,0.6555,-8.6172,528,395,0,-8.5,0,3.5,1,0,300,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.66,-8.5936,0.66,-8.5936,528,395,0,-8.5,0,3.5,1,0,321,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.6605,-8.5542,0.6605,-8.5542,528,395,0,-8.5,0,3.5,1,0,340,1,0,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.6553,-8.5201,0.6553,-8.5201,528,395,0,-8.5,0,3.5,1,0,360,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.6558,-8.4806,0.6558,-8.4806,528,395,0,-8.5,0,3.5,1,0,380,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.6605,-8.4437,0.6605,-8.4437,528,395,0,-8.5,0,3.5,1,0,400,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.6779,-8.4014,0.6779,-8.4014,528,395,0,-8.5,0,3.5,1,0,420,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.6941,-8.3406,0.6941,-8.3406,528,395,0,-8.5,0,3.5,1,0,441,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.7103,-8.2665,0.7103,-8.2665,528,395,0,-8.5,0,3.5,1,0,460,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.7351,-8.171,0.7351,-8.171,528,395,0,-8.5,0,3.5,1,0,481,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.7641,-8.0513,0.7641,-8.0513,528,395,0,-8.5,0,3.5,1,0,500,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.7861,-7.9046,0.7861,-7.9046,528,395,0,-8.5,0,3.5,1,0,520,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.8108,-7.728,0.8108,-7.728,528,395,0,-8.5,0,3.5,1,0,540,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.8366,-7.5158,0.8366,-7.5158,528,395,0,-8.5,0,3.5,1,0,560,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.8537,-7.2702,0.8537,-7.2702,528,395,0,-8.5,0,3.5,1,0,580,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.8522,-6.98,0.8522,-6.98,528,395,0,-8.5,0,3.5,1,0,601,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.8321,-6.658,0.8321,-6.658,528,395,0,-8.5,0,3.5,1,0,620,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.8142,-6.331,0.8142,-6.331,528,395,0,-8.5,0,3.5,1,0,641,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.7846,-5.9853,0.7846,-5.9853,528,395,0,-8.5,0,3.5,1,0,661,1,1,0,1,"ha_1501","align_explicit_train_selected"
1,90,0.7898,-5.6563,0.7898,-5.6563,528,395,0,-8.5,0,3.5,1,0,680,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.7971,-5.3364,0.7971,-5.3364,528,395,0,-8.5,0,3.5,1,0,700,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.8265,-5.0255,0.8265,-5.0255,528,395,0,-8.5,0,3.5,1,0,721,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.8604,-4.7212,0.8604,-4.7212,528,395,0,-8.5,0,3.5,1,0,741,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.908,-4.4207,0.908,-4.4207,528,395,0,-8.5,0,3.5,1,0,760,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.9627,-4.1242,0.9627,-4.1242,528,395,0,-8.5,0,3.5,1,0,780,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,1.0167,-3.8404,1.0167,-3.8404,528,395,0,-8.5,0,3.5,1,0,801,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,1.0685,-3.564,1.0685,-3.564,528,395,0,-8.5,0,3.5,1,0,820,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,1.1197,-3.3007,1.1197,-3.3007,528,395,0,-8.5,0,3.5,1,0,840,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,1.165,-3.0422,1.165,-3.0422,528,395,0,-8.5,0,3.5,1,0,860,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,1.202,-2.7914,1.202,-2.7914,528,395,0,-8.5,0,3.5,1,0,880,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,1.2113,-2.549,1.2113,-2.549,528,395,0,-8.5,0,3.5,1,0,900,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,1.1878,-2.3061,1.1878,-2.3061,528,395,0,-8.5,0,3.5,1,0,920,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,1.1389,-2.0776,1.1389,-2.0776,528,395,0,-8.5,0,3.5,1,0,941,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,1.0689,-1.8665,1.0689,-1.8665,528,395,0,-8.5,0,3.5,1,0,960,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.9843,-1.6729,0.9843,-1.6729,528,395,0,-8.5,0,3.5,1,0,980,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.8735,-1.4879,0.8735,-1.4879,528,395,0,-8.5,0,3.5,1,0,1000,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.7391,-1.3085,0.7391,-1.3085,528,395,0,-8.5,0,3.5,1,0,1021,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.5995,-1.1435,0.5995,-1.1435,528,395,0,-8.5,0,3.5,1,0,1041,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.4462,-0.9718,0.4462,-0.9718,528,395,0,-8.5,0,3.5,1,0,1060,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.2838,-0.8115,0.2838,-0.8115,528,395,0,-8.5,0,3.5,1,0,1080,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.1477,-0.6657,0.1477,-0.6657,528,395,0,-8.5,0,3.5,1,0,1100,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,0.0284,-0.5222,0.0284,-0.5222,528,395,0,-8.5,0,3.5,1,0,1120,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,-0.0779,-0.3783,-0.0779,-0.3783,528,395,0,-8.5,0,3.5,1,0,1141,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,-0.1651,-0.2339,-0.1651,-0.2339,528,395,0,-8.5,0,3.5,1,0,1160,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,-0.2296,-0.0922,-0.2296,-0.0922,528,395,0,-8.5,0,3.5,1,0,1180,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,-0.279,0.0528,-0.279,0.0528,528,395,0,-8.5,0,3.5,1,0,1200,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,-0.3189,0.2105,-0.3189,0.2105,528,395,0,-8.5,0,3.5,1,0,1221,1,1,0,0,"ha_1501","align_explicit_train_selected"
1,90,-0.3177,0.3653,-0.3177,0.3653,528,395,0,-8.5,0,3.5,1,0,1240,1,1,0,0,"ha_1501","align_explicit_train_selected"
