"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task"
1,90,5.4555,-21.242,5.4555,-21.242,528,395,0,-8.5,0,3.5,1,0,1,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4555,-21.242,5.4555,-21.242,528,395,0,-8.5,0,3.5,1,0,24,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4555,-21.242,5.4555,-21.242,528,395,0,-8.5,0,3.5,1,0,40,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4555,-21.242,5.4555,-21.242,528,395,0,-8.5,0,3.5,1,0,60,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4555,-21.242,5.4555,-21.242,528,395,0,-8.5,0,3.5,1,0,80,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4555,-21.242,5.4555,-21.242,528,395,0,-8.5,0,3.5,1,0,100,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.459,-21.24,5.459,-21.241,528,395,0,-8.5,0,3.5,1,0,120,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.459,-21.24,5.459,-21.241,528,395,0,-8.5,0,3.5,1,0,140,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.459,-21.24,5.459,-21.241,528,395,0,-8.5,0,3.5,1,0,160,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.459,-21.24,5.459,-21.241,528,395,0,-8.5,0,3.5,1,0,180,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.459,-21.24,5.459,-21.241,528,395,0,-8.5,0,3.5,1,0,200,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,220,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,240,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,261,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,280,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,300,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,320,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,340,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,360,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,380,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,400,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,420,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,440,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,460,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,480,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,500,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,520,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,540,1,0,0,0,"bs_1201","align_explicit_train_selected"
1,90,5.4542,-21.239,5.4542,-21.239,528,395,0,-8.5,0,3.5,1,0,560,1,0,0,0,"bs_1201","align_explicit_train_selected"
