Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
46	50	533.39314845	113.247960848	0.001653	-0.086357	528	395	0.0	-0.085	0	0	1	0	0
46	50	535.08319739	112.484502447	0.002171	-0.086591	528	395	0.0	-0.085	0	0	1	0	20
46	50	540.460032626	109.006525285	0.003819	-0.087657	528	395	0.0	-0.085	0	0	1	0	40
46	50	547.588907015	104.628058728	0.006004	-0.088999	528	395	0.0	-0.085	0	0	1	0	60
46	50	555.569331158	100.210440457	0.008450	-0.090353	528	395	0.0	-0.085	0	0	1	0	81
46	50	563.765089723	96.0048939641	0.010962	-0.091642	528	395	0.0	-0.085	0	0	1	0	100
46	50	572.362153344	92.1843393148	0.013597	-0.092813	528	395	0.0	-0.085	0	0	1	0	120
46	50	580.84502447	88.9053833605	0.016197	-0.093818	528	395	0.0	-0.085	0	0	1	0	140
46	50	588.234910277	87.1500815661	0.018462	-0.094356	528	395	0.0	-0.085	0	0	1	0	160
46	50	594.893964111	85.9820554649	0.020503	-0.094714	528	395	0.0	-0.085	0	0	1	0	180
46	50	600.717781403	85.7308319739	0.022288	-0.094791	528	395	0.0	-0.085	0	0	1	0	200
46	50	605.562805873	86.0473083197	0.023773	-0.094694	528	395	0.0	-0.085	0	0	1	0	220
46	50	608.67862969	87.4893964111	0.024728	-0.094252	528	395	0.0	-0.085	0	0	1	0	240
46	50	610.854812398	89.3262642741	0.025395	-0.093689	528	395	0.0	-0.085	0	0	1	0	260
46	50	612.427406199	91.2283849918	0.025877	-0.093106	528	395	0.0	-0.085	0	0	1	0	280
46	50	613.435562806	93.0326264274	0.026186	-0.092553	528	395	0.0	-0.085	0	0	1	0	300
46	50	613.885807504	94.7324632953	0.026324	-0.092032	528	395	0.0	-0.085	0	0	1	0	320
46	50	614.058727569	96.1712887439	0.026377	-0.091591	528	395	0.0	-0.085	0	0	1	0	341
46	50	613.817292007	97.4306688418	0.026303	-0.091205	528	395	0.0	-0.085	0	0	1	0	360
46	50	613.530179445	98.4355628059	0.026215	-0.090897	528	395	0.0	-0.085	0	0	1	0	380
