Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	50	527.895595432	118.72593801	-0.000032	-0.084678	528	395	0.0	-0.085	0	0	1	0	20
73	50	527.986949429	118.814029364	-0.000004	-0.084651	528	395	0.0	-0.085	0	0	1	0	24
73	50	528.081566069	118.898858075	0.000025	-0.084625	528	395	0.0	-0.085	0	0	1	0	40
73	50	528.267536705	119.07177814	0.000082	-0.084572	528	395	0.0	-0.085	0	0	1	0	60
73	50	528.414355628	119.414355628	0.000127	-0.084467	528	395	0.0	-0.085	0	0	1	0	80
73	50	528.600326264	119.587275693	0.000184	-0.084414	528	395	0.0	-0.085	0	0	1	0	100
73	50	528.884176183	119.84502447	0.000271	-0.084335	528	395	0.0	-0.085	0	0	1	0	120
73	50	529.48776509	120.187601958	0.000456	-0.084230	528	395	0.0	-0.085	0	0	1	0	140
73	50	530.610114192	121.221859706	0.000800	-0.083913	528	395	0.0	-0.085	0	0	1	0	160
73	50	532.564437194	122.601957586	0.001399	-0.083490	528	395	0.0	-0.085	0	0	1	0	180
73	50	535.72593801	125.10766721	0.002368	-0.082722	528	395	0.0	-0.085	0	0	1	0	200
73	50	540.30995106	128.32137031	0.003773	-0.081737	528	395	0.0	-0.085	0	0	1	0	221
73	50	546.8091354	132.520391517	0.005765	-0.080450	528	395	0.0	-0.085	0	0	1	0	241
73	50	554.704730832	138.331158238	0.008185	-0.078669	528	395	0.0	-0.085	0	0	1	0	260
73	50	564.371941272	145.091353997	0.011148	-0.076597	528	395	0.0	-0.085	0	0	1	0	280
73	50	576.280587276	153.10766721	0.014798	-0.074140	528	395	0.0	-0.085	0	0	1	0	301
73	50	589.024469821	162.402936378	0.018704	-0.071291	528	395	0.0	-0.085	0	0	1	0	320
73	50	603.292006525	172.846655791	0.023077	-0.068090	528	395	0.0	-0.085	0	0	1	0	340
73	50	618.261011419	184.823817292	0.027665	-0.064419	528	395	0.0	-0.085	0	0	1	0	360
73	50	634.032626427	197.838499184	0.032499	-0.060430	528	395	0.0	-0.085	0	0	1	0	380
73	50	650.838499184	211.760195759	0.037650	-0.056163	528	395	0.0	-0.085	0	0	1	0	401
73	50	666.982055465	226.89233279	0.042598	-0.051525	528	395	0.0	-0.085	0	0	1	0	420
73	50	683.628058728	241.933115824	0.047700	-0.046915	528	395	0.0	-0.085	0	0	1	0	440
73	50	699.115823817	256.859706362	0.052447	-0.042340	528	395	0.0	-0.085	0	0	1	0	460
73	50	713.709624796	270.902120718	0.056920	-0.038036	528	395	0.0	-0.085	0	0	1	0	481
