Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
46	50	527.295269168	116.497553018	-0.000216	-0.085361	528	395	0.0	-0.085	0	0	1	0	0
46	50	527.295269168	116.497553018	-0.000216	-0.085361	528	395	0.0	-0.085	0	0	1	0	21
46	50	527.01141925	116.239804241	-0.000303	-0.085440	528	395	0.0	-0.085	0	0	1	0	41
46	50	526.541598695	115.812398042	-0.000447	-0.085571	528	395	0.0	-0.085	0	0	1	0	60
46	50	525.980424144	115.296900489	-0.000619	-0.085729	528	395	0.0	-0.085	0	0	1	0	80
46	50	525.549755302	114.699836868	-0.000751	-0.085912	528	395	0.0	-0.085	0	0	1	0	101
46	50	524.799347471	114.014681892	-0.000981	-0.086122	528	395	0.0	-0.085	0	0	1	0	121
46	50	524.27406199	113.33278956	-0.001142	-0.086331	528	395	0.0	-0.085	0	0	1	0	141
46	50	523.615008157	112.732463295	-0.001344	-0.086515	528	395	0.0	-0.085	0	0	1	0	160
46	50	523.092985318	112.050570962	-0.001504	-0.086724	528	395	0.0	-0.085	0	0	1	0	180
46	50	522.567699837	111.36867863	-0.001665	-0.086933	528	395	0.0	-0.085	0	0	1	0	201
46	50	522.137030995	110.771615008	-0.001797	-0.087116	528	395	0.0	-0.085	0	0	1	0	220
46	50	521.938009788	110.174551387	-0.001858	-0.087299	528	395	0.0	-0.085	0	0	1	0	240
46	50	521.55954323	109.835236542	-0.001974	-0.087403	528	395	0.0	-0.085	0	0	1	0	260
46	50	542.789559543	158.386623165	0.004533	-0.072522	528	395	0.0	-0.085	0	0	1	0	1330
46	50	548.104404568	166.924959217	0.006162	-0.069905	528	395	0.0	-0.085	0	0	1	0	1350
46	50	549.592169657	169.068515498	0.006618	-0.069248	528	395	0.0	-0.085	0	0	1	0	1353
46	50	549.592169657	169.068515498	0.006618	-0.069248	528	395	0.0	-0.085	0	0	1	0	1356
46	50	566.378466558	197.270799347	0.011763	-0.060604	528	395	0.0	-0.085	0	0	1	0	1419
46	50	566.378466558	197.270799347	0.011763	-0.060604	528	395	0.0	-0.085	0	0	1	0	1422
46	50	567.504078303	199.371941272	0.012108	-0.059960	528	395	0.0	-0.085	0	0	1	0	1424
46	50	567.504078303	199.371941272	0.012108	-0.059960	528	395	0.0	-0.085	0	0	1	0	1427
46	50	568.717781403	201.57096248	0.012480	-0.059286	528	395	0.0	-0.085	0	0	1	0	1429
46	50	568.717781403	201.57096248	0.012480	-0.059286	528	395	0.0	-0.085	0	0	1	0	1432
46	50	570.061990212	203.681892333	0.012892	-0.058639	528	395	0.0	-0.085	0	0	1	0	1434
46	50	570.061990212	203.681892333	0.012892	-0.058639	528	395	0.0	-0.085	0	0	1	0	1436
46	50	571.448613377	205.616639478	0.013317	-0.058046	528	395	0.0	-0.085	0	0	1	0	1439
46	50	571.448613377	205.616639478	0.013317	-0.058046	528	395	0.0	-0.085	0	0	1	0	1441
46	50	572.7862969	207.737357259	0.013727	-0.057396	528	395	0.0	-0.085	0	0	1	0	1444
46	50	572.7862969	207.737357259	0.013727	-0.057396	528	395	0.0	-0.085	0	0	1	0	1446
46	50	573.676998369	209.851549755	0.014000	-0.056748	528	395	0.0	-0.085	0	0	1	0	1449
46	50	573.676998369	209.851549755	0.014000	-0.056748	528	395	0.0	-0.085	0	0	1	0	1451
46	50	574.603588907	212.243066884	0.014284	-0.056015	528	395	0.0	-0.085	0	0	1	0	1454
46	50	574.603588907	212.243066884	0.014284	-0.056015	528	395	0.0	-0.085	0	0	1	0	1456
46	50	575.709624796	214.367047308	0.014623	-0.055364	528	395	0.0	-0.085	0	0	1	0	1459
46	50	575.709624796	214.367047308	0.014623	-0.055364	528	395	0.0	-0.085	0	0	1	0	1461
46	50	576.67862969	216.585644372	0.014920	-0.054684	528	395	0.0	-0.085	0	0	1	0	1464
46	50	576.67862969	216.585644372	0.014920	-0.054684	528	395	0.0	-0.085	0	0	1	0	1466
46	50	577.644371941	218.804241436	0.015216	-0.054004	528	395	0.0	-0.085	0	0	1	0	1469
46	50	577.644371941	218.804241436	0.015216	-0.054004	528	395	0.0	-0.085	0	0	1	0	1471
46	50	578.789559543	220.758564437	0.015567	-0.053405	528	395	0.0	-0.085	0	0	1	0	1474
46	50	578.789559543	220.758564437	0.015567	-0.053405	528	395	0.0	-0.085	0	0	1	0	1476
