trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	122.89	130	0	0	-6.534	10.105	0.0068719	0.16267	1	12403	0
47	48.499	50	0	0	7.9769	9.016	7.4147	8.562	1	10325	1
48	88.855	90	0	0	0.2417	12.098	-0.54098	11.658	1	7536	1
49	147.48	130	0	0	-10.143	6.4668	-9.4971	5.4373	1	3760	1
50	36.949	50	0	0	9.6748	7.277	10.94	5.982	1	4394	1
51	99.386	90	0	0	-1.9627	11.873	-2.9467	11.199	1	3086	1
52	62.162	90	0	0	5.6229	10.648	4.342	10.884	1	3360	1
53	140.89	130	0	0	-9.343	7.5961	-9.6876	6.4693	1	2762	1
54	40.674	50	0	0	9.2668	7.9633	9.8205	6.6413	1	2899	1
55	133.9	130	0	0	-8.3703	8.6968	-8.6396	7.96	1	2978	1
56	53.573	50	0	0	7.2548	9.8304	6.6525	9.336	1	2776	1
57	110.32	90	0	0	-4.2223	11.403	-4.0663	10.454	1	2599	1
58	45.157	50	0	0	8.5884	8.6357	8.5342	8.39	1	2482	1
59	93.228	90	0	0	-0.6766	11.997	-2.4942	11.486	1	2719	1
60	137.9	130	0	0	-8.9623	8.0984	-9.378	6.412	1	2959	1
61	60.805	50	0	0	5.9937	10.727	5.5806	10.741	1	2608	1
62	54.007	90	0	0	7.083	9.7514	5.5092	10.425	1	2659	1
63	155.96	130	0	0	-11.05	4.9294	-9.9497	4.3767	1	2700	1
118	69.714	130	0	0	4.2527	11.505	-8.7825	7.2147	2	21084	0
119	85.869	90	0	0	0.8658	11.987	-0.39806	11.515	2	2819	1
120	46.416	50	0	0	8.3012	8.722	8.034	8.218	2	2379	1
121	89.438	90	0	0	0.1184	12.071	-0.23132	11.085	2	2519	1
122	138.72	130	0	0	-9.0665	7.9597	-9.7591	7.444	2	2439	1
123	60.052	50	0	0	6.0475	10.496	5.271	10.913	2	2334	1
124	91.21	90	0	0	-0.2572	12.179	-0.42188	11.945	2	2479	1
125	140.59	130	0	0	-9.3074	7.6488	-9.1874	7.2433	2	2459	1
126	37.586	50	0	0	9.6744	7.4465	10.487	5.7527	2	2439	1
127	46.314	50	0	0	8.3586	8.751	9.7967	6.1827	2	2519	1
128	93.794	90	0	0	-0.8061	12.154	-0.75535	11.973	2	2579	1
129	143.19	130	0	0	-9.7771	7.3163	-8.0203	8.8773	2	2319	1
130	141.7	130	0	0	-9.5534	7.5442	-7.8774	8.4473	2	2400	1
131	115.42	90	0	0	-5.2122	10.969	-4.0424	10.999	2	2380	1
132	36.839	50	0	0	9.7484	7.303	9.9634	5.6953	2	2300	1
133	150.64	130	0	0	-10.615	5.9726	-9.5447	6.3547	2	2480	1
134	104.03	90	0	0	-2.9213	11.688	-2.2322	10.483	2	2460	1
135	55.892	50	0	0	6.8514	10.116	6.8192	9.508	2	2340	1
190	134.31	130	0	0	-8.5618	8.7714	-7.9965	8.1033	3	6843	1
191	53.332	50	0	0	7.2864	9.7869	5.8903	9.7087	3	2460	1
192	95.637	90	0	0	-1.181	11.966	-1.6129	11.543	3	2618	1
193	99.279	90	0	0	-1.9418	11.885	-1.994	12.031	3	3713	1
194	60.192	50	0	0	6.0132	10.496	5.1757	10.827	3	2619	1
195	144.16	130	0	0	-9.8538	7.1162	-9.4733	7.272	3	2420	1
196	60.406	50	0	0	5.945	10.468	4.5326	10.511	3	2449	1
197	141.91	130	0	0	-9.4876	7.4376	-9.9258	7.3007	3	2280	1
198	100.39	90	0	0	-2.1737	11.858	-2.6371	11.371	3	2459	1
199	150.65	130	0	0	-10.535	5.9246	-9.3542	6.5267	3	2459	1
200	63.413	50	0	0	5.3771	10.744	4.7231	10.397	3	2399	1
201	108.72	90	0	0	-3.8567	11.383	-3.3517	10.884	3	2499	1
202	65.55	50	0	0	4.9953	10.986	4.342	10.827	3	2499	1
203	151.64	130	0	0	-10.615	5.7308	-9.7591	6.584	3	2289	1
204	106.04	90	0	0	-3.3324	11.593	-3.304	10.769	3	2339	1
205	145.16	130	0	0	-9.8502	6.8569	-8.7349	6.8993	3	2399	1
206	54.978	50	0	0	6.963	9.9362	7.2003	9.1353	3	2179	1
207	104.24	90	0	0	-2.9712	11.704	-2.6847	11.199	3	2359	1
262	51.923	50	0	0	7.4245	9.4767	6.4619	9.6513	4	5439	1
263	94.15	90	0	0	-0.869	11.977	-1.8749	11.658	4	2539	1
264	142.22	130	0	0	-9.5298	7.3861	-9.0922	7.7593	4	2579	1
265	102.19	90	0	0	-2.5497	11.801	-3.709	11.027	4	2599	1
266	149.97	130	0	0	-10.404	6.0137	-9.8306	6.3833	4	2459	1
267	62.606	50	0	0	5.5421	10.695	4.4135	10.024	4	2539	1
268	59.703	50	0	0	6.1145	10.465	4.7469	10.626	4	2659	1
269	138.1	130	0	0	-8.9597	8.0399	-8.0203	8.3327	4	2479	1
270	68.012	90	0	0	4.4983	11.14	4.3658	11.113	4	2499	1
271	148.52	130	0	0	-10.261	6.2823	-10.283	5.208	4	2559	1
272	64.123	50	0	0	5.3449	11.019	4.1515	10.626	4	2719	1
273	100.18	90	0	0	-2.1502	11.973	-2.7562	11.228	4	2499	1
274	148	130	0	0	-10.349	6.4655	-9.8544	6.2113	4	2339	1
275	99.271	90	0	0	-1.9337	11.846	-3.304	11.171	4	2619	1
276	59.518	50	0	0	6.1707	10.483	4.7708	10.425	4	2399	1
277	60.417	50	0	0	6.0413	10.642	4.8422	10.11	4	2499	1
278	101.71	90	0	0	-2.452	11.826	-3.3279	11.371	4	2700	1
