trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	122.89	130	0	0	-6.0448	9.3473	-4.0424	11.486	1	2848	1
74	49.623	50	0	0	7.177	8.4398	9.5347	6.584	1	2501	1
75	88.889	90	0	0	0.2169	11.187	1.1502	11.515	1	2459	1
76	147.7	130	0	0	-9.3501	5.9098	-10.021	6.7273	1	3675	1
77	40.876	50	0	0	8.7158	7.5436	10.273	6.0107	1	2936	1
78	98.751	90	0	0	-1.6959	11.017	-0.49334	12.002	1	2359	1
79	62.122	90	0	0	5.1812	9.7945	5.6997	10.454	1	2585	1
80	140.7	130	0	0	-8.6402	7.0708	-9.3304	6.8133	1	2639	1
81	43.845	50	0	0	8.292	7.9642	10.416	5.2653	1	2713	1
82	134.34	130	0	0	-7.7947	7.9765	-4.6141	10.683	1	2499	1
83	52.764	50	0	0	6.8638	9.0308	8.3913	7.5013	1	2575	1
84	109.78	90	0	0	-3.8125	10.604	-3.7328	11.715	1	2639	1
85	45.839	50	0	0	7.8004	8.0323	9.487	7.3007	1	2360	1
86	92.789	90	0	0	-0.5378	11.041	-0.37424	11.457	1	2520	1
87	137.77	130	0	0	-8.2982	7.5323	-8.3776	7.96	1	2720	1
88	59.594	50	0	0	5.7389	9.7795	7.5338	8.4473	1	2859	1
89	55.543	90	0	0	6.3254	9.2184	5.4615	10.139	1	2459	1
90	155.7	130	0	0	-10.17	4.5912	-10.069	4.2047	1	2439	1
145	69.741	130	0	0	3.909	10.591	-5.9242	9.7373	2	2872	0
146	87.341	90	0	0	0.5148	11.083	-0.35042	11.687	2	2379	1
147	47.723	50	0	0	7.4808	8.2279	8.0817	8.82	2	2299	1
148	89.856	90	0	0	0.0279	11.078	1.1026	11.429	2	2299	1
149	140.29	130	0	0	-8.6523	7.187	-7.6868	8.7913	2	2299	1
150	58.801	50	0	0	5.8064	9.588	5.8903	10.139	2	2179	1
151	93.036	90	0	0	-0.5982	11.279	0.054511	11.371	2	2339	1
152	142.16	130	0	0	-8.805	6.8397	-8.4014	8.046	2	2259	1
153	39.712	50	0	0	8.7181	7.241	10.464	6.068	2	2159	1
154	46.089	50	0	0	7.7106	8.0094	8.5104	8.1607	2	2179	1
155	94.87	90	0	0	-0.9627	11.299	0.26889	11.945	2	2219	1
156	144.45	130	0	0	-9.2392	6.6018	-8.7349	8.2467	2	2259	1
157	142.94	130	0	0	-8.9719	6.775	-8.2585	7.9887	2	2399	1
158	115.76	90	0	0	-4.8615	10.075	-3.971	11.142	2	2219	1
159	38.501	50	0	0	8.7975	6.9981	10.13	6.1827	2	2239	1
160	151.58	130	0	0	-9.912	5.3635	-9.7353	6.1827	2	2259	1
161	104.74	90	0	0	-2.8372	10.781	-2.7085	11.056	2	2259	1
162	56.442	50	0	0	6.2222	9.3799	5.5806	10.139	2	2179	1
217	134.13	130	0	0	-7.8829	8.1249	-8.6872	7.702	3	2279	1
218	52.364	50	0	0	6.871	8.9105	6.0808	9.7087	3	2359	1
219	95.158	90	0	0	-0.9981	11.057	-1.6605	11.113	3	2459	1
220	98.376	90	0	0	-1.6172	10.983	-2.0892	11.314	3	2339	1
