Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	135	531.853181077	118.986949429	0.001181	-0.084598	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	0
1	135	533.827079935	118.905383361	0.001786	-0.084623	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	34
1	135	534.244698206	119.078303426	0.001914	-0.084570	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	40
1	135	536.600326264	119.77324633	0.002636	-0.084357	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	60
1	135	539.784665579	120.817292007	0.003612	-0.084037	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	80
1	135	543.663947798	122.301794454	0.004801	-0.083582	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	100
1	135	547.174551387	124.311582382	0.005877	-0.082966	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	120
1	135	550.776508972	126.843393148	0.006981	-0.082190	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	140
1	135	554.646003263	129.649265905	0.008167	-0.081330	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	160
1	135	558.231647635	132.637846656	0.009266	-0.080414	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	180
1	135	561.670473083	136.158238173	0.010320	-0.079335	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	200
1	135	564.779771615	139.597063622	0.011273	-0.078281	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	220
1	135	568.013050571	143.401305057	0.012264	-0.077115	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	240
1	135	571.367047308	147.133768352	0.013292	-0.075971	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	260
1	135	574.479608483	150.876019576	0.014246	-0.074824	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	280
1	135	577.445350734	154.716150082	0.015155	-0.073647	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	300
1	135	580.30995106	158.481239804	0.016033	-0.072493	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	320
1	135	583.207177814	162.079934747	0.016921	-0.071390	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	340
1	135	586.003262643	165.603588907	0.017778	-0.070310	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	360
1	135	588.747145188	168.866231648	0.018619	-0.069310	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	380
1	135	591.305057096	171.959216966	0.019403	-0.068362	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	400
1	135	593.905383361	174.882544861	0.020200	-0.067466	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	420
1	135	596.267536705	177.8091354	0.020924	-0.066569	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	440
1	135	598.362153344	180.464926591	0.021566	-0.065755	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	460
1	135	600.228384992	183.120717781	0.022138	-0.064941	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	480
1	135	602.446982055	185.704730832	0.022818	-0.064149	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	500
1	135	604.398042414	188.014681892	0.023416	-0.063441	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	520
1	135	606.293637847	190.507340946	0.023997	-0.062677	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	540
1	135	607.973898858	192.549755302	0.024512	-0.062051	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	560
