Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	130	528.140293638	117.267536705	0.000043	-0.085125	528	395	0.0	-0.085	0	0	1	0	20
73	130	528.140293638	117.267536705	0.000043	-0.085125	528	395	0.0	-0.085	0	0	1	0	24
73	130	528.27406199	117.182707993	0.000084	-0.085151	528	395	0.0	-0.085	0	0	1	0	40
73	130	528.27406199	117.182707993	0.000084	-0.085151	528	395	0.0	-0.085	0	0	1	0	60
73	130	528.27406199	117.182707993	0.000084	-0.085151	528	395	0.0	-0.085	0	0	1	0	80
73	130	528.27406199	117.182707993	0.000084	-0.085151	528	395	0.0	-0.085	0	0	1	0	100
73	130	528.003262643	117.352365416	0.000001	-0.085099	528	395	0.0	-0.085	0	0	1	0	120
73	130	527.553017945	117.783034258	-0.000137	-0.084967	528	395	0.0	-0.085	0	0	1	0	140
73	130	526.557911909	118.556280587	-0.000442	-0.084730	528	395	0.0	-0.085	0	0	1	0	160
73	130	524.978792822	119.84502447	-0.000926	-0.084335	528	395	0.0	-0.085	0	0	1	0	180
73	130	522.541598695	121.828711256	-0.001673	-0.083727	528	395	0.0	-0.085	0	0	1	0	200
73	130	519.347471452	124.592169657	-0.002652	-0.082880	528	395	0.0	-0.085	0	0	1	0	221
73	130	515.455138662	128.409461664	-0.003845	-0.081710	528	395	0.0	-0.085	0	0	1	0	240
73	130	510.769983687	133.20228385	-0.005281	-0.080241	528	395	0.0	-0.085	0	0	1	0	260
73	130	504.861337684	139.424143556	-0.007092	-0.078334	528	395	0.0	-0.085	0	0	1	0	280
73	130	498.101141925	147.013050571	-0.009164	-0.076008	528	395	0.0	-0.085	0	0	1	0	300
73	130	490.110929853	156.265905383	-0.011613	-0.073172	528	395	0.0	-0.085	0	0	1	0	320
73	130	481.794453507	166.758564437	-0.014162	-0.069956	528	395	0.0	-0.085	0	0	1	0	340
73	130	472.414355628	178.902120718	-0.017037	-0.066234	528	395	0.0	-0.085	0	0	1	0	360
73	130	461.947797716	192.471451876	-0.020245	-0.062075	528	395	0.0	-0.085	0	0	1	0	381
73	130	450.939641109	207.133768352	-0.023619	-0.057581	528	395	0.0	-0.085	0	0	1	0	400
73	130	439.115823817	223.293637847	-0.027243	-0.052628	528	395	0.0	-0.085	0	0	1	0	421
73	130	426.694942904	240.073409462	-0.031050	-0.047485	528	395	0.0	-0.085	0	0	1	0	440
73	130	414.446982055	256.885807504	-0.034804	-0.042332	528	395	0.0	-0.085	0	0	1	0	461
73	130	402.075040783	273.649265905	-0.038596	-0.037194	528	395	0.0	-0.085	0	0	1	0	480
73	130	390.039151713	290.138662316	-0.042285	-0.032140	528	395	0.0	-0.085	0	0	1	0	501
73	130	378.365415987	306.138662316	-0.045863	-0.027236	528	395	0.0	-0.085	0	0	1	0	521
73	130	367.983686786	320.980424144	-0.049045	-0.022687	528	395	0.0	-0.085	0	0	1	0	541
73	130	358.048939641	335.169657423	-0.052090	-0.018338	528	395	0.0	-0.085	0	0	1	0	560
73	130	349.177814029	347.939641109	-0.054809	-0.014424	528	395	0.0	-0.085	0	0	1	0	581
73	130	341.601957586	359.525285481	-0.057131	-0.010873	528	395	0.0	-0.085	0	0	1	0	600
73	130	334.593800979	369.861337684	-0.059279	-0.007705	528	395	0.0	-0.085	0	0	1	0	621
73	130	328.57096248	378.683523654	-0.061125	-0.005001	528	395	0.0	-0.085	0	0	1	0	641
73	130	323.458401305	386.367047308	-0.062692	-0.002646	528	395	0.0	-0.085	0	0	1	0	660
73	130	319.01141925	393.120717781	-0.064055	-0.000576	528	395	0.0	-0.085	0	0	1	0	680
73	130	315.742251223	398.778140294	-0.065057	0.001158	528	395	0.0	-0.085	0	0	1	0	701
73	130	312.766721044	403.822185971	-0.065969	0.002704	528	395	0.0	-0.085	0	0	1	0	721
