Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	89.4028484554	90	0.0	-0.085	0.001200	0.030134	631	759	1	6480
74	137.007827486	130	0.0	-0.085	-0.084573	-0.006156	1120	589	1	3522
75	49.5435129747	50	0.0	-0.085	0.073767	0.001503	336	567	1	3396
76	85.4286140028	90	0.0	-0.085	0.009121	0.029076	594	744	1	4568
77	129.769139145	130	0.0	-0.085	-0.071103	0.000434	1154	575	1	3445
78	53.4935917961	50	0.0	-0.085	0.068512	0.007567	318	565	1	4999
79	138.284165876	130	0.0	-0.085	-0.087224	-0.007243	1172	570	1	4657
80	46.0558938955	50	0.0	-0.085	0.084758	0.002941	347	582	1	5991
81	87.788499084	90	0.0	-0.085	0.004381	0.028447	658	756	1	4436
82	48.8731039015	50	0.0	-0.085	0.074651	0.000493	343	578	1	3056
83	115.643875681	90	0.0	-0.085	-0.049852	0.018845	921	699	1	2936
84	150.208713959	130	0.0	-0.085	-0.101540	-0.026868	1201	520	1	2979
85	148.043789991	130	0.0	-0.085	-0.098609	-0.023487	1187	532	1	3710
86	73.4292025606	90	0.0	-0.085	0.034789	0.031915	548	747	1	2719
87	33.8240481237	50	0.0	-0.085	0.099518	-0.018318	264	508	1	3079
88	77.8424523707	90	0.0	-0.085	0.024374	0.028140	594	737	1	4479
89	121.221633646	130	0.0	-0.085	-0.058602	0.011681	1159	595	1	4504
90	74.6233489321	50	0.0	-0.085	0.032059	0.031575	614	746	1	2919
145	85.1682721816	90	0.0	-0.085	0.009736	0.030178	581	740	2	2640
146	50.3600750247	50	0.0	-0.085	0.074363	0.004762	320	563	2	2359
147	128.764217621	130	0.0	-0.085	-0.070294	0.002540	1201	551	2	2259
148	72.2365422861	90	0.0	-0.085	0.036016	0.027423	566	731	2	2240
149	145.836424415	130	0.0	-0.085	-0.094221	-0.021055	1194	563	2	2139
150	72.7441219818	50	0.0	-0.085	0.034628	0.026480	607	728	2	2220
