Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	90	527.611745514	118.468189233	-0.000119	-0.084757	528	395	0.0	-0.085	0.0	0.035	1	0	1
1	90	527.706362153	118.556280587	-0.000090	-0.084730	528	395	0.0	-0.085	0.0	0.035	1	0	26
1	90	527.569331158	118.641109299	-0.000132	-0.084704	528	395	0.0	-0.085	0.0	0.035	1	0	40
1	90	527.435562806	118.72593801	-0.000173	-0.084678	528	395	0.0	-0.085	0.0	0.035	1	0	61
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	81
1	90	527.39314845	118.898858075	-0.000186	-0.084625	528	395	0.0	-0.085	0.0	0.035	1	0	101
1	90	527.39314845	118.898858075	-0.000186	-0.084625	528	395	0.0	-0.085	0.0	0.035	1	0	120
1	90	527.298531811	118.814029364	-0.000215	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	140
1	90	527.298531811	118.814029364	-0.000215	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	160
1	90	527.298531811	118.814029364	-0.000215	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	180
1	90	527.298531811	118.814029364	-0.000215	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	200
1	90	527.39314845	118.898858075	-0.000186	-0.084625	528	395	0.0	-0.085	0.0	0.035	1	0	220
1	90	527.39314845	118.898858075	-0.000186	-0.084625	528	395	0.0	-0.085	0.0	0.035	1	0	240
1	90	527.39314845	118.898858075	-0.000186	-0.084625	528	395	0.0	-0.085	0.0	0.035	1	0	260
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	280
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	300
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	320
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	340
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	360
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	380
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	400
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	420
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	440
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	460
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	480
1	90	527.621533442	118.898858075	-0.000116	-0.084625	528	395	0.0	-0.085	0.0	0.035	1	0	500
1	90	527.484502447	118.983686786	-0.000158	-0.084599	528	395	0.0	-0.085	0.0	0.035	1	0	520
1	90	527.484502447	118.983686786	-0.000158	-0.084599	528	395	0.0	-0.085	0.0	0.035	1	0	540
1	90	527.484502447	118.983686786	-0.000158	-0.084599	528	395	0.0	-0.085	0.0	0.035	1	0	560
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	580
1	90	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0.0	0.035	1	0	600
1	90	527.663947798	118.72593801	-0.000103	-0.084678	528	395	0.0	-0.085	0.0	0.035	1	0	620
1	90	527.938009788	118.556280587	-0.000019	-0.084730	528	395	0.0	-0.085	0.0	0.035	1	0	641
1	90	528.114192496	118.298531811	0.000035	-0.084809	528	395	0.0	-0.085	0.0	0.035	1	0	660
