Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
187	45	527.32137031	117.783034258	-0.000208	-0.084967	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	0
187	45	527.32137031	117.783034258	-0.000208	-0.084967	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	20
187	45	526.818923328	117.955954323	-0.000362	-0.084914	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	40
187	45	526.358890701	117.955954323	-0.000503	-0.084914	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	60
187	45	525.807504078	117.871125612	-0.000672	-0.084940	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	80
187	45	525.347471452	117.871125612	-0.000813	-0.084940	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	100
187	45	524.792822186	117.7862969	-0.000983	-0.084966	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	120
187	45	524.199021207	117.871125612	-0.001165	-0.084940	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	140
187	45	523.644371941	117.7862969	-0.001335	-0.084966	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	160
187	45	523.04730832	117.874388254	-0.001518	-0.084939	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	180
187	45	522.453507341	117.962479608	-0.001700	-0.084912	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	200
187	45	522.088091354	118.04730832	-0.001812	-0.084886	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	220
187	45	521.856443719	118.04730832	-0.001883	-0.084886	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	240
187	45	521.856443719	118.04730832	-0.001883	-0.084886	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	260
187	45	521.719412724	118.135399674	-0.001925	-0.084859	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	280
187	45	521.719412724	118.135399674	-0.001925	-0.084859	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	300
187	45	521.585644372	118.220228385	-0.001966	-0.084833	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	320
187	45	521.177814029	118.477977162	-0.002091	-0.084754	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	340
