Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	148.263514538	130	0.0	-0.085	-0.095411	-0.025989	1108	572	1	2588
140	112.566947831	90	0.0	-0.085	-0.043054	0.018599	888	748	1	2259
141	53.7178317763	50	0.0	-0.085	0.065755	0.004573	369	605	1	2239
142	139.881424796	130	0.0	-0.085	-0.088557	-0.010379	967	687	1	2439
143	96.4624824258	90	0.0	-0.085	-0.012631	0.026510	759	771	1	2319
144	65.982386913	50	0.0	-0.085	0.045274	0.016603	563	728	1	2399
145	41.078875482	50	0.0	-0.085	0.084182	-0.011618	352	604	1	2382
146	153.327756825	130	0.0	-0.085	-0.100822	-0.034353	1154	581	1	2219
147	102.209567452	90	0.0	-0.085	-0.023360	0.022957	863	738	1	2819
148	84.9295095019	90	0.0	-0.085	0.009995	0.027647	685	759	1	2464
149	66.993113171	50	0.0	-0.085	0.043423	0.017264	635	749	1	2259
150	139.978082974	130	0.0	-0.085	-0.086990	-0.011950	1082	673	1	2388
151	93.1360236373	90	0.0	-0.085	-0.006148	0.027213	778	770	1	2352
152	75.982205753	50	0.0	-0.085	0.027367	0.024618	630	759	1	2332
153	147.9654697	130	0.0	-0.085	-0.095209	-0.025427	1109	633	1	2349
154	45.241063687	50	0.0	-0.085	0.079287	-0.005043	489	685	1	2393
155	135.236216452	130	0.0	-0.085	-0.080982	-0.004683	1017	701	1	2373
156	82.8233970573	90	0.0	-0.085	0.013992	0.026123	688	760	1	2477
283	72.3714893314	50	0.0	-0.085	0.033974	0.021915	531	708	2	3419
284	129.047784741	90	0.0	-0.085	-0.071935	0.003681	956	728	2	2880
285	155.454550749	130	0.0	-0.085	-0.102123	-0.038362	1169	563	2	2199
286	35.5335553782	50	0.0	-0.085	0.092036	-0.019270	321	570	2	2279
287	115.896622253	90	0.0	-0.085	-0.048336	0.014559	855	756	2	2198
288	124.751630922	130	0.0	-0.085	-0.063565	0.006623	953	742	2	2339
289	73.5701332472	90	0.0	-0.085	0.031727	0.022592	630	758	2	2279
290	127.453002356	130	0.0	-0.085	-0.069434	0.005642	955	742	2	2352
291	65.424250927	50	0.0	-0.085	0.047210	0.018231	581	742	2	2284
292	156.343754718	130	0.0	-0.085	-0.104018	-0.039434	1156	584	2	2199
293	38.858220349	50	0.0	-0.085	0.088428	-0.013754	340	592	2	2824
