trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	148.26	130	0	0	-9.5411	5.9011	-8.5919	6.2973	1	2588	1
140	112.57	90	0	0	-4.3054	10.36	-3.3517	11.343	1	2259	1
141	53.718	50	0	0	6.5755	8.9573	9.0106	7.2433	1	2239	1
142	139.88	130	0	0	-8.8557	7.4621	-5.2334	9.594	1	2439	1
143	96.462	90	0	0	-1.2631	11.151	-0.27896	12.002	1	2319	1
144	65.982	50	0	0	4.5274	10.16	4.3897	10.769	1	2399	1
145	41.079	50	0	0	8.4182	7.3382	9.4156	7.2147	1	2382	1
146	153.33	130	0	0	-10.082	5.0647	-9.6876	6.5553	1	2219	1
147	102.21	90	0	0	-2.336	10.796	-2.7562	11.056	1	2819	1
148	84.93	90	0	0	0.9995	11.265	1.4837	11.658	1	2464	1
149	66.993	50	0	0	4.3423	10.226	2.6747	11.371	1	2259	1
150	139.98	130	0	0	-8.699	7.305	-7.9726	9.1927	1	2388	1
151	93.136	90	0	0	-0.6148	11.221	-0.73153	11.973	1	2352	1
152	75.982	50	0	0	2.7367	10.962	2.7937	11.658	1	2332	1
153	147.97	130	0	0	-9.5209	5.9573	-8.6158	8.046	1	2349	1
154	45.241	50	0	0	7.9287	7.9957	6.1523	9.5367	1	2393	1
155	135.24	130	0	0	-8.0982	8.0317	-6.4244	9.9953	1	2373	1
156	82.823	90	0	0	1.3992	11.112	1.4122	11.687	1	2477	1
283	72.371	50	0	0	3.3974	10.692	5.1519	10.196	2	3419	1
284	129.05	90	0	0	-7.1935	8.8681	-4.9714	10.769	2	2880	1
285	155.45	130	0	0	-10.212	4.6638	-10.045	6.0393	2	2199	1
286	35.534	50	0	0	9.2036	6.573	10.154	6.24	2	2279	1
287	115.9	90	0	0	-4.8336	9.9559	-2.5656	11.572	2	2198	1
288	124.75	130	0	0	-6.3565	9.1623	-4.8999	11.171	2	2339	1
289	73.57	90	0	0	3.1727	10.759	2.7937	11.629	2	2279	1
290	127.45	130	0	0	-6.9434	9.0642	-4.9476	11.171	2	2352	1
291	65.424	50	0	0	4.721	10.323	3.9609	11.171	2	2284	1
292	156.34	130	0	0	-10.402	4.5566	-9.7353	6.6413	2	2199	1
293	38.858	50	0	0	8.8428	7.1246	9.7014	6.8707	2	2824	1
294	88.011	90	0	0	0.3914	11.268	2.627	12.145	2	2287	1
295	68.166	50	0	0	4.1569	10.375	4.4135	10.855	2	2273	1
296	135.67	130	0	0	-8.1284	7.9406	-5.9956	9.9093	2	2220	1
297	101.05	90	0	0	-2.1548	11.035	-2.518	11.572	2	2395	1
298	114.65	90	0	0	-4.7405	10.331	-2.9944	10.655	2	2519	1
299	46.339	50	0	0	7.803	8.1766	8.1531	7.874	2	2399	1
300	135.55	130	0	0	-8.1395	7.9848	-3.9472	11.257	2	3163	1
427	73.498	50	0	0	3.1447	10.615	4.4135	11.027	3	2416	1
428	125.23	90	0	0	-6.4877	9.1878	-4.5188	11.257	3	2225	1
429	155.66	130	0	0	-10.418	4.712	-8.7825	6.8707	3	2299	1
430	52.897	50	0	0	6.7614	8.9393	6.0332	9.9667	3	2349	1
431	133.43	130	0	0	-7.6207	8.0509	-6.0671	9.9953	3	2185	1
432	94.501	90	0	0	-0.8741	11.103	-0.30278	11.285	3	2479	1
433	64.575	50	0	0	4.7958	10.089	4.9851	10.941	3	2339	1
434	122.54	90	0	0	-6.0714	9.5155	-4.3283	10.741	3	2261	1
435	155.56	130	0	0	-10.336	4.6966	-8.8778	7.1287	3	2621	1
436	69.227	50	0	0	3.9437	10.396	4.1038	10.827	3	3747	1
437	106.71	90	0	0	-3.1827	10.604	-2.9467	11.629	3	3273	1
438	133.01	130	0	0	-7.7423	8.2984	-4.757	10.741	3	2358	1
439	127.43	130	0	0	-6.8162	8.9047	-3.566	11.171	3	2933	1
440	45.408	50	0	0	7.9447	8.0588	8.8915	7.7307	3	2280	1
441	87.19	90	0	0	0.5481	11.166	3.0558	11.457	3	2310	1
442	60.513	50	0	0	5.521	9.7634	4.4849	10.569	3	3755	1
443	154.04	130	0	0	-10.329	5.0287	-8.6396	7.014	3	2199	1
444	71.593	90	0	0	3.5233	10.587	3.556	11.199	3	2319	1
571	122.15	90	0	0	-6.0778	9.6696	-4.1139	11.171	4	2209	1
572	66.951	50	0	0	4.4459	10.449	6.1523	9.7373	4	2299	1
573	163.18	130	0	0	-10.642	3.2171	-9.8067	6.1253	4	2120	1
574	129.79	130	0	0	-7.1348	8.5677	-4.3044	10.97	4	2929	1
