Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
91	130	529.569331158	117.525285481	0.000481	-0.085046	528	395	0.0	-0.085	0	0	1	0	1
91	130	529.526916803	117.698205546	0.000468	-0.084993	528	395	0.0	-0.085	0	0	1	0	20
91	130	529.986949429	117.698205546	0.000609	-0.084993	528	395	0.0	-0.085	0	0	1	0	40
91	130	530.446982055	117.698205546	0.000750	-0.084993	528	395	0.0	-0.085	0	0	1	0	60
91	130	531.409461664	117.528548124	0.001045	-0.085045	528	395	0.0	-0.085	0	0	1	0	81
91	130	532.234910277	117.443719413	0.001298	-0.085071	528	395	0.0	-0.085	0	0	1	0	100
91	130	533.060358891	117.358890701	0.001551	-0.085097	528	395	0.0	-0.085	0	0	1	0	120
91	130	533.752039152	117.362153344	0.001763	-0.085096	528	395	0.0	-0.085	0	0	1	0	141
91	130	534.629690049	117.535073409	0.002032	-0.085043	528	395	0.0	-0.085	0	0	1	0	161
91	130	535.044045677	117.707993475	0.002159	-0.084990	528	395	0.0	-0.085	0	0	1	0	180
91	130	535.096247961	117.965742251	0.002175	-0.084911	528	395	0.0	-0.085	0	0	1	0	200
91	130	534.822185971	118.135399674	0.002091	-0.084859	528	395	0.0	-0.085	0	0	1	0	220
91	130	534.456769984	118.220228385	0.001979	-0.084833	528	395	0.0	-0.085	0	0	1	0	240
91	130	533.905383361	118.132137031	0.001810	-0.084860	528	395	0.0	-0.085	0	0	1	0	260
91	130	533.530179445	117.789559543	0.001695	-0.084965	528	395	0.0	-0.085	0	0	1	0	280
91	130	533.112561175	117.616639478	0.001567	-0.085018	528	395	0.0	-0.085	0	0	1	0	300
91	130	532.694942904	117.443719413	0.001439	-0.085071	528	395	0.0	-0.085	0	0	1	0	320
91	130	532.466557912	117.443719413	0.001369	-0.085071	528	395	0.0	-0.085	0	0	1	0	340
91	130	532.277324633	117.270799347	0.001311	-0.085124	528	395	0.0	-0.085	0	0	1	0	360
91	130	532.048939641	117.270799347	0.001241	-0.085124	528	395	0.0	-0.085	0	0	1	0	380
91	130	531.911908646	117.355628059	0.001199	-0.085098	528	395	0.0	-0.085	0	0	1	0	400
91	130	531.680261011	117.355628059	0.001128	-0.085098	528	395	0.0	-0.085	0	0	1	0	420
91	130	531.35725938	117.270799347	0.001029	-0.085124	528	395	0.0	-0.085	0	0	1	0	440
91	130	531.2137031	116.92822186	0.000985	-0.085229	528	395	0.0	-0.085	0	0	1	0	460
91	130	530.975530179	116.497553018	0.000912	-0.085361	528	395	0.0	-0.085	0	0	1	0	480
91	130	530.685154976	115.812398042	0.000823	-0.085571	528	395	0.0	-0.085	0	0	1	0	500
91	130	530.110929853	114.86949429	0.000647	-0.085860	528	395	0.0	-0.085	0	0	1	0	520
91	130	529.810766721	113.756933116	0.000555	-0.086201	528	395	0.0	-0.085	0	0	1	0	540
91	130	529.220228385	111.962479608	0.000374	-0.086751	528	395	0.0	-0.085	0	0	1	0	560
91	130	528.019575856	109.825448613	0.000006	-0.087406	528	395	0.0	-0.085	0	0	1	0	580
91	130	526.016313214	107.185970636	-0.000608	-0.088215	528	395	0.0	-0.085	0	0	1	0	600
91	130	523.115823817	103.959216966	-0.001497	-0.089204	528	395	0.0	-0.085	0	0	1	0	620
91	130	520.0	100.148450245	-0.002452	-0.090372	528	395	0.0	-0.085	0	0	1	0	641
91	130	516.110929853	95.6851549755	-0.003644	-0.091740	528	395	0.0	-0.085	0	0	1	0	661
91	130	512.117455139	90.1484502447	-0.004868	-0.093437	528	395	0.0	-0.085	0	0	1	0	680
91	130	507.562805873	83.9755301794	-0.006264	-0.095329	528	395	0.0	-0.085	0	0	1	0	700
91	130	502.022838499	77.4371941272	-0.007962	-0.097333	528	395	0.0	-0.085	0	0	1	0	721
91	130	495.921696574	70.7030995106	-0.009832	-0.099397	528	395	0.0	-0.085	0	0	1	0	740
91	130	489.344208809	63.8613376835	-0.011848	-0.101494	528	395	0.0	-0.085	0	0	1	0	760
91	130	482.114192496	57.1729200653	-0.014064	-0.103544	528	395	0.0	-0.085	0	0	1	0	780
91	130	473.716150082	50.8075040783	-0.016638	-0.105495	528	395	0.0	-0.085	0	0	1	0	800
91	130	464.756933116	44.6867862969	-0.019384	-0.107371	528	395	0.0	-0.085	0	0	1	0	821
91	130	454.861337684	38.8955954323	-0.022417	-0.109146	528	395	0.0	-0.085	0	0	1	0	841
91	130	444.8091354	33.101141925	-0.025498	-0.110922	528	395	0.0	-0.085	0	0	1	0	861
91	130	433.406199021	27.9070146819	-0.028993	-0.112514	528	395	0.0	-0.085	0	0	1	0	880
91	130	422.088091354	22.7096247961	-0.032462	-0.114107	528	395	0.0	-0.085	0	0	1	0	900
91	130	409.862969005	17.7079934747	-0.036209	-0.115640	528	395	0.0	-0.085	0	0	1	0	920
91	130	397.787928222	12.9412724307	-0.039910	-0.117101	528	395	0.0	-0.085	0	0	1	0	940
