Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
91	65.6739536705	50	0.0	-0.085	0.050030	0.025670	496	706	1	7701
92	142.095297431	130	0.0	-0.085	-0.094860	-0.011141	1095	646	1	2811
93	129.565705799	90	0.0	-0.085	-0.077397	0.008671	944	726	1	2795
94	88.0770721964	90	0.0	-0.085	0.004087	0.036731	615	745	1	2575
95	84.8207373874	50	0.0	-0.085	0.010930	0.035584	579	745	1	2758
96	127.848495625	130	0.0	-0.085	-0.073684	0.009827	984	713	1	2578
97	121.232586513	90	0.0	-0.085	-0.063074	0.019014	933	729	1	2408
98	136.923846137	130	0.0	-0.085	-0.088635	-0.002126	1113	621	1	2539
99	75.5729700146	50	0.0	-0.085	0.030114	0.032057	508	720	1	2470
100	118.758027265	90	0.0	-0.085	-0.058202	0.021053	907	744	1	2434
101	122.117202609	130	0.0	-0.085	-0.064105	0.017124	952	732	1	2159
102	84.6170676717	50	0.0	-0.085	0.011617	0.038287	598	744	1	2200
103	138.314575593	130	0.0	-0.085	-0.091224	-0.003764	1109	622	1	2099
104	71.7734201964	50	0.0	-0.085	0.038076	0.030628	531	729	1	2200
105	114.590036573	90	0.0	-0.085	-0.050153	0.024594	876	751	1	2226
106	130.536923376	130	0.0	-0.085	-0.078873	0.007228	1024	714	1	2219
107	89.4182409136	50	0.0	-0.085	0.001230	0.036135	575	721	1	2179
108	114.439620607	90	0.0	-0.085	-0.050244	0.025559	913	757	1	2259
235	64.1177707509	50	0.0	-0.085	0.052977	0.024188	546	714	2	3502
236	117.159667154	130	0.0	-0.085	-0.055098	0.022395	952	743	2	2499
237	74.6815796989	90	0.0	-0.085	0.032297	0.032909	548	739	2	2679
238	124.252140203	90	0.0	-0.085	-0.068266	0.015254	925	704	2	2331
239	72.1991774365	50	0.0	-0.085	0.037613	0.032145	545	733	2	2547
240	111.595006024	130	0.0	-0.085	-0.044280	0.026867	896	758	2	2440
241	113.858236296	130	0.0	-0.085	-0.049610	0.027172	983	720	2	2380
242	74.8543988794	50	0.0	-0.085	0.032069	0.033478	561	749	2	2220
243	66.798716423	90	0.0	-0.085	0.048425	0.027977	535	728	2	2319
244	102.501109457	50	0.0	-0.085	-0.025983	0.032191	665	750	2	2240
245	117.159667154	130	0.0	-0.085	-0.055098	0.022395	901	749	2	2618
246	125.962185985	90	0.0	-0.085	-0.071040	0.012914	948	744	2	2439
247	115.171491961	130	0.0	-0.085	-0.051433	0.024442	899	759	2	2339
248	62.7247785351	50	0.0	-0.085	0.055574	0.022787	406	648	2	2499
249	126.105599476	90	0.0	-0.085	-0.071398	0.012891	953	720	2	2419
250	146.360606375	130	0.0	-0.085	-0.102343	-0.016902	1146	583	2	2799
251	109.957666586	90	0.0	-0.085	-0.041114	0.028220	871	757	2	2339
252	78.8136057327	50	0.0	-0.085	0.023610	0.034388	566	718	2	2420
379	150.74653941	130	0.0	-0.085	-0.106162	-0.025538	1170	549	3	3065
380	109.641932033	90	0.0	-0.085	-0.040744	0.029158	906	724	3	2727
381	71.3877697574	50	0.0	-0.085	0.039469	0.032197	546	733	3	2259
382	115.63367882	130	0.0	-0.085	-0.053311	0.026101	859	758	3	2679
383	94.2103782141	50	0.0	-0.085	-0.008994	0.037172	653	758	3	2339
384	114.568334898	90	0.0	-0.085	-0.051072	0.026714	934	747	3	2359
385	80.8530854259	90	0.0	-0.085	0.019303	0.034884	576	730	3	4808
386	135.930902927	130	0.0	-0.085	-0.087967	0.000154	1140	623	3	2657
387	85.1967701289	50	0.0	-0.085	0.010205	0.036446	620	749	3	2385
388	82.4857048903	50	0.0	-0.085	0.016053	0.036700	579	733	3	2699
389	109.450106335	130	0.0	-0.085	-0.040350	0.029261	869	741	3	2759
390	76.7778900357	90	0.0	-0.085	0.027880	0.033661	575	742	3	2751
391	115.723208144	90	0.0	-0.085	-0.052091	0.023125	921	683	3	2827
392	71.1127692029	50	0.0	-0.085	0.039176	0.029507	544	732	3	2985
393	114.841041467	130	0.0	-0.085	-0.051326	0.025871	908	742	3	2767
394	113.29436374	130	0.0	-0.085	-0.047808	0.026039	903	748	3	2673
395	107.674990974	90	0.0	-0.085	-0.036665	0.030060	900	734	3	2566
396	83.7688102596	50	0.0	-0.085	0.013231	0.036179	548	702	3	2496
523	116.032408071	90	0.0	-0.085	-0.053184	0.023887	896	731	4	3276
524	72.5335388091	50	0.0	-0.085	0.037747	0.034963	538	724	4	2379
525	112.877405545	130	0.0	-0.085	-0.046724	0.025733	890	757	4	2059
526	75.1923439341	50	0.0	-0.085	0.030921	0.031968	544	717	4	2179
527	104.002075378	130	0.0	-0.085	-0.029423	0.032991	857	747	4	2679
528	111.586697297	90	0.0	-0.085	-0.044848	0.028350	963	712	4	2359
529	100.913009898	130	0.0	-0.085	-0.023121	0.034919	836	752	4	2789
530	85.3601372366	50	0.0	-0.085	0.009848	0.036343	678	766	4	2681
531	109.173315032	90	0.0	-0.085	-0.039499	0.028596	897	749	4	2819
532	126.877206883	130	0.0	-0.085	-0.072443	0.011565	976	713	4	2634
533	104.695476761	90	0.0	-0.085	-0.030647	0.031857	850	748	4	2510
534	79.9541747345	50	0.0	-0.085	0.021249	0.034948	561	730	4	2586
535	117.191101826	130	0.0	-0.085	-0.055193	0.022435	891	754	4	2744
