Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
139	50	528.182707993	117.097879282	0.000056	-0.085177	528	395	0.0	-0.085	0	0	1	0	20
139	50	528.182707993	117.097879282	0.000056	-0.085177	528	395	0.0	-0.085	0	0	1	0	24
139	50	528.316476346	117.009787928	0.000097	-0.085204	528	395	0.0	-0.085	0	0	1	0	40
139	50	528.453507341	116.924959217	0.000139	-0.085230	528	395	0.0	-0.085	0	0	1	0	60
139	50	528.590538336	116.840130506	0.000181	-0.085256	528	395	0.0	-0.085	0	0	1	0	81
139	50	528.681892333	116.924959217	0.000209	-0.085230	528	395	0.0	-0.085	0	0	1	0	100
139	50	528.871125612	117.097879282	0.000267	-0.085177	528	395	0.0	-0.085	0	0	1	0	120
139	50	529.203915171	117.610114192	0.000369	-0.085020	528	395	0.0	-0.085	0	0	1	0	141
139	50	530.006525285	118.556280587	0.000615	-0.084730	528	395	0.0	-0.085	0	0	1	0	160
139	50	531.272430669	119.933115824	0.001003	-0.084308	528	395	0.0	-0.085	0	0	1	0	180
139	50	533.243066884	122.171288744	0.001607	-0.083622	528	395	0.0	-0.085	0	0	1	0	200
139	50	536.013050571	125.799347471	0.002456	-0.082510	528	395	0.0	-0.085	0	0	1	0	220
139	50	539.787928222	130.396411093	0.003613	-0.081101	528	395	0.0	-0.085	0	0	1	0	240
139	50	545.021207178	136.412724307	0.005217	-0.079257	528	395	0.0	-0.085	0	0	1	0	260
139	50	550.776508972	144.308319739	0.006981	-0.076837	528	395	0.0	-0.085	0	0	1	0	280
139	50	557.931484502	153.685154976	0.009174	-0.073963	528	395	0.0	-0.085	0	0	1	0	302
139	50	566.629690049	164.318107667	0.011840	-0.070704	528	395	0.0	-0.085	0	0	1	0	320
139	50	575.556280587	177.205546493	0.014576	-0.066754	528	395	0.0	-0.085	0	0	1	0	341
139	50	585.301794454	191.698205546	0.017563	-0.062312	528	395	0.0	-0.085	0	0	1	0	360
139	50	594.688417618	208.265905383	0.020440	-0.057234	528	395	0.0	-0.085	0	0	1	0	380
139	50	604.57096248	226.530179445	0.023469	-0.051636	528	395	0.0	-0.085	0	0	1	0	400
139	50	614.629690049	245.51223491	0.026552	-0.045818	528	395	0.0	-0.085	0	0	1	0	420
139	50	624.756933116	265.123980424	0.029656	-0.039807	528	395	0.0	-0.085	0	0	1	0	440
139	50	634.391517129	284.973898858	0.032609	-0.033723	528	395	0.0	-0.085	0	0	1	0	461
139	50	643.272430669	305.234910277	0.035331	-0.027513	528	395	0.0	-0.085	0	0	1	0	480
139	50	650.982055465	325.877650897	0.037694	-0.021186	528	395	0.0	-0.085	0	0	1	0	500
139	50	657.520391517	346.5954323	0.039698	-0.014836	528	395	0.0	-0.085	0	0	1	0	520
139	50	663.755301794	366.337683524	0.041609	-0.008785	528	395	0.0	-0.085	0	0	1	0	540
139	50	669.696574225	384.464926591	0.043430	-0.003229	528	395	0.0	-0.085	0	0	1	0	560
139	50	675.331158238	401.427406199	0.045157	0.001970	528	395	0.0	-0.085	0	0	1	0	580
139	50	680.218597064	416.758564437	0.046655	0.006669	528	395	0.0	-0.085	0	0	1	0	601
139	50	684.411092985	430.722675367	0.047940	0.010949	528	395	0.0	-0.085	0	0	1	0	620
139	50	687.876019576	443.179445351	0.049002	0.014767	528	395	0.0	-0.085	0	0	1	0	640
139	50	689.993474715	454.265905383	0.049651	0.018165	528	395	0.0	-0.085	0.049651	0.018165	1	0	1009
140	130	529.125611746	116.066884176	0.000345	-0.085493	528	395	0.0	-0.085	0	0	1	0	19
140	130	529.177814029	116.324632953	0.000361	-0.085414	528	395	0.0	-0.085	0	0	1	0	22
140	130	529.771615008	116.239804241	0.000543	-0.085440	528	395	0.0	-0.085	0	0	1	0	40
140	130	529.866231648	116.324632953	0.000572	-0.085414	528	395	0.0	-0.085	0	0	1	0	60
140	130	529.644371941	116.755301794	0.000504	-0.085282	528	395	0.0	-0.085	0	0	1	0	81
140	130	529.017944535	117.44045677	0.000312	-0.085072	528	395	0.0	-0.085	0	0	1	0	101
140	130	528.07177814	118.468189233	0.000022	-0.084757	528	395	0.0	-0.085	0	0	1	0	121
