Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
139	50	527.693311582	115.812398042	-0.000094	-0.085571	528	395	0.0	-0.085	0	0	1	0	21
139	50	527.504078303	115.639477977	-0.000152	-0.085624	528	395	0.0	-0.085	0	0	1	0	25
139	50	527.128874388	115.296900489	-0.000267	-0.085729	528	395	0.0	-0.085	0	0	1	0	41
139	50	526.659053834	114.86949429	-0.000411	-0.085860	528	395	0.0	-0.085	0	0	1	0	61
139	50	526.231647635	114.269168026	-0.000542	-0.086044	528	395	0.0	-0.085	0	0	1	0	81
139	50	525.76182708	113.841761827	-0.000686	-0.086175	528	395	0.0	-0.085	0	0	1	0	101
139	50	525.572593801	113.672104405	-0.000744	-0.086227	528	395	0.0	-0.085	0	0	1	0	120
139	50	525.353996737	114.099510604	-0.000811	-0.086096	528	395	0.0	-0.085	0	0	1	0	140
139	50	525.83360522	114.954323002	-0.000664	-0.085834	528	395	0.0	-0.085	0	0	1	0	160
139	50	526.835236542	116.497553018	-0.000357	-0.085361	528	395	0.0	-0.085	0	0	1	0	181
139	50	528.362153344	119.156606852	0.000111	-0.084546	528	395	0.0	-0.085	0	0	1	0	200
139	50	531.102773246	122.941272431	0.000951	-0.083386	528	395	0.0	-0.085	0	0	1	0	220
139	50	534.492659054	128.2137031	0.001990	-0.081770	528	395	0.0	-0.085	0	0	1	0	241
139	50	538.802610114	135.247960848	0.003311	-0.079614	528	395	0.0	-0.085	0	0	1	0	260
139	50	544.727569331	143.907014682	0.005127	-0.076960	528	395	0.0	-0.085	0	0	1	0	281
139	50	551.008156607	155.016313214	0.007052	-0.073555	528	395	0.0	-0.085	0	0	1	0	300
139	50	559.135399674	167.933115824	0.009543	-0.069596	528	395	0.0	-0.085	0	0	1	0	320
139	50	568.466557912	182.353996737	0.012403	-0.065176	528	395	0.0	-0.085	0	0	1	0	340
139	50	578.672104405	198.504078303	0.015531	-0.060226	528	395	0.0	-0.085	0	0	1	0	361
139	50	589.08319739	216.239804241	0.018722	-0.054790	528	395	0.0	-0.085	0	0	1	0	380
139	50	600.199021207	234.794453507	0.022129	-0.049103	528	395	0.0	-0.085	0	0	1	0	401
139	50	611.497553018	254.35725938	0.025592	-0.043107	528	395	0.0	-0.085	0	0	1	0	421
139	50	622.907014682	274.676998369	0.029089	-0.036879	528	395	0.0	-0.085	0	0	1	0	441
139	50	633.791190865	295.257748777	0.032425	-0.030571	528	395	0.0	-0.085	0	0	1	0	461
139	50	643.898858075	315.499184339	0.035523	-0.024367	528	395	0.0	-0.085	0	0	1	0	481
139	50	653.030995106	335.061990212	0.038322	-0.018371	528	395	0.0	-0.085	0	0	1	0	500
139	50	660.867862969	353.691680261	0.040724	-0.012661	528	395	0.0	-0.085	0	0	1	0	520
139	50	668.192495922	370.696574225	0.042969	-0.007449	528	395	0.0	-0.085	0	0	1	0	540
139	50	674.98858075	386.223491028	0.045052	-0.002690	528	395	0.0	-0.085	0	0	1	0	560
139	50	680.841761827	400.709624796	0.046846	0.001750	528	395	0.0	-0.085	0	0	1	0	580
139	50	686.254486134	413.652528548	0.048505	0.005717	528	395	0.0	-0.085	0	0	1	0	600
139	50	690.597063622	425.169657423	0.049836	0.009247	528	395	0.0	-0.085	0	0	1	0	620
139	50	693.771615008	435.026101142	0.050809	0.012268	528	395	0.0	-0.085	0	0	1	0	641
139	50	695.686786297	442.977161501	0.051396	0.014705	528	395	0.0	-0.085	0	0	1	0	660
139	50	696.701468189	448.924959217	0.051707	0.016528	528	395	0.0	-0.085	0.051707	0.016528	1	0	1028
140	90	527.840130506	116.15497553	-0.000049	-0.085466	528	395	0.0	-0.085	0	0	1	0	19
140	90	527.840130506	116.15497553	-0.000049	-0.085466	528	395	0.0	-0.085	0	0	1	0	21
140	90	527.745513866	116.066884176	-0.000078	-0.085493	528	395	0.0	-0.085	0	0	1	0	41
140	90	527.461663948	115.812398042	-0.000165	-0.085571	528	395	0.0	-0.085	0	0	1	0	61
140	90	526.815660685	115.639477977	-0.000363	-0.085624	528	395	0.0	-0.085	0	0	1	0	81
140	90	526.123980424	115.639477977	-0.000575	-0.085624	528	395	0.0	-0.085	0	0	1	0	100
140	90	525.256117455	115.897226754	-0.000841	-0.085545	528	395	0.0	-0.085	0	0	1	0	121
140	90	524.535073409	116.497553018	-0.001062	-0.085361	528	395	0.0	-0.085	0	0	1	0	140
140	90	523.729200653	117.443719413	-0.001309	-0.085071	528	395	0.0	-0.085	0	0	1	0	161
140	90	522.254486134	119.247960848	-0.001761	-0.084518	528	395	0.0	-0.085	0	0	1	0	180
140	90	520.789559543	121.489396411	-0.002210	-0.083831	528	395	0.0	-0.085	0	0	1	0	200
140	90	518.212071778	125.029363785	-0.003000	-0.082746	528	395	0.0	-0.085	0	0	1	0	220
140	90	515.161500816	129.623164763	-0.003935	-0.081338	528	395	0.0	-0.085	0	0	1	0	240
140	90	510.616639478	136.243066884	-0.005328	-0.079309	528	395	0.0	-0.085	0	0	1	0	260
140	90	505.128874388	144.572593801	-0.007010	-0.076756	528	395	0.0	-0.085	0	0	1	0	280
140	90	498.446982055	154.823817292	-0.009058	-0.073614	528	395	0.0	-0.085	0	0	1	0	301
140	90	490.241435563	167.584013051	-0.011573	-0.069703	528	395	0.0	-0.085	0	0	1	0	320
140	90	480.580750408	182.305057096	-0.014534	-0.065191	528	395	0.0	-0.085	0	0	1	0	341
140	90	470.270799347	198.034257749	-0.017694	-0.060370	528	395	0.0	-0.085	0	0	1	0	360
140	90	459.070146819	214.996737357	-0.021127	-0.055171	528	395	0.0	-0.085	0	0	1	0	380
140	90	447.001631321	232.774877651	-0.024826	-0.049722	528	395	0.0	-0.085	0	0	1	0	400
140	90	434.473083197	251.104404568	-0.028666	-0.044104	528	395	0.0	-0.085	0	0	1	0	421
140	90	422.039151713	269.4045677	-0.032477	-0.038495	528	395	0.0	-0.085	0	0	1	0	441
140	90	409.957585644	287.466557912	-0.036180	-0.032959	528	395	0.0	-0.085	0	0	1	0	461
140	90	398.339314845	305.16639478	-0.039741	-0.027534	528	395	0.0	-0.085	0	0	1	0	480
140	90	387.298531811	322.376835237	-0.043125	-0.022259	528	395	0.0	-0.085	0	0	1	0	500
140	90	377.699836868	338.125611746	-0.046067	-0.017432	528	395	0.0	-0.085	0	0	1	0	520
140	90	368.610114192	352.820554649	-0.048853	-0.012928	528	395	0.0	-0.085	0	0	1	0	540
140	90	360.541598695	366.292006525	-0.051326	-0.008799	528	395	0.0	-0.085	0	0	1	0	560
140	90	353.331158238	378.112561175	-0.053536	-0.005176	528	395	0.0	-0.085	0	0	1	0	580
140	90	346.336052202	389.003262643	-0.055680	-0.001838	528	395	0.0	-0.085	0	0	1	0	601
140	90	340.045676998	398.295269168	-0.057608	0.001010	528	395	0.0	-0.085	0	0	1	0	621
140	90	334.290375204	406.282218597	-0.059372	0.003458	528	395	0.0	-0.085	0	0	1	0	640
140	90	329.295269168	412.722675367	-0.060903	0.005432	528	395	0.0	-0.085	0	0	1	0	660
140	90	324.525285481	418.461663948	-0.062365	0.007191	528	395	0.0	-0.085	0	0	1	0	681
140	90	320.345840131	422.941272431	-0.063646	0.008564	528	395	0.0	-0.085	-0.063646	0.008564	1	0	1048
141	130	527.804241436	116.755301794	-0.000060	-0.085282	528	395	0.0	-0.085	0	0	1	0	19
141	130	527.804241436	116.755301794	-0.000060	-0.085282	528	395	0.0	-0.085	0	0	1	0	21
141	130	527.712887439	116.66721044	-0.000088	-0.085309	528	395	0.0	-0.085	0	0	1	0	41
141	130	527.386623165	116.582381729	-0.000188	-0.085335	528	395	0.0	-0.085	0	0	1	0	61
141	130	526.926590538	116.582381729	-0.000329	-0.085335	528	395	0.0	-0.085	0	0	1	0	81
141	130	526.153344209	116.924959217	-0.000566	-0.085230	528	395	0.0	-0.085	0	0	1	0	101
141	130	525.243066884	117.355628059	-0.000845	-0.085098	528	395	0.0	-0.085	0	0	1	0	121
141	130	523.924959217	118.044045677	-0.001249	-0.084887	528	395	0.0	-0.085	0	0	1	0	140
141	130	521.794453507	119.251223491	-0.001902	-0.084517	528	395	0.0	-0.085	0	0	1	0	160
141	130	519.526916803	120.546492659	-0.002597	-0.084120	528	395	0.0	-0.085	0	0	1	0	181
141	130	516.137030995	122.712887439	-0.003636	-0.083456	528	395	0.0	-0.085	0	0	1	0	201
141	130	512.078303426	125.319738989	-0.004880	-0.082657	528	395	0.0	-0.085	0	0	1	0	221
141	130	507.174551387	128.641109299	-0.006383	-0.081639	528	395	0.0	-0.085	0	0	1	0	241
