trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	78.632	50	0	0	2.2088	10.986	5.9379	10.081	1	2865	1
140	121.98	90	0	0	-5.9998	9.609	-1.8034	11.543	1	2180	1
141	132.92	130	0	0	-7.7989	8.3881	-4.5665	10.884	1	2280	1
142	84.842	50	0	0	1.0077	11.162	4.866	10.54	1	2164	1
143	122.12	130	0	0	-5.9124	9.4193	-2.6609	11.257	1	2180	1
144	114.31	90	0	0	-4.6321	10.253	0.76909	11.429	1	2199	1
145	106.03	90	0	0	-3.1366	10.917	1.7933	11.056	1	2099	1
146	88.887	50	0	0	0.2191	11.276	5.1519	10.454	1	2099	1
147	124.88	130	0	0	-6.4774	9.2928	-2.5656	11.199	1	1959	1
148	112.07	90	0	0	-4.2115	10.388	1.0073	10.999	1	1939	1
149	122.93	130	0	0	-6.0227	9.2984	-2.5656	11.228	1	1959	1
150	104.02	50	0	0	-2.7373	10.959	4.3182	10.511	1	1999	1
151	100.97	90	0	0	-2.1313	10.993	1.841	11.257	1	2002	1
152	125.35	130	0	0	-6.4661	9.1172	-2.9467	11.257	1	2060	1
153	92.013	50	0	0	-0.3917	11.146	4.6755	10.196	1	2219	1
154	106.99	90	0	0	-3.2525	10.643	1.2931	10.884	1	2119	1
155	104.93	50	0	0	-2.9219	10.961	4.3658	10.454	1	2279	1
156	111.91	130	0	0	-4.2145	10.477	-2.0654	10.655	1	2059	1
283	108.5	90	0	0	-3.5658	10.66	-3.6137	11.343	2	2428	1
284	122.3	130	0	0	-6.0408	9.5564	-3.971	11.285	2	2059	1
285	96.6	50	0	0	-1.3006	11.241	4.3897	10.54	2	2099	1
286	127.45	90	0	0	-7.0128	9.1557	-3.6613	11.228	2	2099	1
287	131.9	130	0	0	-7.5426	8.4072	-5.8051	10.741	2	2109	1
288	92.237	50	0	0	-0.4387	11.233	3.9371	10.827	2	1999	1
289	137.5	130	0	0	-8.3034	7.6089	-6.4244	10.139	2	2219	1
290	110.92	90	0	0	-4.055	10.61	0.60236	11.457	2	2040	1
291	105.82	50	0	0	-3.0813	10.876	2.8414	10.884	2	1960	1
292	123	90	0	0	-6.2728	9.6603	-2.3751	11.572	2	1964	1
293	113.68	130	0	0	-4.526	10.318	-2.78	11.314	2	1879	1
294	102.69	50	0	0	-2.4776	10.999	3.5798	11.199	2	2000	1
295	120.01	90	0	0	-5.5939	9.685	-1.0174	11.744	2	1979	1
296	130.6	130	0	0	-7.465	8.7099	-4.5665	11.027	2	2059	1
297	82.973	50	0	0	1.3657	11.08	5.5806	9.7087	2	2134	1
298	141.07	130	0	0	-8.6848	7.0164	-6.8293	9.594	2	2039	1
299	69.558	50	0	0	3.9618	10.629	5.6997	9.938	2	2019	1
300	84.578	90	0	0	1.0641	11.211	2.5794	10.827	2	1990	1
427	77.996	50	0	0	2.2951	10.794	2.3888	11.199	3	1940	1
428	110.2	90	0	0	-3.8913	10.577	-4.3759	10.769	3	3863	1
429	128.98	130	0	0	-7.074	8.7434	-9.3065	6.842	3	1879	1
430	76.431	50	0	0	2.711	11.232	2.103	11.171	3	1879	1
431	97.474	90	0	0	-1.4778	11.265	-2.1369	12.002	3	1839	1
432	112.19	130	0	0	-4.245	10.41	-5.019	10.769	3	1879	1
433	87.668	50	0	0	0.4658	11.438	1.6981	11.285	3	1860	1
434	103.89	90	0	0	-2.6838	10.851	-3.0658	11.257	3	1760	1
435	109.21	130	0	0	-3.727	10.694	-4.233	10.741	3	1819	1
