Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	148.349487305	130	0.0	-0.085	-0.095018	-0.026429	1192	521	1	1999
140	109.515879172	90	0.0	-0.085	-0.037055	0.019548	931	746	1	1919
141	77.0716167934	50	0.0	-0.085	0.025430	0.025781	550	743	1	1940
142	113.064314267	90	0.0	-0.085	-0.044339	0.019131	778	770	1	1939
143	139.697006678	130	0.0	-0.085	-0.087449	-0.010830	1072	659	1	1999
144	57.9490920894	50	0.0	-0.085	0.059964	0.010773	396	618	1	1919
145	89.7836176254	90	0.0	-0.085	0.000425	0.027535	614	749	1	1999
146	48.8485872256	50	0.0	-0.085	0.074303	0.000021	353	596	1	1920
147	135.059472892	130	0.0	-0.085	-0.081009	-0.004159	1035	687	1	1920
148	155.343493766	130	0.0	-0.085	-0.100889	-0.038689	1172	575	1	1920
149	77.0300666954	50	0.0	-0.085	0.025694	0.026560	563	735	1	1899
150	89.8704724959	90	0.0	-0.085	0.000256	0.028240	609	742	1	1940
151	138.764417584	130	0.0	-0.085	-0.085706	-0.009876	1084	662	1	1980
152	54.6207596184	50	0.0	-0.085	0.064963	0.006482	394	635	1	1999
153	96.5493616404	90	0.0	-0.085	-0.012928	0.027605	686	755	1	1999
154	55.2314972765	50	0.0	-0.085	0.063051	0.005825	413	647	1	1939
155	90.7637433703	90	0.0	-0.085	-0.001510	0.028273	636	739	1	1999
156	135.775684835	130	0.0	-0.085	-0.082496	-0.004708	1049	691	1	2019
283	69.6342561206	50	0.0	-0.085	0.039562	0.021574	399	626	2	2239
284	112.773392768	90	0.0	-0.085	-0.043560	0.018760	832	759	2	1999
285	151.817740089	130	0.0	-0.085	-0.099646	-0.031610	1159	583	2	1939
286	113.158304059	90	0.0	-0.085	-0.044212	0.018362	797	757	2	1939
287	53.1273430277	50	0.0	-0.085	0.067281	0.004699	357	596	2	1999
288	148.013363706	130	0.0	-0.085	-0.093974	-0.026309	1113	620	2	1940
289	97.2883935647	90	0.0	-0.085	-0.014254	0.026449	647	755	2	1980
290	142.818745293	130	0.0	-0.085	-0.089376	-0.017206	1159	609	2	1919
291	60.3847828347	50	0.0	-0.085	0.056228	0.013918	428	663	2	2000
292	138.795561501	130	0.0	-0.085	-0.084112	-0.011354	1126	618	2	1980
293	113.874307896	90	0.0	-0.085	-0.045018	0.016712	805	760	2	2020
294	51.4256751109	50	0.0	-0.085	0.070882	0.003874	328	576	2	1999
295	72.5887143569	50	0.0	-0.085	0.033490	0.021793	427	665	2	1939
296	87.7797335279	90	0.0	-0.085	0.004278	0.025342	554	720	2	1939
297	148.935388306	130	0.0	-0.085	-0.095223	-0.027638	1102	621	2	1979
298	111.686613746	90	0.0	-0.085	-0.041407	0.019122	807	757	2	2019
299	122.951085892	130	0.0	-0.085	-0.060835	0.008853	948	750	2	2039
300	63.5711198599	50	0.0	-0.085	0.050084	0.015766	446	680	2	1979
427	101.331711853	90	0.0	-0.085	-0.022201	0.025786	760	785	3	1919
428	65.5876055629	50	0.0	-0.085	0.047318	0.019252	448	677	3	1919
429	139.439631752	130	0.0	-0.085	-0.087560	-0.010057	1069	665	3	1879
430	148.27676412	130	0.0	-0.085	-0.100611	-0.022805	1165	568	3	1899
431	78.7907021745	50	0.0	-0.085	0.021966	0.025842	529	721	3	1939
432	89.0642946654	90	0.0	-0.085	0.001826	0.026801	552	720	3	1999
433	138.576047018	130	0.0	-0.085	-0.085729	-0.009356	1045	656	3	1959
434	110.231191445	90	0.0	-0.085	-0.038170	0.018569	776	776	3	1959
435	53.0884774514	50	0.0	-0.085	0.068119	0.005688	352	604	3	1959
436	126.330975452	130	0.0	-0.085	-0.067069	0.006200	1015	733	3	1919
437	84.1568478027	50	0.0	-0.085	0.011603	0.028380	629	728	3	1889
438	114.870893353	90	0.0	-0.085	-0.047422	0.017298	855	747	3	1879
439	79.6443865534	90	0.0	-0.085	0.020432	0.026813	610	715	3	1959
440	71.4844601266	50	0.0	-0.085	0.035840	0.022018	506	722	3	1919
441	142.450351941	130	0.0	-0.085	-0.090499	-0.015433	1179	567	3	1879
442	53.2263759331	50	0.0	-0.085	0.066767	0.004335	358	606	3	1944
443	90.4432644278	90	0.0	-0.085	-0.000859	0.026031	581	730	3	1999
444	140.881363289	130	0.0	-0.085	-0.087894	-0.013523	1055	670	3	1938
571	62.6473167291	50	0.0	-0.085	0.052557	0.016598	408	633	4	1900
572	109.511884657	90	0.0	-0.085	-0.037955	0.022111	810	776	4	1859
573	138.642430573	130	0.0	-0.085	-0.083745	-0.011279	1042	688	4	1899
574	113.300102991	90	0.0	-0.085	-0.044412	0.018123	819	778	4	1929
575	127.887744796	130	0.0	-0.085	-0.070131	0.005127	943	750	4	1899
576	53.9197135041	50	0.0	-0.085	0.066529	0.006300	340	589	4	1899
577	54.8131643477	50	0.0	-0.085	0.064019	0.005797	292	524	4	1919
578	93.4944999341	90	0.0	-0.085	-0.006892	0.027861	553	722	4	1959
579	135.400434776	130	0.0	-0.085	-0.079461	-0.006642	1000	733	4	1900
580	73.1993671061	50	0.0	-0.085	0.033074	0.024542	493	696	4	1919
581	121.779853213	130	0.0	-0.085	-0.058290	0.009086	956	732	4	1880
582	126.702350532	90	0.0	-0.085	-0.067282	0.005258	1070	643	4	1921
583	143.96741594	130	0.0	-0.085	-0.094142	-0.016520	1129	609	4	1920
584	99.4572710795	90	0.0	-0.085	-0.018691	0.027207	780	775	4	1919
585	59.7359420551	50	0.0	-0.085	0.057550	0.013627	440	662	4	1939
586	122.359512873	130	0.0	-0.085	-0.062107	0.013018	909	729	4	1959
587	100.979193801	90	0.0	-0.085	-0.020971	0.023096	762	763	4	1839
588	48.9914449429	50	0.0	-0.085	0.074216	0.000350	341	580	4	1879
