Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
139	130	528.848287113	118.125611746	0.000260	-0.084862	528	395	0.0	-0.085	0	0	1	0	20
139	130	528.939641109	118.2137031	0.000288	-0.084835	528	395	0.0	-0.085	0	0	1	0	24
139	130	529.262642741	118.298531811	0.000387	-0.084809	528	395	0.0	-0.085	0	0	1	0	40
139	130	529.409461664	118.641109299	0.000432	-0.084704	528	395	0.0	-0.085	0	0	1	0	60
139	130	529.461663948	118.898858075	0.000448	-0.084625	528	395	0.0	-0.085	0	0	1	0	80
139	130	529.145187602	119.241435563	0.000351	-0.084520	528	395	0.0	-0.085	0	0	1	0	100
139	130	528.466557912	119.672104405	0.000143	-0.084388	528	395	0.0	-0.085	0	0	1	0	120
139	130	527.827079935	119.929853181	-0.000053	-0.084309	528	395	0.0	-0.085	0	0	1	0	140
139	130	526.185970636	120.533442088	-0.000556	-0.084124	528	395	0.0	-0.085	0	0	1	0	160
139	130	523.5954323	121.740619902	-0.001350	-0.083754	528	395	0.0	-0.085	0	0	1	0	181
139	130	520.600326264	123.212071778	-0.002268	-0.083303	528	395	0.0	-0.085	0	0	1	0	201
139	130	516.701468189	125.120717781	-0.003463	-0.082718	528	395	0.0	-0.085	0	0	1	0	221
139	130	511.092985318	128.004893964	-0.005182	-0.081834	528	395	0.0	-0.085	0	0	1	0	241
139	130	504.283849918	131.698205546	-0.007269	-0.080702	528	395	0.0	-0.085	0	0	1	0	260
139	130	496.783034258	136.037520392	-0.009568	-0.079372	528	395	0.0	-0.085	0	0	1	0	281
139	130	487.911908646	141.045676998	-0.012287	-0.077837	528	395	0.0	-0.085	0	0	1	0	300
139	130	477.703099511	147.182707993	-0.015416	-0.075956	528	395	0.0	-0.085	0	0	1	0	320
139	130	466.538336052	154.383360522	-0.018838	-0.073749	528	395	0.0	-0.085	0	0	1	0	341
139	130	454.208809135	162.680261011	-0.022617	-0.071206	528	395	0.0	-0.085	0	0	1	0	361
139	130	440.313213703	172.566068515	-0.026876	-0.068176	528	395	0.0	-0.085	0	0	1	0	380
139	130	425.647634584	183.081566069	-0.031371	-0.064953	528	395	0.0	-0.085	0	0	1	0	401
139	130	409.39314845	195.192495922	-0.036353	-0.061241	528	395	0.0	-0.085	0	0	1	0	421
139	130	392.358890701	208.373572594	-0.041574	-0.057201	528	395	0.0	-0.085	0	0	1	0	441
139	130	374.270799347	222.592169657	-0.047118	-0.052843	528	395	0.0	-0.085	0	0	1	0	460
139	130	356.254486134	237.156606852	-0.052640	-0.048379	528	395	0.0	-0.085	0	0	1	0	481
139	130	337.673735726	252.781402936	-0.058335	-0.043590	528	395	0.0	-0.085	0	0	1	0	501
139	130	319.588907015	268.269168026	-0.063878	-0.038843	528	395	0.0	-0.085	0	0	1	0	520
139	130	302.541598695	283.460032626	-0.069103	-0.034187	528	395	0.0	-0.085	0	0	1	0	541
139	130	287.004893964	297.681892333	-0.073865	-0.029828	528	395	0.0	-0.085	0	0	1	0	560
139	130	272.489396411	311.133768352	-0.078314	-0.025705	528	395	0.0	-0.085	0	0	1	0	581
139	130	259.784665579	323.003262643	-0.082208	-0.022067	528	395	0.0	-0.085	0	0	1	0	601
139	130	248.584013051	333.649265905	-0.085641	-0.018804	528	395	0.0	-0.085	0	0	1	0	621
139	130	238.646003263	343.068515498	-0.088687	-0.015917	528	395	0.0	-0.085	-0.088687	-0.015917	1	0	989
140	90	527.177814029	117.44045677	-0.000252	-0.085072	528	395	0.0	-0.085	0	0	1	0	19
140	90	527.311582382	117.355628059	-0.000211	-0.085098	528	395	0.0	-0.085	0	0	1	0	22
140	90	527.08319739	117.355628059	-0.000281	-0.085098	528	395	0.0	-0.085	0	0	1	0	41
140	90	526.717781403	117.44045677	-0.000393	-0.085072	528	395	0.0	-0.085	0	0	1	0	60
140	90	526.352365416	117.525285481	-0.000505	-0.085046	528	395	0.0	-0.085	0	0	1	0	81
140	90	525.807504078	117.871125612	-0.000672	-0.084940	528	395	0.0	-0.085	0	0	1	0	101
140	90	524.949429038	118.556280587	-0.000935	-0.084730	528	395	0.0	-0.085	0	0	1	0	121
140	90	523.099510604	120.021207178	-0.001502	-0.084281	528	395	0.0	-0.085	0	0	1	0	140
140	90	521.435562806	121.659053834	-0.002012	-0.083779	528	395	0.0	-0.085	0	0	1	0	161
140	90	518.701468189	124.422512235	-0.002850	-0.082932	528	395	0.0	-0.085	0	0	1	0	180
140	90	515.807504078	127.890701468	-0.003737	-0.081869	528	395	0.0	-0.085	0	0	1	0	200
140	90	512.349102773	132.324632953	-0.004797	-0.080510	528	395	0.0	-0.085	0	0	1	0	221
140	90	508.244698206	138.086460033	-0.006055	-0.078744	528	395	0.0	-0.085	0	0	1	0	240
140	90	503.425774878	145.551386623	-0.007532	-0.076456	528	395	0.0	-0.085	0	0	1	0	261
140	90	497.539967374	154.836867863	-0.009336	-0.073610	528	395	0.0	-0.085	0	0	1	0	280
140	90	490.923327896	166.066884176	-0.011364	-0.070168	528	395	0.0	-0.085	0	0	1	0	300
140	90	483.628058728	179.110929853	-0.013600	-0.066170	528	395	0.0	-0.085	0	0	1	0	320
140	90	475.412724307	194.203915171	-0.016118	-0.061544	528	395	0.0	-0.085	0	0	1	0	341
140	90	466.691680261	211.127243067	-0.018791	-0.056357	528	395	0.0	-0.085	0	0	1	0	361
140	90	457.2137031	229.665579119	-0.021696	-0.050675	528	395	0.0	-0.085	0	0	1	0	381
140	90	447.128874388	249.776508972	-0.024787	-0.044511	528	395	0.0	-0.085	0	0	1	0	400
