trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	74.741	50	0	0	3.0864	11.314	5.8426	11.085	1	2269	1
140	139.24	130	0	0	-8.8575	7.6354	-9.6876	7.1287	1	2189	1
141	107.26	90	0	0	-3.4419	11.076	-1.2794	12.375	1	2129	1
142	73.925	50	0	0	3.2761	11.369	4.08	10.827	1	2232	1
143	132.89	130	0	0	-7.7857	8.3804	-9.7829	7.5587	1	2109	1
144	105.01	90	0	0	-3.0635	11.428	-2.1369	12.174	1	2149	1
145	105.32	90	0	0	-3.171	11.578	0.93583	12.747	1	2221	1
146	66.165	50	0	0	5.0112	11.343	5.1519	11.429	1	2731	1
147	131.69	130	0	0	-8.0597	9.048	-9.8544	7.358	1	2149	1
148	96.886	90	0	0	-1.3997	11.59	-0.42188	12.547	1	3039	1
149	120.27	130	0	0	-5.8546	10.029	-7.8774	9.4793	1	2217	1
150	64.366	50	0	0	5.024	10.47	5.795	10.397	1	2169	1
151	60.199	50	0	0	5.8046	10.135	7.0574	9.9953	1	2257	1
152	97.403	90	0	0	-1.4695	11.309	1.0549	11.744	1	2169	1
153	121.13	130	0	0	-6.0159	9.9592	-7.1151	9.8807	1	2189	1
154	119.71	130	0	0	-5.8387	10.233	-7.4963	10.483	1	2132	1
155	64.59	50	0	0	5.2251	10.999	5.7712	11.343	1	3133	1
156	104.86	90	0	0	-3.0483	11.489	-0.96973	11.515	1	2170	1
283	102.58	90	0	0	-2.5469	11.411	-0.37424	13.407	2	2290	1
284	125.66	130	0	0	-6.7431	9.3982	-9.7353	7.9313	2	2130	1
285	66.916	50	0	0	4.589	10.767	5.3424	10.769	2	2190	1
286	104.88	90	0	0	-3.0591	11.515	-1.7558	12.002	2	2150	1
287	129.73	130	0	0	-7.485	9.0067	-9.4256	8.2753	2	2129	1
288	70.383	50	0	0	4.3801	12.289	3.6036	11.056	2	2478	1
289	110.08	90	0	0	-4.5176	12.358	-5.3287	11.314	2	2909	1
290	63.682	50	0	0	5.2851	10.685	6.6763	10.081	2	2196	1
291	125.07	130	0	0	-6.8311	9.7302	-8.3299	8.6767	2	2149	1
292	116.91	130	0	0	-5.5089	10.854	-6.0433	11.027	2	2316	1
293	96.257	90	0	0	-1.2359	11.272	-1.1603	12.432	2	2129	1
294	55.465	50	0	0	7.0179	10.198	8.4151	8.7627	2	2209	1
295	115.75	130	0	0	-4.9787	10.324	-5.8289	11.142	2	2704	1
296	52.095	50	0	0	7.5404	9.6845	3.6036	11.629	2	2229	1
297	97.686	90	0	0	-1.5783	11.694	1.174	11.572	2	2109	1
298	121.47	130	0	0	-6.3938	10.445	-8.3061	9.5653	2	2718	1
