Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
46	136.204169846	130	0.0	-0.085	-0.097294	0.008288	1226	784	1	13142
47	54.0025815351	50	0.0	-0.085	0.074388	0.017396	350	742	1	6661
48	89.5845442138	90	0.0	-0.085	0.000959	0.047254	719	864	1	10187
49	85.8035573865	90	0.0	-0.085	0.008857	0.035712	762	899	1	3681
50	134.448408007	130	0.0	-0.085	-0.095155	0.012005	1243	827	1	8043
51	56.3860307784	50	0.0	-0.085	0.068668	0.018299	407	775	1	4261
52	60.2290133429	50	0.0	-0.085	0.062990	0.025116	345	803	1	3571
53	129.346757689	130	0.0	-0.085	-0.080531	0.013226	1240	807	1	10475
54	89.5269830284	90	0.0	-0.085	0.000995	0.035520	770	899	1	4303
55	124.196545273	130	0.0	-0.085	-0.068668	0.016055	1255	678	1	4702
56	52.4885591846	50	0.0	-0.085	0.073287	0.010470	391	715	1	3412
57	90.3474241696	90	0.0	-0.085	-0.000755	0.039510	604	797	1	3836
58	94.3607328098	90	0.0	-0.085	-0.009468	0.039160	795	827	1	3984
59	122.750238959	130	0.0	-0.085	-0.066740	0.018758	1117	686	1	6198
60	52.582077596	50	0.0	-0.085	0.074569	0.012469	348	628	1	7832
61	126.928464698	130	0.0	-0.085	-0.074530	0.014162	1177	580	1	4740
62	55.38747815	50	0.0	-0.085	0.072463	0.019992	459	731	1	8426
63	88.0477382131	90	0.0	-0.085	0.004124	0.035986	613	768	1	4992
118	47.2994910655	50	0.0	-0.085	0.085813	0.007993	433	671	2	3093
119	121.889624238	130	0.0	-0.085	-0.069458	0.026634	1003	731	2	3099
120	92.4763706478	90	0.0	-0.085	-0.005286	0.037226	724	790	2	2538
121	45.269906506	50	0.0	-0.085	0.086096	0.001911	338	620	2	2216
122	84.4775168999	90	0.0	-0.085	0.011798	0.037025	638	776	2	2936
123	115.803990379	130	0.0	-0.085	-0.052351	0.023274	952	773	2	2216
124	24.6570125464	50	0.0	-0.085	0.114929	-0.032243	299	557	2	3264
125	72.9319909769	90	0.0	-0.085	0.036643	0.034347	593	775	2	2534
126	127.604526279	130	0.0	-0.085	-0.076644	0.014508	1134	566	2	2199
127	61.0134809559	50	0.0	-0.085	0.059415	0.022247	523	719	2	2536
128	74.3828977527	90	0.0	-0.085	0.033482	0.034781	615	768	2	2257
129	121.452776892	130	0.0	-0.085	-0.063989	0.019614	1020	719	2	2274
130	74.9675707652	90	0.0	-0.085	0.033244	0.038788	577	747	2	5061
131	55.4967164153	50	0.0	-0.085	0.069549	0.016182	409	665	2	3203
132	124.439351185	130	0.0	-0.085	-0.069627	0.016538	1110	638	2	2405
133	82.8267593748	90	0.0	-0.085	0.015163	0.035480	612	785	2	2591
134	57.5530397509	50	0.0	-0.085	0.067815	0.021666	404	680	2	2715
135	113.938814077	130	0.0	-0.085	-0.051448	0.030887	984	735	2	2095
190	47.6925705025	50	0.0	-0.085	0.083962	0.007249	470	735	3	3182
191	92.6550647244	90	0.0	-0.085	-0.005757	0.039146	770	775	3	3548
192	132.016776446	130	0.0	-0.085	-0.081476	0.005435	1147	608	3	2456
193	51.3462635853	50	0.0	-0.085	0.076401	0.010522	390	662	3	2456
194	93.5259740748	90	0.0	-0.085	-0.007385	0.034852	738	778	3	3328
195	128.009339454	130	0.0	-0.085	-0.076097	0.012367	1108	677	3	2384
196	47.2215643027	50	0.0	-0.085	0.083749	0.005509	454	682	3	2598
197	117.823803369	130	0.0	-0.085	-0.056053	0.021207	1110	650	3	2552
198	74.5021353503	90	0.0	-0.085	0.032691	0.032897	746	748	3	2996
199	46.2359397663	50	0.0	-0.085	0.085305	0.004067	460	686	3	3224
200	81.5999132747	90	0.0	-0.085	0.017533	0.033732	703	756	3	3310
202	92.0616544153	90	0.0	-0.085	-0.004388	0.036895	754	770	3	3468
203	59.4519086973	50	0.0	-0.085	0.062515	0.020926	425	688	3	2693
204	123.200189123	130	0.0	-0.085	-0.066716	0.016952	1054	679	3	2992
205	65.6809269098	50	0.0	-0.085	0.050914	0.027662	508	733	3	4620
206	99.5905039289	90	0.0	-0.085	-0.020311	0.035207	733	752	3	2522
207	123.181837699	130	0.0	-0.085	-0.066466	0.016641	1052	657	3	3339
262	65.0342047745	50	0.0	-0.085	0.052951	0.028731	489	694	4	3831
263	94.9292341761	90	0.0	-0.085	-0.010550	0.037327	691	797	4	2283
264	126.944162916	130	0.0	-0.085	-0.075305	0.015136	1127	650	4	2213
265	93.2026104468	90	0.0	-0.085	-0.006820	0.036885	752	788	4	3261
266	114.441068921	130	0.0	-0.085	-0.051669	0.028687	985	730	4	4113
267	57.2810824088	50	0.0	-0.085	0.068230	0.021202	357	673	4	2463
268	119.658744822	130	0.0	-0.085	-0.061974	0.023834	1038	704	4	1949
