Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	114.387671905	90	0.0	-0.085	-0.047485	0.019740	883	749	1	2506
140	66.3151851476	50	0.0	-0.085	0.046238	0.020409	479	690	1	4032
141	136.171378283	130	0.0	-0.085	-0.082570	-0.005739	1100	629	1	2079
142	65.2586887588	50	0.0	-0.085	0.046438	0.015772	438	687	1	2139
143	135.481606942	130	0.0	-0.085	-0.079117	-0.007202	1123	617	1	2316
144	98.2057870059	90	0.0	-0.085	-0.015953	0.025627	775	762	1	2016
145	103.316129839	90	0.0	-0.085	-0.025984	0.024782	761	781	1	3176
146	130.788512183	130	0.0	-0.085	-0.074141	0.000928	1127	650	1	2280
147	72.5064744064	50	0.0	-0.085	0.034233	0.023616	441	675	1	2179
148	131.14208548	130	0.0	-0.085	-0.073529	-0.000837	1094	688	1	1959
149	66.6889899356	50	0.0	-0.085	0.045126	0.019726	418	646	1	2026
150	104.063013794	90	0.0	-0.085	-0.027371	0.024267	725	752	1	1993
151	127.640257832	130	0.0	-0.085	-0.069451	0.005053	1050	672	1	1988
152	94.0827861061	90	0.0	-0.085	-0.007906	0.025761	775	773	1	1977
153	73.9925053791	50	0.0	-0.085	0.031699	0.025493	400	672	1	3345
154	85.9368464723	50	0.0	-0.085	0.008228	0.030831	468	693	1	2279
155	103.860782076	90	0.0	-0.085	-0.026790	0.023572	795	787	1	3089
156	130.960824736	130	0.0	-0.085	-0.072566	-0.001407	1122	635	1	2001
283	140.207246113	130	0.0	-0.085	-0.088395	-0.011371	1109	661	2	2314
284	101.464573499	90	0.0	-0.085	-0.022516	0.026021	922	774	2	1819
285	71.0760742803	50	0.0	-0.085	0.037734	0.025062	544	732	2	1919
286	107.537707261	90	0.0	-0.085	-0.033907	0.022293	907	746	2	1879
287	76.3052751275	50	0.0	-0.085	0.027792	0.029053	579	763	2	1899
288	132.432556406	130	0.0	-0.085	-0.075673	-0.002222	1138	595	2	1899
289	90.5258014167	90	0.0	-0.085	-0.001041	0.028433	714	766	2	1939
290	66.1902599765	50	0.0	-0.085	0.045741	0.018661	461	694	2	1880
291	125.295877047	130	0.0	-0.085	-0.065175	0.007064	1005	705	2	1999
292	76.8147531961	90	0.0	-0.085	0.026428	0.027807	660	771	2	1920
293	67.5219435516	50	0.0	-0.085	0.043562	0.020282	537	736	2	2695
294	125.877995439	130	0.0	-0.085	-0.065827	0.006010	1122	631	2	2420
295	120.37824903	130	0.0	-0.085	-0.056023	0.010572	1166	630	2	2157
296	87.1809313825	90	0.0	-0.085	0.005426	0.025191	765	785	2	2033
297	61.778122374	50	0.0	-0.085	0.054602	0.016739	495	721	2	2429
298	127.744197341	130	0.0	-0.085	-0.069290	0.004508	1149	596	2	1937
299	66.2690708861	50	0.0	-0.085	0.046155	0.019990	446	660	2	1919
300	101.803899025	90	0.0	-0.085	-0.023146	0.025756	838	771	2	1939
427	141.241248677	130	0.0	-0.085	-0.086248	-0.015757	1122	662	3	1879
428	75.1419186348	50	0.0	-0.085	0.029901	0.027708	536	771	3	1879
429	101.984128107	90	0.0	-0.085	-0.023862	0.027415	873	758	3	2374
430	67.7722165738	50	0.0	-0.085	0.043102	0.020472	543	732	3	1939
431	134.259967643	130	0.0	-0.085	-0.077871	-0.005091	1080	656	3	1979
432	96.7434546775	90	0.0	-0.085	-0.013422	0.028513	846	770	3	1859
433	71.2482203238	50	0.0	-0.085	0.036639	0.022924	495	718	3	1859
434	134.081038758	130	0.0	-0.085	-0.077691	-0.004776	1074	662	3	1979
435	92.7768649924	90	0.0	-0.085	-0.005461	0.027590	726	770	3	1859
436	133.17266942	130	0.0	-0.085	-0.079502	-0.000258	1008	688	3	1879
437	93.3135132821	90	0.0	-0.085	-0.006534	0.027857	790	754	3	1979
438	65.1271193291	50	0.0	-0.085	0.048080	0.018708	510	728	3	1899
439	130.191690397	130	0.0	-0.085	-0.072574	0.000905	980	658	3	1979
440	92.4633565757	90	0.0	-0.085	-0.004900	0.028900	808	749	3	1959
441	60.5136460901	50	0.0	-0.085	0.056612	0.015117	492	709	3	2576
442	60.3255579201	50	0.0	-0.085	0.055842	0.013003	453	709	3	2039
443	103.982711753	90	0.0	-0.085	-0.027536	0.025583	838	789	3	1920
444	130.84880414	130	0.0	-0.085	-0.073902	0.000469	1133	634	3	1860
571	70.8029046422	50	0.0	-0.085	0.037812	0.023599	532	772	4	2039
572	100.841657446	90	0.0	-0.085	-0.021155	0.025462	829	768	4	1759
573	137.576204095	130	0.0	-0.085	-0.084494	-0.007782	1088	641	4	1819
574	67.5185908194	50	0.0	-0.085	0.042773	0.018358	458	687	4	1819
575	102.132539328	90	0.0	-0.085	-0.023663	0.025073	810	758	4	1839
576	142.646126679	130	0.0	-0.085	-0.089081	-0.017006	1097	649	4	1919
577	65.7216313935	50	0.0	-0.085	0.048676	0.022914	477	686	4	1859
578	100.371068556	90	0.0	-0.085	-0.020075	0.024692	773	782	4	1879
579	141.299799779	130	0.0	-0.085	-0.089211	-0.013528	1133	626	4	1859
580	94.1322592594	90	0.0	-0.085	-0.008104	0.027171	691	755	4	1859
581	129.193388152	130	0.0	-0.085	-0.071291	0.002432	1082	661	4	1859
582	87.9102058652	50	0.0	-0.085	0.004217	0.030566	592	748	4	1839
583	52.3801077004	50	0.0	-0.085	0.069709	0.005454	322	578	4	1939
584	105.166676613	90	0.0	-0.085	-0.030147	0.026215	873	757	4	1899
585	135.040301831	130	0.0	-0.085	-0.078958	-0.006153	1131	607	4	1879
586	62.7672277141	50	0.0	-0.085	0.052700	0.017399	392	632	4	1920
587	100.07883571	90	0.0	-0.085	-0.019420	0.024257	828	769	4	1860
588	128.493125102	130	0.0	-0.085	-0.070603	0.003782	1126	621	4	1860
