trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	52.727	50	0	0	7.2911	9.5803	8.5104	10.732	1	7850	1
47	91.355	90	0	0	-0.2939	12.422	-0.088406	15.061	1	5738	1
48	85.381	130	0	0	0.9672	11.972	-2.3513	14.143	1	4856	1
49	143.68	130	0	0	-10.072	7.403	-10.569	8.3527	1	4728	1
50	58.822	90	0	0	6.432	10.63	3.9133	14.143	1	4026	1
51	69.577	50	0	0	4.2405	11.388	3.8418	13.57	1	3606	1
52	27.885	50	0	0	10.891	5.7628	10.059	8.324	1	3129	1
53	107.48	90	0	0	-3.6553	11.608	-3.042	14.029	1	3248	1
54	104.71	130	0	0	-3.1407	11.967	-4.1377	13.513	1	4041	1
55	144.66	130	0	0	-9.9926	7.0857	-9.5447	9.9007	1	3339	1
56	101.4	90	0	0	-2.3846	11.827	-3.1849	14	1	3369	1
57	68.343	50	0	0	4.5618	11.488	4.2944	13.57	1	3425	1
58	139.21	130	0	0	-9.2247	7.9604	-10.926	7.1773	1	2791	1
59	61.974	90	0	0	5.6593	10.632	5.6759	13.455	1	2963	1
60	58.835	50	0	0	6.3754	10.541	6.1047	12.165	1	3213	1
61	64.744	50	0	0	5.1576	10.933	4.5564	13.57	1	2853	1
62	101.11	90	0	0	-2.3284	11.854	-4.0663	13.484	1	3333	1
63	136.7	130	0	0	-9.0093	8.4891	-10.164	8.324	1	3189	1
118	89.376	90	0	0	0.1312	12.055	1.5075	14.258	2	4407	1
119	132.75	130	0	0	-8.154	8.8209	-10.76	8.2953	2	2472	1
120	72.297	50	0	0	3.6498	11.434	3.7227	13.971	2	2668	1
121	81.194	50	0	0	1.8653	12.041	1.7457	14.287	2	2344	1
122	102.23	90	0	0	-2.5707	11.863	-2.6133	14.373	2	2638	1
123	132.03	130	0	0	-8.0603	8.9425	-8.8778	8.5533	2	2456	1
124	72.055	50	0	0	3.7381	11.543	4.08	13.914	2	2680	1
125	105.24	90	0	0	-3.2347	11.875	-3.6137	13.914	2	2586	1
126	108.67	130	0	0	-3.9039	11.553	-2.9229	14.688	2	2769	1
127	62.959	90	0	0	5.5484	10.87	5.3662	13.484	2	2929	1
128	130.36	130	0	0	-8.0724	9.4988	-7.1151	12.28	2	2640	1
129	58.09	50	0	0	6.3766	10.241	8.2008	11.707	2	2347	1
130	122.2	130	0	0	-6.4848	10.299	-7.5439	11.506	2	3289	1
131	100.82	90	0	0	-2.3065	12.066	-2.5894	14.287	2	3033	1
132	66.61	50	0	0	4.8192	11.142	5.2472	13.541	2	2541	1
133	67.477	90	0	0	4.6099	11.117	5.3186	13.369	2	2851	1
134	81.361	50	0	0	1.8477	12.161	1.9839	14.287	2	2707	1
135	143.9	130	0	0	-9.8803	7.2046	-11.022	7.3493	2	2617	1
190	77.704	90	0	0	2.5674	11.779	3.556	13.771	3	5049	1
191	132	130	0	0	-8.0926	8.9869	-10.164	9.0693	3	3170	1
192	48.953	50	0	0	7.9232	9.0995	10.511	8.926	3	2618	1
193	91.83	90	0	0	-0.3952	12.368	1.5313	14.631	3	2480	1
194	78.071	50	0	0	2.5705	12.167	3.1749	13.713	3	2218	1
195	135.42	130	0	0	-8.6023	8.4771	-10.307	8.324	3	2416	1
196	78.595	90	0	0	2.3923	11.859	4.5087	13.885	3	2560	1
197	73.933	50	0	0	3.4014	11.81	5.2948	13.14	3	2218	1
198	135.56	130	0	0	-8.8836	8.7126	-10.569	6.6327	3	2159	1
199	82.764	90	0	0	1.5608	12.292	3.818	13.57	3	2441	1
200	135.9	130	0	0	-8.682	8.4137	-10.235	7.292	3	2372	1
201	71.725	50	0	0	3.8959	11.797	4.7946	13.484	3	2519	1
202	78.719	50	0	0	2.3692	11.878	4.1991	13.513	3	2966	1
203	135.08	130	0	0	-8.7774	8.7538	-10.331	8.3527	3	2688	1
204	81.925	90	0	0	1.6898	11.91	3.3654	13.57	3	2928	1
205	108.93	90	0	0	-4.0278	11.744	-3.8042	13.513	3	2791	1
206	75.364	50	0	0	3.0482	11.672	4.1276	13.828	3	2819	1
207	141.06	130	0	0	-9.6574	7.8028	-10.093	9.098	3	2362	1
262	59.255	50	0	0	6.3641	10.699	9.225	9.5853	4	3048	1
263	99.009	90	0	0	-1.9558	12.336	-0.63625	15.433	4	2299	1
264	139.88	130	0	0	-9.5654	8.0613	-10.188	8.668	4	2119	1
265	68.42	50	0	0	4.542	11.484	8.9868	10.245	4	2059	1
266	98.021	90	0	0	-1.7168	12.183	-0.15986	14.516	4	2158	1
267	126.17	130	0	0	-7.306	9.9937	-8.3061	11.85	4	2192	1
268	58.729	50	0	0	6.3134	10.396	9.7252	9.958	4	2228	1
269	111.9	90	0	0	-4.5007	11.198	-5.5907	13.341	4	2296	1
270	143.23	130	0	0	-9.6385	7.2023	-10.926	7.464	4	2496	1
271	85.325	50	0	0	1.0019	12.251	2.103	13.685	4	2392	1
272	120.8	130	0	0	-6.2617	10.505	-4.7094	13.484	4	2508	1
273	116.83	90	0	0	-5.5254	10.926	-4.3759	13.828	4	2304	1
274	148.28	130	0	0	-10.523	6.5046	-10.498	7.808	4	2350	1
275	82.763	50	0	0	1.5552	12.247	3.6989	13.771	4	2435	1
276	120.99	90	0	0	-6.3558	10.584	-5.686	13.513	4	2480	1
277	73.365	90	0	0	3.5131	11.758	3.9133	13.771	4	2881	1
278	141.32	130	0	0	-9.3953	7.5215	-10.688	7.0627	4	2179	1
279	84.357	50	0	0	1.1978	12.122	4.4611	13.713	4	2119	1
