Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	90	528.959216966	119.07177814	0.000294	-0.084572	528	395	0.0	-0.085	0.0	0.035	1	0	0
1	90	529.145187602	119.241435563	0.000351	-0.084520	528	395	0.0	-0.085	0.0	0.035	1	0	20
1	90	529.657422512	119.499184339	0.000508	-0.084441	528	395	0.0	-0.085	0.0	0.035	1	0	40
1	90	530.313213703	120.102773246	0.000709	-0.084256	528	395	0.0	-0.085	0.0	0.035	1	0	61
1	90	531.383360522	120.879282219	0.001037	-0.084018	528	395	0.0	-0.085	0.0	0.035	1	0	80
1	90	532.505709625	121.910277325	0.001381	-0.083702	528	395	0.0	-0.085	0.0	0.035	1	0	100
1	90	533.66721044	122.774877651	0.001737	-0.083437	528	395	0.0	-0.085	0.0	0.035	1	0	121
1	90	535.151712887	123.727569331	0.002192	-0.083145	528	395	0.0	-0.085	0.0	0.035	1	0	141
1	90	536.541598695	124.592169657	0.002618	-0.082880	528	395	0.0	-0.085	0.0	0.035	1	0	160
1	90	538.159869494	125.463295269	0.003114	-0.082613	528	395	0.0	-0.085	0.0	0.035	1	0	180
1	90	539.549755302	126.331158238	0.003540	-0.082347	528	395	0.0	-0.085	0.0	0.035	1	0	200
1	90	540.841761827	127.114192496	0.003936	-0.082107	528	395	0.0	-0.085	0.0	0.035	1	0	220
1	90	542.042414356	127.812398042	0.004304	-0.081893	528	395	0.0	-0.085	0.0	0.035	1	0	240
1	90	543.057096248	128.337683524	0.004615	-0.081732	528	395	0.0	-0.085	0.0	0.035	1	0	260
1	90	544.068515498	128.862969005	0.004925	-0.081571	528	395	0.0	-0.085	0.0	0.035	1	0	280
1	90	544.668841762	129.212071778	0.005109	-0.081464	528	395	0.0	-0.085	0.0	0.035	1	0	300
1	90	545.174551387	129.47634584	0.005264	-0.081383	528	395	0.0	-0.085	0.0	0.035	1	0	320
1	90	545.45187602	129.737357259	0.005349	-0.081303	528	395	0.0	-0.085	0.0	0.035	1	0	340
1	90	545.546492659	129.825448613	0.005378	-0.081276	528	395	0.0	-0.085	0.0	0.035	1	0	361
1	90	545.546492659	129.825448613	0.005378	-0.081276	528	395	0.0	-0.085	0.0	0.035	1	0	380
1	90	545.360522023	129.649265905	0.005321	-0.081330	528	395	0.0	-0.085	0.0	0.035	1	0	401
1	90	545.037520392	129.561174551	0.005222	-0.081357	528	395	0.0	-0.085	0.0	0.035	1	0	420
1	90	544.854812398	129.388254486	0.005166	-0.081410	528	395	0.0	-0.085	0.0	0.035	1	0	441
1	90	544.760195759	129.300163132	0.005137	-0.081437	528	395	0.0	-0.085	0.0	0.035	1	0	460
1	90	544.668841762	129.212071778	0.005109	-0.081464	528	395	0.0	-0.085	0.0	0.035	1	0	480
1	90	544.577487765	129.127243067	0.005081	-0.081490	528	395	0.0	-0.085	0.0	0.035	1	0	501
1	90	544.577487765	129.127243067	0.005081	-0.081490	528	395	0.0	-0.085	0.0	0.035	1	0	520
1	90	544.668841762	129.212071778	0.005109	-0.081464	528	395	0.0	-0.085	0.0	0.035	1	0	541
1	90	544.668841762	129.212071778	0.005109	-0.081464	528	395	0.0	-0.085	0.0	0.035	1	0	560
1	90	544.668841762	129.212071778	0.005109	-0.081464	528	395	0.0	-0.085	0.0	0.035	1	0	580
1	90	544.760195759	129.300163132	0.005137	-0.081437	528	395	0.0	-0.085	0.0	0.035	1	0	600
1	90	544.854812398	129.388254486	0.005166	-0.081410	528	395	0.0	-0.085	0.0	0.035	1	0	620
1	90	545.132137031	129.649265905	0.005251	-0.081330	528	395	0.0	-0.085	0.0	0.035	1	0	640
1	90	545.549755302	130.259380098	0.005379	-0.081143	528	395	0.0	-0.085	0.0	0.035	1	0	660
1	90	545.836867863	131.384991843	0.005467	-0.080798	528	395	0.0	-0.085	0.0	0.035	1	0	680
1	90	545.859706362	133.554649266	0.005474	-0.080133	528	395	0.0	-0.085	0.0	0.035	1	0	700
1	90	546.208809135	136.683523654	0.005581	-0.079174	528	395	0.0	-0.085	0.0	0.035	1	0	720
1	90	546.704730832	141.042414356	0.005733	-0.077838	528	395	0.0	-0.085	0.0	0.035	1	0	740
1	90	547.608482871	146.468189233	0.006010	-0.076175	528	395	0.0	-0.085	0.0	0.035	1	0	761
1	90	548.466557912	153.407830343	0.006273	-0.074048	528	395	0.0	-0.085	0.0	0.035	1	0	780
1	90	549.624796085	161.355628059	0.006628	-0.071612	528	395	0.0	-0.085	0.0	0.035	1	0	800
1	90	551.39314845	170.419249592	0.007170	-0.068834	528	395	0.0	-0.085	0.0	0.035	1	0	820
1	90	553.259380098	180.347471452	0.007742	-0.065791	528	395	0.0	-0.085	0.0	0.035	1	0	840
1	90	555.755301794	190.79771615	0.008507	-0.062588	528	395	0.0	-0.085	0.0	0.035	1	0	860
1	90	558.554649266	201.685154976	0.009365	-0.059251	528	395	0.0	-0.085	0.0	0.035	1	0	880
1	90	561.207177814	213.016313214	0.010178	-0.055778	528	395	0.0	-0.085	0.0	0.035	1	0	901
1	90	564.195758564	224.618270799	0.011094	-0.052222	528	395	0.0	-0.085	0.0	0.035	1	0	920
1	90	567.657422512	235.939641109	0.012155	-0.048752	528	395	0.0	-0.085	0.0	0.035	1	0	940
1	90	571.138662316	247.437194127	0.013222	-0.045228	528	395	0.0	-0.085	0.0	0.035	1	0	960
1	90	573.455138662	259.460032626	0.013932	-0.041543	528	395	0.0	-0.085	0.0	0.035	1	0	980
1	90	575.549755302	271.375203915	0.014574	-0.037891	528	395	0.0	-0.085	0.0	0.035	1	0	1000
1	90	577.983686786	283.094616639	0.015320	-0.034299	528	395	0.0	-0.085	0.0	0.035	1	0	1020
1	90	580.277324633	294.791190865	0.016023	-0.030714	528	395	0.0	-0.085	0.0	0.035	1	0	1040
1	90	582.319738989	306.073409462	0.016649	-0.027256	528	395	0.0	-0.085	0.0	0.035	1	0	1060
1	90	583.781402936	317.026101142	0.017097	-0.023899	528	395	0.0	-0.085	0.0	0.035	1	0	1080
1	90	585.141924959	327.450244698	0.017514	-0.020704	528	395	0.0	-0.085	0.0	0.035	1	0	1100
