Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	130	527.298531811	118.814029364	-0.000215	-0.084651	528	395	0.0	-0.085	0	0	1	0	19
73	130	527.027732463	118.983686786	-0.000298	-0.084599	528	395	0.0	-0.085	0	0	1	0	24
73	130	526.711256117	119.329526917	-0.000395	-0.084493	528	395	0.0	-0.085	0	0	1	0	41
73	130	526.398042414	119.672104405	-0.000491	-0.084388	528	395	0.0	-0.085	0	0	1	0	61
73	130	525.990212072	119.929853181	-0.000616	-0.084309	528	395	0.0	-0.085	0	0	1	0	81
73	130	525.810766721	120.187601958	-0.000671	-0.084230	528	395	0.0	-0.085	0	0	1	0	101
73	130	525.22675367	120.706362153	-0.000850	-0.084071	528	395	0.0	-0.085	0	0	1	0	121
73	130	524.597063622	121.394779772	-0.001043	-0.083860	528	395	0.0	-0.085	0	0	1	0	141
73	130	523.615008157	122.598694943	-0.001344	-0.083491	528	395	0.0	-0.085	0	0	1	0	160
73	130	521.546492659	124.500815661	-0.001978	-0.082908	528	395	0.0	-0.085	0	0	1	0	181
73	130	519.181076672	127.182707993	-0.002703	-0.082086	528	395	0.0	-0.085	0	0	1	0	200
73	130	515.879282219	130.918433931	-0.003715	-0.080941	528	395	0.0	-0.085	0	0	1	0	221
73	130	511.477977162	135.975530179	-0.005064	-0.079391	528	395	0.0	-0.085	0	0	1	0	241
73	130	506.574225122	142.28548124	-0.006567	-0.077457	528	395	0.0	-0.085	0	0	1	0	260
73	130	500.544861338	150.138662316	-0.008415	-0.075050	528	395	0.0	-0.085	0	0	1	0	281
73	130	493.732463295	159.649265905	-0.010503	-0.072135	528	395	0.0	-0.085	0	0	1	0	300
73	130	486.672104405	170.491027732	-0.012667	-0.068812	528	395	0.0	-0.085	0	0	1	0	321
73	130	478.381729201	183.694942904	-0.015208	-0.064765	528	395	0.0	-0.085	0	0	1	0	341
73	130	468.740619902	198.977161501	-0.018163	-0.060081	528	395	0.0	-0.085	0	0	1	0	360
