trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	145.91	130	0	0	-10.007	6.7723	-8.3538	8.132	1	4547	1
92	69.399	50	0	0	4.2622	11.339	7.7006	8.906	1	2019	1
93	120.69	90	0	0	-6.3696	10.732	-3.4708	11.228	1	2020	1
94	105.01	90	0	0	-3.1562	11.768	-2.0178	12.117	1	1959	1
95	65.922	50	0	0	5.0532	11.308	9.1059	7.616	1	1879	1
96	144.65	130	0	0	-10.213	7.246	-9.4971	6.8133	1	1860	1
97	105.04	90	0	0	-3.1634	11.775	-0.94591	11.773	1	1768	1
98	135.6	130	0	0	-8.8653	8.6822	-8.6634	7.1573	1	2465	1
99	65.557	50	0	0	5.1446	11.319	8.5819	7.788	1	1859	1
100	75.223	50	0	0	3.1199	11.827	7.9626	8.5333	1	1899	1
101	137.07	130	0	0	-9.1464	8.5082	-7.8774	8.476	1	1859	1
102	93.328	90	0	0	-0.7168	12.328	2.889	12.002	1	1959	1
103	66.866	50	0	0	4.9243	11.526	9.0106	7.358	1	1939	1
104	138.48	130	0	0	-9.1748	8.1218	-8.2347	8.1893	1	1739	1
105	94.185	90	0	0	-0.8871	12.123	4.4373	11.027	1	1859	1
106	66.307	50	0	0	4.8295	11.005	9.3679	7.1287	1	1799	1
107	107.11	90	0	0	-3.6962	12.005	-2.8991	11.257	1	1739	1
108	137.61	130	0	0	-8.9982	8.2137	-9.378	8.1033	1	1779	1
235	104.78	90	0	0	-3.1114	11.794	-1.1841	11.887	2	2160	1
236	67.069	50	0	0	4.7493	11.226	9.2012	7.8453	2	1819	1
237	143.94	130	0	0	-10.05	7.3178	-7.5915	9.1353	2	1839	1
238	71.644	50	0	0	3.8796	11.693	8.9153	6.9567	2	1819	1
239	114.62	90	0	0	-5.1237	11.182	-2.6609	11.629	2	1899	1
240	138.3	130	0	0	-9.0756	8.0865	-6.996	9.9953	2	1839	1
241	102.69	90	0	0	-2.7061	12.018	0.030691	11.658	2	1780	1
242	65.358	50	0	0	5.0749	11.063	9.0821	7.9887	2	1820	1
243	133.51	130	0	0	-8.549	9.0054	-7.2581	10.053	2	1919	1
244	121.24	130	0	0	-6.4522	10.638	-3.8281	11.572	2	1920	1
245	81.862	50	0	0	1.7037	11.914	6.4381	9.508	2	1739	1
246	96.55	90	0	0	-1.383	12.045	3.6751	10.913	2	1820	1
247	131.79	130	0	0	-8.1077	9.0696	-6.9008	9.5367	2	1879	1
248	67.532	50	0	0	4.6079	11.142	8.2722	8.82	2	1799	1
249	103.67	90	0	0	-2.88	11.841	0.45944	11.916	2	1839	1
250	93.574	90	0	0	-0.7924	12.687	1.4599	11.4	2	2601	1
251	62.104	50	0	0	5.8288	11.011	9.6537	7.2147	2	1819	1
252	132.64	130	0	0	-8.1443	8.8445	-7.7821	8.6767	2	1759	1
379	136.99	130	0	0	-9.1993	8.5805	-6.9008	10.311	3	1960	1
380	69.657	50	0	0	4.3063	11.615	7.8435	8.9633	3	1759	1
381	104.33	90	0	0	-3.1174	12.202	-1.7558	11.572	3	1819	1
382	129.27	130	0	0	-7.6825	9.3977	-5.6383	10.769	3	1760	1
383	93.629	90	0	0	-0.7835	12.352	4.7469	10.454	3	1839	1
384	73.516	50	0	0	3.5809	12.101	7.6291	8.8773	3	1859	1
385	134.71	130	0	0	-8.5717	8.6582	-6.9008	9.2787	3	1759	1
386	89.448	90	0	0	0.1237	12.836	4.5326	11.285	3	1859	1
387	62.787	50	0	0	5.5197	10.734	9.487	6.9567	3	1819	1
388	124.56	130	0	0	-6.8638	9.9633	-6.1385	9.6513	3	2566	1
389	72.49	50	0	0	3.7766	11.97	7.7244	8.39	3	1839	1
390	103.89	90	0	0	-2.9687	12.001	-1.2556	12.346	3	1819	1
391	126.5	130	0	0	-7.3353	9.912	-4.495	11.515	3	1759	1
392	100.17	90	0	0	-2.18	12.149	0.57854	11.457	3	1779	1
393	65.25	50	0	0	5.089	11.039	9.1297	7.3007	3	1719	1
394	53.735	50	0	0	7.1426	9.736	10.559	5.6667	3	1759	1
395	154.36	130	0	0	-10.972	5.2658	-10.45	4.434	3	1739	1
396	80.794	90	0	0	1.988	12.266	2.4603	12.518	3	2370	1
523	135.45	130	0	0	-9.029	8.8876	-8.0441	9.078	4	2080	1
524	88.186	90	0	0	0.3999	12.625	4.8422	10.569	4	1679	1
525	53.954	50	0	0	7.1726	9.8557	10.249	6.326	4	1799	1
526	112.64	90	0	0	-4.7204	11.317	-2.78	11.859	4	1659	1
527	62.442	50	0	0	5.6177	10.765	8.1769	8.476	4	1679	1
528	126.81	130	0	0	-7.5193	10.047	-6.8055	10.024	4	1679	1
529	89.294	50	0	0	0.1525	12.38	2.4126	11.658	4	1686	1
530	91.979	90	0	0	-0.4303	12.456	3.5322	11.314	4	1759	1
531	123.95	130	0	0	-7.0171	10.422	-5.6622	11.228	4	1739	1
532	121.4	130	0	0	-6.4824	10.619	-5.9956	10.11	4	1759	1
533	96.748	90	0	0	-1.4519	12.27	1.1978	11.285	4	1719	1
534	58.52	50	0	0	6.3482	10.368	8.6772	8.476	4	2100	1
535	71.839	50	0	0	3.8583	11.762	6.7001	9.3073	4	1900	1
536	122.56	130	0	0	-6.4645	10.123	-5.9242	9.9953	4	1699	1
537	91.639	90	0	0	-0.3576	12.494	3.8418	11.429	4	1640	1
538	73.754	50	0	0	3.5119	12.052	8.7962	8.1033	4	1799	1
539	100.05	90	0	0	-2.1366	12.05	0.55472	11.543	4	1720	1
540	118.59	130	0	0	-5.8305	10.698	-3.9472	11.113	4	1739	1
