Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	145.581086451	130	0.0	-0.085	-0.093367	-0.021025	1135	591	1	2059
140	70.826994957	50	0.0	-0.085	0.037330	0.022360	380	645	1	1799
141	119.477567695	90	0.0	-0.085	-0.057850	0.017343	888	742	1	1819
142	104.346908337	90	0.0	-0.085	-0.028375	0.025940	749	752	1	1759
143	68.8717423738	50	0.0	-0.085	0.042565	0.025148	354	594	1	1759
144	143.512216382	130	0.0	-0.085	-0.094731	-0.014934	1089	626	1	2059
145	104.165231605	90	0.0	-0.085	-0.028078	0.026247	740	768	1	1819
146	135.313813244	130	0.0	-0.085	-0.081233	-0.004652	998	730	1	1779
147	67.113190712	50	0.0	-0.085	0.044858	0.021262	382	619	1	1799
148	76.5611527388	50	0.0	-0.085	0.026258	0.024889	394	646	1	1799
149	136.987390827	130	0.0	-0.085	-0.084579	-0.006094	983	716	1	2139
150	93.6499234986	90	0.0	-0.085	-0.007343	0.030113	615	736	1	1780
151	67.5771018976	50	0.0	-0.085	0.045117	0.024338	410	659	1	1840
152	137.625382134	130	0.0	-0.085	-0.083616	-0.008716	1085	612	1	1859
153	93.9755831307	90	0.0	-0.085	-0.007791	0.027103	624	755	1	1879
154	67.5363143883	50	0.0	-0.085	0.043584	0.020410	402	660	1	1855
155	106.562992217	90	0.0	-0.085	-0.033160	0.026496	709	740	1	1860
156	136.315636301	130	0.0	-0.085	-0.082314	-0.006382	1046	694	1	2579
283	103.866623665	90	0.0	-0.085	-0.027567	0.026672	778	771	2	1780
284	68.5465765555	50	0.0	-0.085	0.041890	0.021598	412	642	2	1740
285	141.148628221	130	0.0	-0.085	-0.090616	-0.012009	1055	623	2	1800
286	71.4323500176	50	0.0	-0.085	0.036955	0.025015	396	644	2	1780
287	112.302664451	90	0.0	-0.085	-0.044288	0.022971	795	756	2	1780
288	136.587297162	130	0.0	-0.085	-0.083780	-0.005738	1079	637	2	2631
289	101.047074177	90	0.0	-0.085	-0.022280	0.029120	711	774	2	1799
290	65.0373998944	50	0.0	-0.085	0.047811	0.017706	352	592	2	1799
291	132.751903159	130	0.0	-0.085	-0.078963	0.000416	1074	639	2	4471
292	118.958481212	130	0.0	-0.085	-0.056091	0.016364	984	730	2	1759
293	78.2983982425	50	0.0	-0.085	0.023513	0.028524	543	720	2	1759
294	94.0869530076	90	0.0	-0.085	-0.008056	0.027747	726	752	2	1759
295	130.102136352	130	0.0	-0.085	-0.073759	0.002585	1115	647	2	1779
296	66.550566561	50	0.0	-0.085	0.045592	0.020108	412	673	2	1779
297	101.273663963	90	0.0	-0.085	-0.022289	0.026813	818	769	2	1739
298	91.4709755221	90	0.0	-0.085	-0.003051	0.033813	715	782	2	1839
299	59.5485433214	50	0.0	-0.085	0.059045	0.015433	450	686	2	1779
300	131.410554416	130	0.0	-0.085	-0.073310	-0.001877	1146	633	2	2650
427	136.550149556	130	0.0	-0.085	-0.085374	-0.004125	1088	651	3	1780
428	68.352316205	50	0.0	-0.085	0.042332	0.021659	462	684	3	1779
429	103.854951809	90	0.0	-0.085	-0.027790	0.027674	691	745	3	1739
