Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	136.086396114	130	0.0	-0.085	-0.082910	-0.005176	1027	688	1	8598
74	84.2005733153	90	0.0	-0.085	0.011193	0.025204	608	756	1	4989
75	44.5462254876	50	0.0	-0.085	0.079348	-0.006899	313	559	1	2837
76	129.515569231	130	0.0	-0.085	-0.071578	0.001783	984	709	1	4968
77	40.652470064	50	0.0	-0.085	0.088354	-0.009131	317	573	1	5263
78	82.8701971696	90	0.0	-0.085	0.014374	0.029914	610	769	1	5470
79	49.3852737809	50	0.0	-0.085	0.074395	0.001753	348	628	1	6296
80	87.3528768855	90	0.0	-0.085	0.005339	0.030478	629	755	1	5131
81	139.776149461	130	0.0	-0.085	-0.086467	-0.011868	998	721	1	2619
82	77.6074212747	90	0.0	-0.085	0.024779	0.027771	625	750	1	6002
83	130.785643154	130	0.0	-0.085	-0.074784	0.001682	972	732	1	3491
84	39.3374395935	50	0.0	-0.085	0.089060	-0.012008	529	575	1	2499
85	39.3063785061	50	0.0	-0.085	0.088957	-0.012173	300	582	1	2521
86	85.1348278888	90	0.0	-0.085	0.009555	0.027256	692	762	1	3146
87	131.742947719	130	0.0	-0.085	-0.074849	-0.001118	985	717	1	3280
88	74.9852833294	90	0.0	-0.085	0.030131	0.027335	610	764	1	2291
89	133.900646834	130	0.0	-0.085	-0.080347	-0.001509	960	728	1	2523
90	29.234109844	50	0.0	-0.085	0.102208	-0.027798	328	608	1	2693
145	131.928159474	130	0.0	-0.085	-0.075271	-0.001192	1004	713	2	5243
146	34.6159023452	50	0.0	-0.085	0.093699	-0.020323	345	600	2	5285
147	76.9119396499	90	0.0	-0.085	0.025841	0.026150	643	746	2	4063
148	124.718109939	130	0.0	-0.085	-0.064640	0.008289	938	733	2	2629
149	32.6908255267	50	0.0	-0.085	0.093050	-0.025284	350	596	2	2585
150	80.3526791597	90	0.0	-0.085	0.019207	0.027991	680	769	2	2379
151	92.5302483732	90	0.0	-0.085	-0.005100	0.030411	760	757	2	2365
152	39.3941629777	50	0.0	-0.085	0.090081	-0.011022	370	621	2	2143
153	125.04139088	130	0.0	-0.085	-0.064305	0.006696	973	696	2	2685
154	74.2689466146	90	0.0	-0.085	0.030104	0.021876	656	772	2	2059
155	137.985890175	130	0.0	-0.085	-0.085053	-0.008380	1101	656	2	2179
156	38.1443687088	50	0.0	-0.085	0.089756	-0.014510	390	643	2	2443
157	40.3874602715	50	0.0	-0.085	0.085292	-0.012443	386	630	2	2285
158	139.639100705	130	0.0	-0.085	-0.085511	-0.012325	1083	647	2	2099
159	87.1492357749	90	0.0	-0.085	0.005562	0.026695	714	771	2	2060
160	145.670379297	130	0.0	-0.085	-0.092665	-0.021718	1042	664	2	2140
161	91.3515737697	90	0.0	-0.085	-0.002656	0.027572	721	768	2	2139
162	36.4546812333	50	0.0	-0.085	0.090568	-0.018094	357	579	2	2259
217	131.362992722	130	0.0	-0.085	-0.074649	-0.000217	1027	705	3	2697
218	38.964023026	50	0.0	-0.085	0.089012	-0.013012	335	603	3	2199
219	79.8992754437	90	0.0	-0.085	0.019990	0.027215	681	776	3	2139
220	32.2611902552	50	0.0	-0.085	0.095465	-0.024740	319	568	3	2199
221	73.5568379625	90	0.0	-0.085	0.031526	0.021819	606	746	3	2890
222	146.438942693	130	0.0	-0.085	-0.096176	-0.021195	1059	666	3	2039
223	136.686860695	130	0.0	-0.085	-0.080836	-0.008789	1039	703	3	2179
224	38.6340257059	50	0.0	-0.085	0.089465	-0.013494	354	606	3	2239
225	82.5741009413	90	0.0	-0.085	0.014778	0.028383	648	759	3	2119
226	146.03465285	130	0.0	-0.085	-0.092882	-0.022432	1106	635	3	2179
227	36.1482590544	50	0.0	-0.085	0.092632	-0.017332	369	629	3	3093
228	83.6903747578	90	0.0	-0.085	0.012535	0.028366	643	756	3	2179
229	75.7260094452	90	0.0	-0.085	0.027886	0.024609	578	740	3	2210
230	35.9216298357	50	0.0	-0.085	0.091749	-0.018532	318	561	3	2299
231	138.567009591	130	0.0	-0.085	-0.084528	-0.010392	1037	683	3	2060
232	144.625297912	130	0.0	-0.085	-0.091872	-0.019771	1071	679	3	2219
233	90.114706112	90	0.0	-0.085	-0.000226	0.027887	688	763	3	2219
234	37.4874614857	50	0.0	-0.085	0.091464	-0.014849	357	617	3	3379
289	132.242497349	130	0.0	-0.085	-0.076173	-0.001118	962	606	4	2303
290	38.4245398377	50	0.0	-0.085	0.089956	-0.013639	412	659	4	2119
291	95.6176137314	90	0.0	-0.085	-0.011044	0.027280	744	766	4	1999
292	90.0467210635	90	0.0	-0.085	-0.000092	0.027823	714	764	4	2100
293	145.243351457	130	0.0	-0.085	-0.092227	-0.021004	1121	630	4	2080
294	31.990932032	50	0.0	-0.085	0.096952	-0.024439	369	627	4	2140
295	37.3925329214	50	0.0	-0.085	0.087745	-0.017932	356	607	4	1999
296	97.7002208715	90	0.0	-0.085	-0.015141	0.026982	684	769	4	1960
297	150.623780867	130	0.0	-0.085	-0.097800	-0.029946	1132	621	4	1979
298	100.03447084	90	0.0	-0.085	-0.019713	0.026406	730	770	4	1919
299	145.216602872	130	0.0	-0.085	-0.093559	-0.020015	1071	663	4	1894
300	42.2696304922	50	0.0	-0.085	0.083624	-0.008989	375	645	4	1959
301	149.982099274	130	0.0	-0.085	-0.098178	-0.028276	1114	596	4	1959
302	95.9734873036	90	0.0	-0.085	-0.011713	0.026940	716	758	4	2239
303	38.9829040416	50	0.0	-0.085	0.086802	-0.014752	374	631	4	1979
304	146.243034116	130	0.0	-0.085	-0.095783	-0.020983	1076	642	4	1979
305	85.8243448497	90	0.0	-0.085	0.008131	0.026371	599	752	4	1959
306	38.7999750577	50	0.0	-0.085	0.086320	-0.015597	336	584	4	2039
