Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	147.132117417	130	0.0	-0.085	-0.093705	-0.024454	1130	598	1	2219
140	46.2617126711	50	0.0	-0.085	0.077640	-0.003863	381	643	1	2320
141	105.00618186	90	0.0	-0.085	-0.028925	0.022903	702	760	1	2159
142	156.448138366	130	0.0	-0.085	-0.104405	-0.039491	1031	696	1	2999
143	48.7045918664	50	0.0	-0.085	0.075538	0.000997	391	641	1	2059
144	91.4841948532	90	0.0	-0.085	-0.002901	0.026965	685	756	1	2831
145	146.646227281	130	0.0	-0.085	-0.095992	-0.021816	943	728	1	1939
146	40.8628366414	50	0.0	-0.085	0.085844	-0.010737	346	603	1	1980
147	90.803555461	90	0.0	-0.085	-0.001573	0.027152	644	760	1	1959
148	151.070325029	130	0.0	-0.085	-0.099534	-0.029987	1066	657	1	1979
149	90.8944333541	90	0.0	-0.085	-0.001793	0.029847	670	743	1	2040
150	42.2998925471	50	0.0	-0.085	0.082244	-0.010164	371	604	1	2888
151	44.0058367053	50	0.0	-0.085	0.082458	-0.005355	328	592	1	2019
152	142.168165754	130	0.0	-0.085	-0.090234	-0.014927	924	740	1	1940
153	85.8215537793	90	0.0	-0.085	0.008209	0.027364	630	755	1	1900
154	142.962796095	130	0.0	-0.085	-0.090430	-0.016764	998	710	1	1980
155	86.3372107677	90	0.0	-0.085	0.007223	0.027833	627	753	1	1979
156	42.7880637097	50	0.0	-0.085	0.084435	-0.006845	342	599	1	2059
283	91.5461049922	90	0.0	-0.085	-0.002991	0.025814	665	761	2	2409
284	47.8423562527	50	0.0	-0.085	0.075857	-0.001217	368	618	2	2100
285	152.816380121	130	0.0	-0.085	-0.099640	-0.033828	1078	654	2	1960
286	86.8283154512	90	0.0	-0.085	0.006282	0.028367	593	740	2	2039
287	44.2582029746	50	0.0	-0.085	0.081951	-0.005144	337	584	2	2060
288	151.10624239	130	0.0	-0.085	-0.097933	-0.030952	1063	684	2	2009
289	147.295880584	130	0.0	-0.085	-0.093870	-0.024727	1018	687	2	3750
290	40.7008151193	50	0.0	-0.085	0.085262	-0.011661	332	577	2	2059
291	97.0422086317	90	0.0	-0.085	-0.013794	0.026663	728	773	2	2038
292	162.613829539	130	0.0	-0.085	-0.109790	-0.050623	1102	603	2	2159
293	96.7009782132	90	0.0	-0.085	-0.013095	0.026456	639	754	2	1999
294	40.6128287279	50	0.0	-0.085	0.085076	-0.012048	330	580	2	2179
295	45.9061883002	50	0.0	-0.085	0.079613	-0.002828	337	581	2	3279
296	111.047819565	90	0.0	-0.085	-0.040272	0.019651	778	757	2	1939
297	150.937487581	130	0.0	-0.085	-0.097800	-0.030649	1080	656	2	1959
298	86.9566955024	90	0.0	-0.085	0.006051	0.028814	633	759	2	1979
299	147.796033702	130	0.0	-0.085	-0.096164	-0.024433	1031	685	2	3543
300	46.0576591635	50	0.0	-0.085	0.078101	-0.003961	391	631	2	2039
427	143.438443897	130	0.0	-0.085	-0.091224	-0.017346	1037	692	3	1960
428	90.2517704914	90	0.0	-0.085	-0.000500	0.028785	692	771	3	1939
429	49.2535932508	50	0.0	-0.085	0.073489	0.000299	358	615	3	1940
430	51.5181246935	50	0.0	-0.085	0.070410	0.003575	357	613	3	1939
431	103.806348486	90	0.0	-0.085	-0.026917	0.024534	743	756	3	1879
432	146.968637574	130	0.0	-0.085	-0.096457	-0.022285	1019	675	3	1879
433	44.429219209	50	0.0	-0.085	0.080038	-0.006541	360	616	3	1879
434	147.411454316	130	0.0	-0.085	-0.094998	-0.024273	1022	681	3	1899
435	97.2508872416	90	0.0	-0.085	-0.014245	0.026961	682	769	3	1879
436	101.169818547	90	0.0	-0.085	-0.021905	0.025935	693	763	3	2715
437	43.2376413235	50	0.0	-0.085	0.084187	-0.005839	371	619	3	1880
438	147.461830117	130	0.0	-0.085	-0.096850	-0.023209	1016	669	3	1865
