Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
91	145.965792109	130	0.0	-0.085	-0.099990	-0.017469	1132	593	1	3979
92	83.0969297657	50	0.0	-0.085	0.014451	0.034363	523	700	1	2994
93	129.44352236	90	0.0	-0.085	-0.076711	0.008245	966	741	1	3262
94	106.585944031	90	0.0	-0.085	-0.034677	0.031426	756	754	1	3532
95	86.1704018427	50	0.0	-0.085	0.008199	0.037485	577	740	1	3372
96	146.594017674	130	0.0	-0.085	-0.103292	-0.016876	1143	573	1	2900
97	122.917746801	90	0.0	-0.085	-0.066409	0.017583	918	716	1	2954
98	149.129662597	130	0.0	-0.085	-0.103012	-0.023421	1174	579	1	2430
99	64.679389818	50	0.0	-0.085	0.052110	0.025137	438	681	1	3010
100	137.183288247	130	0.0	-0.085	-0.088961	-0.002573	1083	668	1	2682
101	52.5158461006	50	0.0	-0.085	0.074951	0.012734	314	572	1	3036
102	122.439121056	90	0.0	-0.085	-0.064384	0.016300	894	748	1	2992
103	80.7556924373	50	0.0	-0.085	0.019545	0.035086	577	729	1	3436
104	87.8679073045	90	0.0	-0.085	0.004520	0.036410	573	714	1	3464
105	131.08098272	130	0.0	-0.085	-0.080495	0.007335	1062	684	1	2838
106	118.886923466	130	0.0	-0.085	-0.058696	0.021385	960	718	1	2912
107	64.1649949736	50	0.0	-0.085	0.052877	0.024211	384	626	1	3069
108	107.182734958	90	0.0	-0.085	-0.035853	0.030946	873	755	1	2649
235	122.949029929	90	0.0	-0.085	-0.065375	0.015865	936	730	2	4012
236	65.1404950304	50	0.0	-0.085	0.051248	0.025609	399	657	2	3875
237	151.194659923	130	0.0	-0.085	-0.106073	-0.026673	1139	589	2	3167
238	140.226465606	130	0.0	-0.085	-0.092397	-0.008090	1058	655	2	3145
239	127.584463165	90	0.0	-0.085	-0.074241	0.011458	931	751	2	3079
240	51.8004035039	50	0.0	-0.085	0.074633	0.009843	314	565	2	3105
241	138.002735019	130	0.0	-0.085	-0.091621	-0.002512	1103	670	2	2719
242	89.8873193846	50	0.0	-0.085	0.000236	0.035001	605	741	2	3265
243	122.560183203	90	0.0	-0.085	-0.065137	0.017008	901	736	2	3200
244	139.866277081	130	0.0	-0.085	-0.093509	-0.006164	1047	642	2	4010
245	83.3956680058	50	0.0	-0.085	0.013822	0.034381	576	743	2	2578
246	91.913749612	90	0.0	-0.085	-0.004035	0.035759	576	730	2	2992
247	85.5246970746	50	0.0	-0.085	0.009441	0.035624	590	739	2	2940
248	138.863006364	130	0.0	-0.085	-0.091671	-0.004926	1068	624	2	2690
249	87.9965969109	90	0.0	-0.085	0.004248	0.036440	544	730	2	2866
250	127.938126669	130	0.0	-0.085	-0.073785	0.009651	955	722	2	2587
251	56.9323816879	50	0.0	-0.085	0.066112	0.016541	336	595	2	2873
252	116.837659745	90	0.0	-0.085	-0.054741	0.023192	908	741	2	3037
379	70.8798611842	50	0.0	-0.085	0.039549	0.029081	460	685	3	3714
380	118.189739069	90	0.0	-0.085	-0.058008	0.023231	932	755	3	2885
381	147.643613682	130	0.0	-0.085	-0.101657	-0.020595	1159	587	3	2543
382	129.50037385	130	0.0	-0.085	-0.077426	0.008924	1026	666	3	2509
383	90.5459539235	90	0.0	-0.085	-0.001158	0.036524	618	750	3	2761
384	86.8896336512	50	0.0	-0.085	0.006616	0.036753	590	737	3	2619
385	122.484167296	90	0.0	-0.085	-0.065300	0.017563	930	740	3	2609
386	135.933825658	130	0.0	-0.085	-0.086979	-0.000811	1093	626	3	2400
387	47.2103776749	50	0.0	-0.085	0.082123	0.003717	295	556	3	2700
388	128.359228093	130	0.0	-0.085	-0.075543	0.010451	1042	681	3	2380
389	88.5045458161	90	0.0	-0.085	0.003155	0.035851	577	729	3	2576
390	60.7216539763	50	0.0	-0.085	0.059531	0.021177	387	635	3	2920
391	122.579392439	130	0.0	-0.085	-0.064973	0.016676	967	730	3	2682
392	71.1462582596	50	0.0	-0.085	0.038853	0.028780	468	692	3	2819
393	121.619004523	90	0.0	-0.085	-0.063644	0.018375	912	759	3	2522
394	90.2022106027	90	0.0	-0.085	-0.000425	0.035422	662	766	3	2764
395	73.9487222017	50	0.0	-0.085	0.033582	0.031720	485	718	3	2622
396	141.393736913	130	0.0	-0.085	-0.094809	-0.009298	1083	643	3	2548
523	50.2107052064	50	0.0	-0.085	0.077591	0.008163	352	603	4	4114
524	128.073867135	90	0.0	-0.085	-0.075181	0.010972	982	727	4	3462
525	147.872328998	130	0.0	-0.085	-0.101909	-0.021004	1156	564	4	3028
526	56.1950874083	50	0.0	-0.085	0.067130	0.015259	347	615	4	3104
527	133.050254034	130	0.0	-0.085	-0.082188	0.002981	1068	681	4	2678
528	90.1407802463	90	0.0	-0.085	-0.000297	0.035875	590	754	4	3288
529	129.028292498	130	0.0	-0.085	-0.076473	0.009341	986	694	4	2833
530	74.624638538	50	0.0	-0.085	0.032101	0.031738	550	733	4	3148
531	114.094868009	90	0.0	-0.085	-0.050037	0.026886	892	740	4	2912
532	121.310376423	130	0.0	-0.085	-0.062788	0.018226	894	735	4	2844
533	90.2090530144	90	0.0	-0.085	-0.000446	0.037236	538	716	4	3023
534	59.4990480137	50	0.0	-0.085	0.062589	0.021251	335	602	4	2989
535	72.3877579443	50	0.0	-0.085	0.036711	0.030642	434	688	4	2777
536	111.956553733	90	0.0	-0.085	-0.045309	0.027389	901	749	4	2780
537	140.859106876	130	0.0	-0.085	-0.093539	-0.008872	1089	626	4	2615
538	62.5234499506	50	0.0	-0.085	0.055800	0.022298	355	607	4	2951
539	114.488402572	90	0.0	-0.085	-0.050589	0.026067	919	772	4	2547
540	119.024475247	130	0.0	-0.085	-0.058341	0.020144	970	726	4	2679
