Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	47.291709001	50	0.0	-0.085	0.079952	0.001618	955	770	1	8570
140	174.704324258	130	0.0	-0.085	-0.113765	-0.074455	957	780	1	3530
141	101.731537049	90	0.0	-0.085	-0.022912	0.025332	687	795	1	68393
142	43.6029404027	50	0.0	-0.085	0.082474	-0.006453	340	646	1	2610
143	143.75861991	90	0.0	-0.085	-0.090936	-0.018344	983	761	1	2330
144	127.986366696	130	0.0	-0.085	-0.071280	0.006279	922	780	1	2290
145	137.629606383	90	0.0	-0.085	-0.083476	-0.008855	950	757	1	2229
146	187.778882435	130	0.0	-0.085	-0.109789	-0.099998	1200	541	1	2350
147	35.6566942947	50	0.0	-0.085	0.093898	-0.017635	329	518	1	2569
148	131.494035137	90	0.0	-0.085	-0.076403	0.001376	923	762	1	3462
149	159.282703891	130	0.0	-0.085	-0.106075	-0.044881	1208	536	1	2269
150	45.6242043581	50	0.0	-0.085	0.081844	-0.001353	310	534	1	2249
151	139.529122436	130	0.0	-0.085	-0.086711	-0.011018	994	777	1	2209
152	119.999945459	90	0.0	-0.085	-0.058079	0.015596	918	771	1	2269
153	53.1236012588	50	0.0	-0.085	0.071927	0.010880	350	600	1	2329
154	94.7582145929	50	0.0	-0.085	-0.009309	0.026836	615	759	1	2229
155	150.909809024	130	0.0	-0.085	-0.097297	-0.030867	1174	619	1	2309
156	135.039951018	90	0.0	-0.085	-0.081086	-0.004027	985	759	1	2309
283	49.7195235023	50	0.0	-0.085	0.076522	0.005294	360	659	2	2290
284	152.508459408	130	0.0	-0.085	-0.100788	-0.032552	1144	632	2	2150
285	63.040931029	90	0.0	-0.085	0.051034	0.015337	600	762	2	2289
286	178.20282486	130	0.0	-0.085	-0.114989	-0.081392	1202	535	2	2450
287	140.616059638	90	0.0	-0.085	-0.088004	-0.012754	974	742	2	2329
288	100.847477446	50	0.0	-0.085	-0.021364	0.026492	682	797	2	2329
289	181.561539096	130	0.0	-0.085	-0.114597	-0.088124	1190	523	2	2409
290	138.286218601	90	0.0	-0.085	-0.084235	-0.009913	944	758	2	2339
291	44.6730471718	50	0.0	-0.085	0.082304	-0.003630	354	611	2	3241
292	98.7171527009	50	0.0	-0.085	-0.017114	0.026617	618	769	2	2629
293	127.801577054	130	0.0	-0.085	-0.069736	0.004898	987	770	2	2269
294	139.611327041	90	0.0	-0.085	-0.086378	-0.011516	983	748	2	2409
295	62.3871100538	50	0.0	-0.085	0.052514	0.015395	499	735	2	2569
296	147.039234262	130	0.0	-0.085	-0.092876	-0.024776	1037	732	2	2449
297	117.633380117	90	0.0	-0.085	-0.052510	0.015300	949	743	2	2609
298	185.671568724	130	0.0	-0.085	-0.116592	-0.096579	1241	565	2	3563
299	133.734568538	90	0.0	-0.085	-0.077960	-0.003518	959	802	2	2845
300	50.8934390705	50	0.0	-0.085	0.070939	0.002270	403	665	2	2369
427	41.14627707	50	0.0	-0.085	0.084558	-0.011115	336	638	3	2389
428	144.43445275	90	0.0	-0.085	-0.091954	-0.019251	972	738	3	2641
429	191.006867791	130	0.0	-0.085	-0.108784	-0.106159	1192	527	3	2409
430	113.401702606	130	0.0	-0.085	-0.044664	0.018204	936	796	3	2349
431	81.4187839693	50	0.0	-0.085	0.016842	0.026610	580	758	3	3823
432	135.553157812	90	0.0	-0.085	-0.080942	-0.005606	933	769	3	2329
