Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
46	67.0528664554	50	0.0	-0.085	0.047056	0.026142	350	587	1	13803
47	97.5733301579	90	0.0	-0.085	-0.015991	0.035274	754	748	1	6670
48	138.623661943	130	0.0	-0.085	-0.092079	-0.003889	1105	582	1	3986
49	90.5597528099	90	0.0	-0.085	-0.001186	0.036394	619	719	1	2968
50	53.9377262208	50	0.0	-0.085	0.071549	0.013254	318	498	1	2699
51	129.672365444	130	0.0	-0.085	-0.078473	0.009614	1108	566	1	2739
52	89.7265823802	90	0.0	-0.085	0.000581	0.036750	643	740	1	4484
53	71.865634007	50	0.0	-0.085	0.037898	0.030714	470	653	1	6006
54	134.125402911	130	0.0	-0.085	-0.083761	0.001358	1067	628	1	3295
55	130.989081588	130	0.0	-0.085	-0.079384	0.006356	1084	617	1	3744
56	75.8371988925	50	0.0	-0.085	0.029499	0.031898	611	715	1	2699
57	110.847787222	90	0.0	-0.085	-0.043119	0.028227	969	711	1	2859
58	70.587174882	50	0.0	-0.085	0.040647	0.030341	357	590	1	2826
59	109.450971698	90	0.0	-0.085	-0.040062	0.028440	873	727	1	2665
60	135.732330827	130	0.0	-0.085	-0.086602	-0.000584	1127	536	1	2855
61	79.8799851934	50	0.0	-0.085	0.021358	0.034661	572	741	1	2959
62	135.976484625	130	0.0	-0.085	-0.086760	-0.001148	1137	546	1	3017
63	96.2063491393	90	0.0	-0.085	-0.013012	0.034654	748	728	1	2633
118	122.007532378	130	0.0	-0.085	-0.064406	0.018041	1186	651	2	4303
119	91.615873132	90	0.0	-0.085	-0.003401	0.035561	748	842	2	2828
120	62.8036211387	50	0.0	-0.085	0.055669	0.023337	334	599	2	2832
121	131.678708832	130	0.0	-0.085	-0.081954	0.007052	1160	532	2	2844
122	83.3956680058	50	0.0	-0.085	0.013822	0.034381	524	691	2	2575
123	119.686798788	90	0.0	-0.085	-0.060779	0.021614	950	727	2	2790
