Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
46	130	532.411092985	110.256117455	0.001352	-0.087274	528	395	0.0	-0.085	0	0	1	0	1
46	130	533.63132137	109.065252855	0.001726	-0.087639	528	395	0.0	-0.085	0	0	1	0	21
46	130	536.433931485	106.177814029	0.002585	-0.088524	528	395	0.0	-0.085	0	0	1	0	40
46	130	539.370309951	102.791190865	0.003485	-0.089562	528	395	0.0	-0.085	0	0	1	0	61
46	130	542.398042414	99.0783034258	0.004413	-0.090700	528	395	0.0	-0.085	0	0	1	0	80
46	130	545.422512235	94.9575856444	0.005340	-0.091963	528	395	0.0	-0.085	0	0	1	0	100
46	130	548.221859706	90.8531810767	0.006198	-0.093221	528	395	0.0	-0.085	0	0	1	0	120
46	130	550.84502447	87.013050571	0.007002	-0.094398	528	395	0.0	-0.085	0	0	1	0	140
46	130	552.698205546	83.9331158238	0.007570	-0.095342	528	395	0.0	-0.085	0	0	1	0	160
46	130	553.22675367	82.3474714519	0.007732	-0.095828	528	395	0.0	-0.085	0	0	1	0	180
46	130	553.399673736	81.6818923328	0.007785	-0.096032	528	395	0.0	-0.085	0	0	1	0	200
46	130	553.729200653	81.7699836868	0.007886	-0.096005	528	395	0.0	-0.085	0	0	1	0	220
46	130	554.159869494	82.3572593801	0.008018	-0.095825	528	395	0.0	-0.085	0	0	1	0	240
46	130	555.014681892	83.1207177814	0.008280	-0.095591	528	395	0.0	-0.085	0	0	1	0	260
46	130	556.469820555	83.8058727569	0.008726	-0.095381	528	395	0.0	-0.085	0	0	1	0	280
46	130	558.205546493	84.3278955954	0.009258	-0.095221	528	395	0.0	-0.085	0	0	1	0	300
46	130	560.724306688	84.5301794454	0.010030	-0.095159	528	395	0.0	-0.085	0	0	1	0	320
46	130	563.200652529	84.898858075	0.010789	-0.095046	528	395	0.0	-0.085	0	0	1	0	340
46	130	565.902120718	84.8564437194	0.011617	-0.095059	528	395	0.0	-0.085	0	0	1	0	361
46	130	569.39314845	84.4942903752	0.012687	-0.095170	528	395	0.0	-0.085	0	0	1	0	381
46	130	572.329526917	84.4616639478	0.013587	-0.095180	528	395	0.0	-0.085	0	0	1	0	400
46	130	575.314845024	84.6867862969	0.014502	-0.095111	528	395	0.0	-0.085	0	0	1	0	420
46	130	577.464926591	85.3980424144	0.015161	-0.094893	528	395	0.0	-0.085	0	0	1	0	440
46	130	579.01141925	86.6019575856	0.015635	-0.094524	528	395	0.0	-0.085	0	0	1	0	460
46	130	580.094616639	88.220228385	0.015967	-0.094028	528	395	0.0	-0.085	0	0	1	0	480
46	130	580.110929853	90.7389885808	0.015972	-0.093256	528	395	0.0	-0.085	0	0	1	0	500
46	130	579.895595432	93.2610114192	0.015906	-0.092483	528	395	0.0	-0.085	0	0	1	0	520
46	130	579.073409462	95.854812398	0.015654	-0.091688	528	395	0.0	-0.085	0	0	1	0	540
46	130	577.464926591	98.3572593801	0.015161	-0.090921	528	395	0.0	-0.085	0	0	1	0	560
46	130	575.115823817	100.5954323	0.014441	-0.090235	528	395	0.0	-0.085	0	0	1	0	580
46	130	572.394779772	102.070146819	0.013607	-0.089783	528	395	0.0	-0.085	0	0	1	0	600
46	130	568.60685155	102.765089723	0.012446	-0.089570	528	395	0.0	-0.085	0	0	1	0	620
46	130	565.086460033	102.455138662	0.011367	-0.089665	528	395	0.0	-0.085	0	0	1	0	640
46	130	560.77324633	101.629690049	0.010045	-0.089918	528	395	0.0	-0.085	0	0	1	0	660
46	130	556.815660685	99.8841761827	0.008832	-0.090453	528	395	0.0	-0.085	0	0	1	0	680
46	130	552.251223491	98.2267536705	0.007433	-0.090961	528	395	0.0	-0.085	0	0	1	0	700
46	130	547.817292007	96.4975530179	0.006074	-0.091491	528	395	0.0	-0.085	0	0	1	0	720
46	130	544.16639478	94.8662316476	0.004955	-0.091991	528	395	0.0	-0.085	0	0	1	0	740
46	130	540.668841762	94.0016313214	0.003883	-0.092256	528	395	0.0	-0.085	0	0	1	0	761
46	130	538.104404568	93.5676998369	0.003097	-0.092389	528	395	0.0	-0.085	0	0	1	0	781
46	130	536.437194127	93.7308319739	0.002586	-0.092339	528	395	0.0	-0.085	0	0	1	0	800
46	130	536.032626427	94.4029363785	0.002462	-0.092133	528	395	0.0	-0.085	0	0	1	0	820
46	130	536.159869494	95.7536704731	0.002501	-0.091719	528	395	0.0	-0.085	0	0	1	0	840
46	130	536.584013051	98.2039151713	0.002631	-0.090968	528	395	0.0	-0.085	0	0	1	0	860
46	130	537.207177814	101.254486134	0.002822	-0.090033	528	395	0.0	-0.085	0	0	1	0	880
46	130	537.663947798	105.417618271	0.002962	-0.088757	528	395	0.0	-0.085	0	0	1	0	900
46	130	537.996737357	110.530179445	0.003064	-0.087190	528	395	0.0	-0.085	0	0	1	0	920
46	130	537.327895595	116.856443719	0.002859	-0.085251	528	395	0.0	-0.085	0	0	1	0	940
46	130	535.76182708	124.504078303	0.002379	-0.082907	528	395	0.0	-0.085	0	0	1	0	960
46	130	533.748776509	133.058727569	0.001762	-0.080285	528	395	0.0	-0.085	0	0	1	0	980
46	130	530.339314845	142.716150082	0.000717	-0.077325	528	395	0.0	-0.085	0	0	1	0	1000
46	130	526.495921697	153.319738989	-0.000461	-0.074075	528	395	0.0	-0.085	0	0	1	0	1020
46	130	521.367047308	164.719412724	-0.002033	-0.070581	528	395	0.0	-0.085	0	0	1	0	1041
46	130	515.236541599	176.758564437	-0.003912	-0.066891	528	395	0.0	-0.085	0	0	1	0	1060
46	130	508.032626427	189.365415987	-0.006120	-0.063027	528	395	0.0	-0.085	0	0	1	0	1081
46	130	500.123980424	202.468189233	-0.008544	-0.059011	528	395	0.0	-0.085	0	0	1	0	1101
46	130	491.171288744	215.724306688	-0.011288	-0.054948	528	395	0.0	-0.085	0	0	1	0	1120
46	130	481.941272431	229.218597064	-0.014117	-0.050812	528	395	0.0	-0.085	0	0	1	0	1141
46	130	471.794453507	243.437194127	-0.017227	-0.046454	528	395	0.0	-0.085	0	0	1	0	1161
46	130	460.756933116	258.409461664	-0.020610	-0.041865	528	395	0.0	-0.085	0	0	1	0	1180
46	130	449.699836868	273.659053834	-0.023999	-0.037191	528	395	0.0	-0.085	0	0	1	0	1200
46	130	439.092985318	288.977161501	-0.027250	-0.032496	528	395	0.0	-0.085	0	0	1	0	1220
46	130	428.058727569	305.068515498	-0.030632	-0.027564	528	395	0.0	-0.085	0	0	1	0	1241
