Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	118.826896761	130	0.0	-0.085	-0.054642	0.014283	1184	266	1	2949
74	37.9047961963	50	0.0	-0.085	0.091636	-0.013651	296	606	1	2532
75	78.0628210916	90	0.0	-0.085	0.023322	0.025316	654	801	1	2596
76	128.442134314	130	0.0	-0.085	-0.073223	0.007245	960	745	1	2456
77	83.7772619061	90	0.0	-0.085	0.012747	0.031906	596	813	1	4000
78	51.6450098672	50	0.0	-0.085	0.074085	0.008623	290	622	1	2354
79	89.5620809601	90	0.0	-0.085	0.000855	0.026863	709	810	1	2294
80	48.9937102758	50	0.0	-0.085	0.075403	0.001722	281	609	1	2406
81	135.250937014	130	0.0	-0.085	-0.081984	-0.003731	1091	645	1	3352
82	88.6455795382	90	0.0	-0.085	0.002855	0.035752	517	772	1	2428
83	129.363097078	130	0.0	-0.085	-0.071683	0.002383	1114	683	1	3400
84	53.5700271437	50	0.0	-0.085	0.071418	0.011763	262	620	1	3506
85	119.4680206	130	0.0	-0.085	-0.056811	0.015544	942	764	1	2472
86	86.372862802	90	0.0	-0.085	0.007299	0.030144	585	793	1	2389
87	32.3071536895	50	0.0	-0.085	0.106552	-0.017622	278	602	1	2390
88	152.981926758	130	0.0	-0.085	-0.104204	-0.031864	1041	656	1	3309
89	73.6546485956	50	0.0	-0.085	0.033504	0.029239	540	803	1	2513
90	72.7978198399	90	0.0	-0.085	0.033998	0.024815	543	757	1	2733
145	56.5675823116	50	0.0	-0.085	0.066433	0.015627	304	625	2	2329
146	143.57043874	130	0.0	-0.085	-0.093972	-0.015643	1089	656	2	2411
147	85.8913948415	90	0.0	-0.085	0.008168	0.028710	598	776	2	2388
148	44.1908297513	50	0.0	-0.085	0.089826	0.002324	274	592	2	3103
149	146.948898049	130	0.0	-0.085	-0.095954	-0.022565	1039	700	2	2469
150	133.83654251	90	0.0	-0.085	-0.081621	0.000005	927	784	2	3178
151	102.822841109	90	0.0	-0.085	-0.026156	0.029914	769	798	2	2436
152	49.371969109	50	0.0	-0.085	0.077190	0.004970	266	568	2	2349
153	157.935510456	130	0.0	-0.085	-0.103746	-0.042948	1136	633	2	3220
154	58.8509680893	50	0.0	-0.085	0.058104	0.011134	393	718	2	2394
155	121.562584392	90	0.0	-0.085	-0.060012	0.012691	705	755	2	2494
156	147.707646007	130	0.0	-0.085	-0.098415	-0.022803	1066	642	2	2494
157	93.8048134712	90	0.0	-0.085	-0.007810	0.032436	580	760	2	2878
