Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	90	530.140293638	111.962479608	0.000656	-0.086751	528	395	0.0	-0.085	0.0	0.035	1	0	0
1	90	531.582381729	110.340946166	0.001098	-0.087248	528	395	0.0	-0.085	0.0	0.035	1	0	24
1	90	532.153344209	108.977161501	0.001273	-0.087666	528	395	0.0	-0.085	0.0	0.035	1	0	41
1	90	533.618270799	106.340946166	0.001722	-0.088474	528	395	0.0	-0.085	0.0	0.035	1	0	60
1	90	534.296900489	103.619902121	0.001930	-0.089308	528	395	0.0	-0.085	0.0	0.035	1	0	80
1	90	535.337683524	100.402936378	0.002249	-0.090294	528	395	0.0	-0.085	0.0	0.035	1	0	100
1	90	535.543230016	97.2707993475	0.002312	-0.091254	528	395	0.0	-0.085	0.0	0.035	1	0	120
1	90	536.022838499	93.9820554649	0.002459	-0.092262	528	395	0.0	-0.085	0.0	0.035	1	0	140
1	90	535.48776509	91.0326264274	0.002295	-0.093166	528	395	0.0	-0.085	0.0	0.035	1	0	160
1	90	535.001631321	88.3409461664	0.002146	-0.093991	528	395	0.0	-0.085	0.0	0.035	1	0	180
1	90	533.729200653	85.9885807504	0.001756	-0.094712	528	395	0.0	-0.085	0.0	0.035	1	0	200
1	90	532.234910277	84.0603588907	0.001298	-0.095303	528	395	0.0	-0.085	0.0	0.035	1	0	220
1	90	530.691680261	82.3017944535	0.000825	-0.095842	528	395	0.0	-0.085	0.0	0.035	1	0	241
1	90	529.28548124	80.4649265905	0.000394	-0.096405	528	395	0.0	-0.085	0.0	0.035	1	0	260
1	90	527.970636215	78.7128874388	-0.000009	-0.096942	528	395	0.0	-0.085	0.0	0.035	1	0	280
1	90	526.792822186	76.8825448613	-0.000370	-0.097503	528	395	0.0	-0.085	0.0	0.035	1	0	300
1	90	525.608482871	75.0554649266	-0.000733	-0.098063	528	395	0.0	-0.085	0.0	0.035	1	0	321
1	90	524.701468189	73.0619902121	-0.001011	-0.098674	528	395	0.0	-0.085	0.0	0.035	1	0	340
1	90	523.889070147	71.1566068515	-0.001260	-0.099258	528	395	0.0	-0.085	0.0	0.035	1	0	362
1	90	522.796084829	69.4208809135	-0.001595	-0.099790	528	395	0.0	-0.085	0.0	0.035	1	0	381
1	90	521.79771615	67.7699836868	-0.001901	-0.100296	528	395	0.0	-0.085	0.0	0.035	1	0	400
1	90	520.978792822	65.8743882545	-0.002152	-0.100877	528	395	0.0	-0.085	0.0	0.035	1	0	420
1	90	520.117455139	64.145187602	-0.002416	-0.101407	528	395	0.0	-0.085	0.0	0.035	1	0	440
