Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
100	135	527.344208809	116.755301794	-0.000201	-0.085282	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	0
100	135	527.344208809	116.755301794	-0.000201	-0.085282	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	20
100	135	527.158238173	116.582381729	-0.000258	-0.085335	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	40
100	135	526.877650897	116.324632953	-0.000344	-0.085414	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	60
100	135	526.499184339	115.982055465	-0.000460	-0.085519	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	80
100	135	526.123980424	115.639477977	-0.000575	-0.085624	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	100
100	135	525.800978793	115.554649266	-0.000674	-0.085650	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	120
100	135	525.569331158	115.554649266	-0.000745	-0.085650	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	140
100	135	525.340946166	115.554649266	-0.000815	-0.085650	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	160
100	135	525.161500816	115.812398042	-0.000870	-0.085571	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	180
100	135	525.076672104	116.15497553	-0.000896	-0.085466	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	200
100	135	524.858075041	116.585644372	-0.000963	-0.085334	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	220
100	135	524.77324633	116.92822186	-0.000989	-0.085229	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	240
100	135	524.460032626	117.270799347	-0.001085	-0.085124	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	260
100	135	523.915171289	117.613376835	-0.001252	-0.085019	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	280
100	135	523.141924959	117.959216966	-0.001489	-0.084913	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	300
100	135	522.316476346	118.04730832	-0.001742	-0.084886	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	320
100	135	521.628058728	118.04730832	-0.001953	-0.084886	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	340
100	135	520.884176183	117.792822186	-0.002181	-0.084964	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	360
100	135	520.185970636	117.365415987	-0.002395	-0.085095	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	380
100	135	519.389885808	116.856443719	-0.002639	-0.085251	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	400
100	135	518.499184339	116.259380098	-0.002912	-0.085434	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	420
100	135	517.517128874	115.577487765	-0.003213	-0.085643	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	440
100	135	516.479608483	114.641109299	-0.003531	-0.085930	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	460
100	135	515.670473083	113.701468189	-0.003779	-0.086218	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	480
100	135	514.903752039	112.5954323	-0.004014	-0.086557	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	500
100	135	514.270799347	111.401305057	-0.004208	-0.086923	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	520
100	135	513.866231648	110.210440457	-0.004332	-0.087288	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	540
100	135	513.693311582	109.016313214	-0.004385	-0.087654	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	560
100	135	513.66721044	108.164763458	-0.004393	-0.087915	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	580
100	135	513.696574225	107.567699837	-0.004384	-0.088098	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	600
