trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	77.601	50	0	0	2.6177	11.907	3.3761	10.203	1	5243	1
92	136.55	130	0	0	-8.8991	8.4307	-11.058	8.368	1	5969	1
93	125.63	90	0	0	-7.0312	9.8116	-6.7472	10.661	1	4949	1
94	73.126	90	0	0	3.5684	11.764	2.8044	10.145	1	2909	1
95	131.27	130	0	0	-7.9863	9.1011	-8.3907	7.852	1	2649	1
96	81.91	50	0	0	1.7073	12.011	2.0899	12.037	1	3574	1
97	45.431	50	0	0	8.5679	8.6979	7.6874	6.3613	1	3006	1
98	98.954	90	0	0	-1.8678	11.854	-6.3899	9.8587	1	3429	1
99	120.64	130	0	0	-6.1492	10.38	-8.2716	10.059	1	3916	1
100	130.09	130	0	0	-7.7345	9.1886	-9.8437	9.6007	1	2669	1
101	80.531	90	0	0	2.0183	12.101	2.0422	10.747	1	2969	1
102	82.647	50	0	0	1.5615	12.101	1.9708	11.206	1	2789	1
103	67.462	50	0	0	4.6079	11.104	3.4237	10.518	1	3424	1
104	88.862	90	0	0	0.2407	12.114	-1.8404	11.665	1	2894	1
105	122.95	130	0	0	-6.6315	10.232	-7.3903	10.919	1	2910	1
106	80.061	50	0	0	2.0773	11.854	1.3991	10.891	1	2809	1
107	87.253	90	0	0	0.5752	11.99	-0.435	12.209	1	2649	1
108	128.84	130	0	0	-7.539	9.3619	-10.296	7.6513	1	2749	1
235	100.52	90	0	0	-2.198	11.833	-5.0083	11.292	2	3933	1
236	121.55	130	0	0	-6.3004	10.261	-7.3426	8.1387	2	2870	1
237	73.629	50	0	0	3.4251	11.66	0.85125	11.665	2	2969	1
238	106.07	130	0	0	-3.3455	11.617	-7.557	8.8553	2	2809	1
239	87.179	50	0	0	0.5912	11.997	0.56541	11.951	2	2649	1
240	161.04	90	0	0	-11.396	3.9148	-12.511	2.1473	2	11729	1
241	116.33	130	0	0	-5.3895	10.888	-7.6047	9.7727	2	2649	1
242	70.504	90	0	0	4.0945	11.565	2.3281	11.263	2	3029	1
243	77.71	50	0	0	2.5809	11.847	1.3991	11.12	2	2769	1
244	64.405	50	0	0	5.2592	10.979	4.3051	10.289	2	2709	1
245	82.566	90	0	0	1.5625	11.975	-2.0071	11.751	2	2529	1
246	135.67	130	0	0	-8.6077	8.41	-10.201	6.1893	2	2949	1
247	57.528	50	0	0	6.475	10.175	6.5679	8.0527	2	3309	1
248	111.02	130	0	0	-4.3763	11.391	-6.771	10.69	2	2629	1
249	87.909	90	0	0	0.4413	12.089	0.99416	10.747	2	2849	1
250	129.9	130	0	0	-7.7707	9.2928	-9.6769	8.3393	2	2769	1
251	99.36	90	0	0	-1.9817	12.022	-2.5073	11.837	2	2550	1
252	77.972	50	0	0	2.546	11.949	2.1375	10.403	2	2590	1
379	107.78	90	0	0	-3.6914	11.514	-5.2227	11.55	3	4358	1
380	132.34	130	0	0	-8.1525	8.9478	-8.8909	8.024	3	2829	1
381	82.655	50	0	0	1.5623	12.12	3.0426	10.203	3	3288	1
382	122.02	130	0	0	-6.3715	10.19	-6.7233	10.088	3	2890	1
383	79.705	90	0	0	2.1692	11.942	2.8521	10.575	3	3742	1
384	74.954	50	0	0	3.1265	11.631	2.6615	10.432	3	2970	1
385	66.629	50	0	0	4.8033	11.115	4.3289	9.7153	3	2909	1
386	150.52	130	0	0	-10.453	5.909	-12.416	4.6987	3	4600	1
387	100.1	90	0	0	-2.111	11.852	0.11284	11.235	3	3689	1
388	82.763	90	0	0	1.513	11.915	2.471	10.805	3	2709	1
389	137.02	130	0	0	-8.7991	8.1989	-10.487	6.734	3	2569	1
390	78.591	50	0	0	2.3853	11.82	3.8525	10.489	3	2569	1
391	87.358	50	0	0	0.5627	12.194	1.018	10.919	3	2469	1
392	88.989	90	0	0	0.214	12.127	-1.4116	11.149	3	2449	1
