trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	120.09	130	0	0	-5.6885	9.8158	-9.4971	6.7273	1	4233	1
74	74.679	90	0	0	2.9888	10.909	4.2706	12.145	1	3693	1
75	50.105	50	0	0	7.3419	8.7825	9.4394	9.2787	1	4229	1
76	119.92	130	0	0	-5.6492	9.8155	-6.1624	10.97	1	3425	1
77	68.653	50	0	0	4.0689	10.411	8.9153	10.425	1	3543	1
78	117.28	90	0	0	-5.343	10.36	-5.2334	11.601	1	3549	1
79	118.18	130	0	0	-5.5405	10.342	-4.7332	12.289	1	3857	1
80	53.813	50	0	0	6.6959	9.1531	10.726	7.9027	1	4211	1
81	87.299	90	0	0	0.5488	11.632	4.4373	12.203	1	5110	1
82	130.44	130	0	0	-7.2431	8.4995	-7.0675	11.199	1	3464	1
83	37.947	50	0	0	9.1655	7.1473	11.869	6.154	1	3614	1
84	109.22	90	0	0	-3.7259	10.688	-0.68389	13.206	1	4142	1
85	111.06	130	0	0	-4.0632	10.553	-2.0178	12.862	1	3604	1
86	64.297	50	0	0	4.9672	10.32	6.9145	11.228	1	3702	1
87	114.66	90	0	0	-4.8215	10.502	-1.589	13.837	1	3532	1
88	70.511	90	0	0	3.8723	10.942	6.057	11.744	1	3636	1
89	66.499	50	0	0	4.6122	10.607	7.4147	10.483	1	3229	1
90	139.14	130	0	0	-8.6484	7.4801	-7.0437	10.397	1	4020	1
145	41.414	50	0	0	8.4633	7.4652	9.749	8.6193	2	3281	1
146	131.65	130	0	0	-7.6762	8.6295	-7.1628	10.712	2	2883	1
147	114.81	90	0	0	-4.945	10.699	-3.0182	12.919	2	3405	1
148	67.82	90	0	0	4.3824	10.749	6.2476	11.83	2	3239	1
149	130.16	130	0	0	-7.7454	9.1775	-7.6392	9.3647	2	3521	1
150	41.847	50	0	0	8.441	7.5595	11.083	7.444	2	4227	1
151	80.474	50	0	0	1.941	11.566	5.271	11.973	2	3852	1
152	122.65	90	0	0	-6.2264	9.7185	-3.9472	12.461	2	3348	1
153	103.78	130	0	0	-2.7104	11.05	-2.1369	13.263	2	3400	1
154	73.409	90	0	0	3.1782	10.667	5.0328	12.117	2	3322	1
155	134.88	130	0	0	-8.284	8.3188	-7.5677	10.569	2	3269	1
