Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	138.222599672	130	0.0	-0.085	-0.083738	-0.010189	1136	647	1	4466
74	61.6295428277	90	0.0	-0.085	0.053994	0.014983	542	809	1	8319
75	30.9244816103	50	0.0	-0.085	0.095722	-0.027656	304	659	1	2971
76	65.967098277	90	0.0	-0.085	0.046737	0.019811	563	842	1	4083
77	25.1235716973	50	0.0	-0.085	0.102820	-0.036784	258	602	1	3733
78	139.455191881	130	0.0	-0.085	-0.085359	-0.011981	1153	602	1	3389
79	104.195970254	90	0.0	-0.085	-0.027758	0.024731	893	822	1	3881
80	55.7579704213	50	0.0	-0.085	0.067198	0.013723	502	783	1	3419
81	140.48934871	130	0.0	-0.085	-0.087664	-0.012708	1172	621	1	3641
82	18.1896072757	50	0.0	-0.085	0.105240	-0.050420	253	603	1	3315
83	120.83477118	130	0.0	-0.085	-0.056931	0.010371	1052	747	1	3002
84	57.8839061908	90	0.0	-0.085	0.060837	0.011922	545	820	1	3956
85	85.2444734456	90	0.0	-0.085	0.009333	0.027188	768	837	1	3680
86	145.53289949	130	0.0	-0.085	-0.093209	-0.021018	1153	603	1	2834
87	56.3125139587	50	0.0	-0.085	0.064873	0.012319	455	789	1	3430
88	122.364999992	130	0.0	-0.085	-0.060364	0.010247	1077	746	1	3242
89	24.5637672406	50	0.0	-0.085	0.101435	-0.038637	277	623	1	3228
90	58.0007017468	90	0.0	-0.085	0.061881	0.014033	526	824	1	3321
145	43.3910880175	50	0.0	-0.085	0.081879	-0.007595	352	709	2	3317
146	137.026032395	130	0.0	-0.085	-0.082287	-0.008336	1141	633	2	2905
147	85.9244983177	90	0.0	-0.085	0.008031	0.027714	728	836	2	2862
148	123.786806301	130	0.0	-0.085	-0.061661	0.007154	1097	705	2	3125
149	85.8116351394	90	0.0	-0.085	0.008412	0.029869	790	857	2	3303
150	30.2818180054	50	0.0	-0.085	0.097805	-0.027889	306	647	2	3005
151	32.7415448149	50	0.0	-0.085	0.094404	-0.024297	317	679	2	3015
152	138.182142398	130	0.0	-0.085	-0.082574	-0.011124	1121	678	2	2703
153	81.9899560832	90	0.0	-0.085	0.015828	0.027479	735	844	2	2716
154	38.6013580638	50	0.0	-0.085	0.088773	-0.014130	408	741	2	2714
155	106.276924867	90	0.0	-0.085	-0.031618	0.023287	921	827	2	2853
156	135.358806862	130	0.0	-0.085	-0.079859	-0.006135	1104	632	2	3533
157	128.223606499	130	0.0	-0.085	-0.069860	0.003701	1060	726	2	4189
158	82.5772135319	90	0.0	-0.085	0.014843	0.028930	770	876	2	3009
159	32.4445222996	50	0.0	-0.085	0.096640	-0.023565	317	663	2	2880
160	37.0590820005	50	0.0	-0.085	0.089810	-0.017178	347	695	2	3091
161	136.611070937	130	0.0	-0.085	-0.081626	-0.007840	1108	686	2	3068
162	89.514039396	90	0.0	-0.085	0.000973	0.029716	768	834	2	3634
217	122.570873716	130	0.0	-0.085	-0.059877	0.008732	1008	765	3	3251
218	32.4012015532	50	0.0	-0.085	0.094624	-0.024947	373	718	3	3106
219	86.5586168919	90	0.0	-0.085	0.006731	0.026930	799	874	3	2935
220	141.814474248	130	0.0	-0.085	-0.088488	-0.015403	1140	650	3	2615
221	43.911545648	50	0.0	-0.085	0.082917	-0.005175	493	795	3	2975
222	83.7303812832	90	0.0	-0.085	0.012229	0.026310	744	846	3	3680
223	81.2644911738	90	0.0	-0.085	0.017388	0.028162	740	860	3	4290
224	31.2411712946	50	0.0	-0.085	0.096516	-0.026453	360	712	3	2898
225	135.200109363	130	0.0	-0.085	-0.078726	-0.006822	1114	704	3	4632
226	134.593726579	130	0.0	-0.085	-0.077574	-0.006318	1128	661	3	2716
227	84.7325318965	90	0.0	-0.085	0.010543	0.029356	761	850	3	3384
228	54.5472125937	50	0.0	-0.085	0.065943	0.007610	453	778	3	3614
229	65.4225033901	50	0.0	-0.085	0.051277	0.027115	571	812	3	2910
230	137.547921088	130	0.0	-0.085	-0.083468	-0.008644	1130	670	3	2643
231	80.7982619041	90	0.0	-0.085	0.018237	0.027577	751	860	3	2620
232	84.9084638284	90	0.0	-0.085	0.010134	0.028739	744	861	3	2738
233	31.9961904944	50	0.0	-0.085	0.096372	-0.024789	294	663	3	3720
234	135.983149773	130	0.0	-0.085	-0.079958	-0.007740	1127	668	3	4083
289	49.3444506898	50	0.0	-0.085	0.075672	0.003115	491	813	4	2996
290	123.853669551	130	0.0	-0.085	-0.062118	0.007603	1089	704	4	3191
291	78.6825118925	90	0.0	-0.085	0.021889	0.024370	658	863	4	2827
292	126.918259514	130	0.0	-0.085	-0.066467	0.003467	1111	708	4	2785
293	76.353534419	90	0.0	-0.085	0.026723	0.025069	704	842	4	3015
294	51.4915559248	50	0.0	-0.085	0.071186	0.004466	508	811	4	2807
295	86.5481052209	90	0.0	-0.085	0.006829	0.028213	767	863	4	3120
296	135.260004561	130	0.0	-0.085	-0.079580	-0.006139	1082	745	4	5339
297	47.054330872	50	0.0	-0.085	0.077181	-0.002076	512	802	4	2737
298	83.872776689	90	0.0	-0.085	0.011952	0.026337	760	875	4	2682
299	132.01649683	130	0.0	-0.085	-0.076121	-0.000508	1114	677	4	2564
300	57.1245252633	50	0.0	-0.085	0.062330	0.011438	496	804	4	3269
301	129.162820684	130	0.0	-0.085	-0.070653	0.001744	1075	704	4	2721
302	60.9724854034	50	0.0	-0.085	0.054825	0.013795	485	789	4	2795
303	89.7729541758	90	0.0	-0.085	0.000463	0.031839	808	824	4	3015
304	58.3058707556	50	0.0	-0.085	0.060464	0.012922	516	798	4	2791
305	111.350099688	130	0.0	-0.085	-0.041318	0.020702	1012	769	4	2683
306	77.6321361293	90	0.0	-0.085	0.024671	0.027511	693	864	4	2750
