Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
100	45	528.336052202	117.867862969	0.000103	-0.084941	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	0
100	45	528.378466558	117.698205546	0.000116	-0.084993	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	20
100	45	528.743882545	117.610114192	0.000228	-0.085020	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	40
100	45	528.88091354	117.525285481	0.000270	-0.085046	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	60
100	45	529.109298532	117.525285481	0.000340	-0.085046	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	80
100	45	529.340946166	117.525285481	0.000411	-0.085046	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	100
100	45	529.611745514	117.355628059	0.000494	-0.085098	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	120
100	45	529.654159869	117.182707993	0.000507	-0.085151	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	140
100	45	529.83360522	116.924959217	0.000562	-0.085230	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	160
100	45	529.876019576	116.755301794	0.000575	-0.085282	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	180
100	45	530.055464927	116.497553018	0.000630	-0.085361	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	200
100	45	530.463295269	116.239804241	0.000755	-0.085440	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	220
100	45	530.734094617	116.070146819	0.000838	-0.085492	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	240
100	45	531.102773246	115.985318108	0.000951	-0.085518	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	260
100	45	531.331158238	115.985318108	0.001021	-0.085518	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	280
100	45	531.605220228	115.812398042	0.001105	-0.085571	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	300
100	45	531.83360522	115.812398042	0.001175	-0.085571	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	320
100	45	531.970636215	115.727569331	0.001217	-0.085597	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	340
100	45	532.065252855	115.815660685	0.001246	-0.085570	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	360
