trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	44.013	50	0	0	8.6685	8.375	9.5449	7.852	1	6918	1
47	95.077	90	0	0	-1.063	11.964	-5.3422	12.037	1	8272	1
48	116.32	130	0	0	-5.3736	10.861	-7.0572	10.661	1	4844	1
49	66.479	90	0	0	4.7915	11.009	2.5897	11.693	1	4529	1
50	44.729	50	0	0	8.7921	8.7094	8.7112	7.3933	1	5446	1
51	130.61	130	0	0	-7.9016	9.2152	-11.75	5.5013	1	4768	1
52	104.82	130	0	0	-3.11	11.756	-6.0092	11.493	1	4680	1
53	72.751	90	0	0	3.6268	11.681	1.089	11.321	1	3190	1
54	39.81	50	0	0	9.2299	7.6927	9.2353	6.1607	1	3729	1
55	110.84	90	0	0	-4.2981	11.293	-6.4379	11.005	1	4231	1
56	56.536	50	0	0	6.7303	10.182	1.8751	11.951	1	3347	1
57	104.69	130	0	0	-3.0562	11.656	-6.033	9.6293	1	3569	1
58	61.402	50	0	0	5.796	10.632	3.5424	10.489	1	3625	1
59	87.655	90	0	0	0.4975	12.148	-1.936	11.751	1	3503	1
60	134.74	130	0	0	-8.4714	8.5493	-11.107	5.2147	1	3708	1
61	60.618	90	0	0	5.9005	10.479	3.8044	10.575	1	3337	1
62	44.268	50	0	0	8.7335	8.5131	8.7112	6.5047	1	3897	1
63	116.49	130	0	0	-5.3741	10.785	-7.5336	9.8587	1	3289	1
118	110.76	130	0	0	-4.3271	11.414	-7.3669	9.142	2	3657	1
119	56.275	50	0	0	6.807	10.197	3.4948	9.8873	2	3310	1
120	90.609	90	0	0	-0.1275	12.003	-1.5073	10.776	2	4421	1
121	35.515	50	0	0	9.9058	7.0697	9.2353	4.8707	2	3867	1
122	136.03	130	0	0	-8.7731	8.4629	-11.011	5.186	2	3649	1
123	73.823	90	0	0	3.3588	11.579	1.9227	10.26	2	5081	1
124	51.363	50	0	0	7.6101	9.5204	6.4246	8.196	2	3331	1
125	130.6	130	0	0	-7.8639	9.1763	-8.01	8.196	2	3029	1
126	101.72	90	0	0	-2.4456	11.793	-5.8663	9.658	2	4271	1
127	112.04	130	0	0	-4.5432	11.224	-4.6515	10.059	2	3643	1
128	36.622	50	0	0	9.7687	7.2606	8.9018	5.186	2	4117	1
129	76.918	90	0	0	2.7564	11.861	3.2804	10.747	2	4129	1
130	94.895	90	0	0	-1.0302	12.028	-1.5788	10.69	2	4129	1
131	64.808	50	0	0	5.1514	10.951	2.2562	10.26	2	4481	1
132	137.14	130	0	0	-8.8023	8.1686	-10.987	4.584	2	3995	1
133	96.565	90	0	0	-1.3832	12.019	-3.4129	10.145	2	3664	1
134	38.555	50	0	0	9.4372	7.5214	6.9248	7.1927	2	4029	1
135	118.27	130	0	0	-5.7006	10.601	-7.0096	9.0273	2	4042	1
190	53.363	50	0	0	7.183	9.659	4.519	9.916	3	3390	1
191	99.012	90	0	0	-1.9105	12.046	-4.7467	10.002	3	3530	1
192	133.39	130	0	0	-8.3167	8.7982	-10.702	4.4407	3	3594	1
193	109.47	130	0	0	-4.019	11.367	-6.0568	8.54	3	3324	1
194	40.463	50	0	0	9.2766	7.9127	9.14	3.552	3	4048	1
195	89.915	90	0	0	0.0177	12	0.51736	10.231	3	3432	1
196	113.72	130	0	0	-4.8316	10.996	-4.7944	10.002	3	5812	1
197	56.509	90	0	0	6.7266	10.166	3.1613	10.031	3	3476	1
198	43.366	50	0	0	8.8466	8.3559	6.901	6.9633	3	4321	1
199	96.984	90	0	0	-1.4778	12.063	-3.0794	10.518	3	3310	1
200	137.45	130	0	0	-8.8709	8.1442	-9.987	5.3867	3	3591	1
201	48.045	50	0	0	8.0648	8.971	5.5194	8.454	3	3129	1
202	118.27	130	0	0	-5.7453	10.684	-6.5808	8.8267	3	3204	1
203	100.72	90	0	0	-2.242	11.847	-4.056	10.002	3	3840	1
204	36.357	50	0	0	9.7434	7.1723	10.14	3.466	3	3409	1
205	54.956	50	0	0	6.9334	9.8858	7.5441	6.1033	3	3514	1
206	145.24	130	0	0	-9.9087	6.8776	-10.44	4.584	3	3302	1
207	89.286	90	0	0	0.1496	12.004	1.1843	10.145	3	3569	1
262	53.745	50	0	0	7.1524	9.7528	3.9712	9.0847	4	4178	1
263	120.02	130	0	0	-6.0049	10.394	-5.9854	8.97	4	3001	1
264	84.68	90	0	0	1.1408	12.25	-1.1024	9.4573	4	3018	1
265	40.573	50	0	0	9.208	7.8847	9.9737	4.9567	4	3132	1
266	79.305	90	0	0	2.241	11.866	3.1375	10.145	4	3376	1
267	146.07	130	0	0	-10.003	6.7298	-11.178	4.9853	4	3152	1
268	123.65	130	0	0	-6.6735	10.025	-8.534	7.9093	4	3129	1
269	99.578	90	0	0	-2.0289	12.024	-4.58	10.231	4	3380	1
270	42.092	50	0	0	8.9217	8.0592	5.972	8.97	4	3626	1
271	69.675	90	0	0	4.2287	11.416	2.7326	10.633	4	4195	1
272	40.285	50	0	0	9.2389	7.8311	9.7355	5.3293	4	4167	1
273	135.32	130	0	0	-8.6158	8.5189	-10.058	6.9347	4	2969	1
274	53.43	50	0	0	7.1945	9.6979	4.6381	8.4253	4	2896	1
275	117.81	130	0	0	-5.6397	10.694	-6.6285	9.8873	4	2989	1
276	73.521	90	0	0	3.4281	11.589	-0.55452	10.059	4	3341	1
277	128.48	130	0	0	-7.5415	9.4872	-7.3431	8.5113	4	3149	1
278	86.628	90	0	0	0.7091	12.033	-2.865	8.4827	4	3449	0
279	36.434	50	0	0	10.018	7.3946	9.2353	4.0107	4	3209	1
