trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	94.061	90	0	0	-0.862	12.142	-1.9837	12.496	1	7454	1
92	66.825	50	0	0	4.9129	11.476	6.5675	9.1133	1	2582	1
93	140.22	130	0	0	-9.4253	7.8484	-9.5821	9.1133	1	2130	1
94	109.88	90	0	0	-4.1601	11.505	-2.3648	12.84	1	2365	1
95	64.157	50	0	0	5.3251	10.995	7.7108	8.454	1	2510	1
96	148.31	130	0	0	-10.519	6.495	-11.416	6.132	1	2290	1
97	68.633	50	0	0	4.375	11.183	9.5449	5.788	1	2371	0
98	157.45	130	0	0	-11.232	4.6639	-12.536	4.7273	1	2315	1
99	101.52	90	0	0	-2.4429	11.987	-0.2925	13.127	1	2309	1
100	68.64	50	0	0	4.425	11.315	8.0919	8.3967	1	2429	1
101	149.38	130	0	0	-10.59	6.2681	-12.512	5.272	1	2269	1
102	100.74	90	0	0	-2.2941	12.091	-3.7463	11.865	1	2249	1
103	66.65	50	0	0	4.8783	11.3	6.2817	8.9413	1	2429	1
104	134.26	130	0	0	-8.4265	8.6485	-9.6297	7.6227	1	2209	1
105	96.018	90	0	0	-1.3175	12.498	-0.12577	12.123	1	2189	1
106	138.33	130	0	0	-9.0881	8.0882	-9.3439	8.626	1	2209	1
107	101.14	90	0	0	-2.4135	12.252	-2.6744	12.955	1	2149	1
108	74.612	50	0	0	3.2246	11.716	6.2578	10.833	1	2309	1
235	104.61	90	0	0	-3.1339	12.025	-3.2938	11.263	2	3213	1
236	57.121	50	0	0	6.7975	10.516	6.9962	9.056	2	2289	1
237	142.95	130	0	0	-9.9136	7.485	-10.868	7.1067	2	2269	1
238	71.301	50	0	0	3.9626	11.708	5.6862	10.002	2	2521	1
239	139.97	130	0	0	-9.3143	7.8234	-8.7008	7.508	2	2269	1
240	95.61	90	0	0	-1.1922	12.138	-1.6264	12.496	2	4087	1
241	99.65	90	0	0	-2.0496	12.054	-2.0313	11.865	2	2209	1
242	59.749	50	0	0	6.177	10.592	7.7585	8.6833	2	2249	1
243	140.67	130	0	0	-9.4398	7.7346	-10.154	6.39	2	2209	1
244	131.87	130	0	0	-8.129	9.0692	-9.6059	6.218	2	3185	1
245	69.698	50	0	0	4.3003	11.624	3.5901	10.948	2	2329	1
246	100.88	90	0	0	-2.317	12.06	-1.7931	12.267	2	2329	1
247	78.654	50	0	0	2.3737	11.829	1.3272	11.923	2	2249	1
248	125.51	130	0	0	-7.0118	9.8252	-9.725	8.1387	2	2229	1
249	85.407	90	0	0	0.98	12.199	0.51736	12.267	2	2270	1
250	143.32	130	0	0	-9.8107	7.3061	-9.5583	7.9667	2	2973	1
251	92.784	90	0	0	-0.5845	12.019	2.8755	10.862	2	2473	1
252	88.646	50	0	0	0.288	12.185	5.0669	10.203	2	2410	1
379	68.005	50	0	0	4.5879	11.358	4.6381	11.292	3	7479	1
380	91.525	90	0	0	-0.323	12.134	4.8763	10.661	3	2713	1
381	151.53	130	0	0	-10.755	5.8323	-9.6297	8.712	3	2430	1
382	87.146	50	0	0	0.6101	12.24	5.5909	9.572	3	2329	1
383	141.01	130	0	0	-9.4474	7.6475	-6.6761	10.719	3	2349	1
384	117.79	90	0	0	-5.7678	10.944	-0.64979	12.553	3	2369	1
385	123.35	50	0	0	-6.6021	10.03	2.5182	12.41	3	5509	0
386	144.66	130	0	0	-10.133	7.1854	-8.6531	9.486	3	3349	1
387	110.61	90	0	0	-4.2537	11.309	-0.45924	13.127	3	2209	1
388	87.601	50	0	0	0.5082	12.128	5.9006	9.916	3	2349	1
389	145.12	130	0	0	-9.9315	6.9231	-8.5579	8.6833	3	2601	1
390	122.8	90	0	0	-6.6183	10.269	-1.1024	11.435	3	2267	1
391	136.99	130	0	0	-9.0544	8.446	-8.6769	9.6007	3	2189	1
392	101.87	90	0	0	-2.4749	11.779	-1.3882	12.725	3	2369	1
393	81.674	50	0	0	1.7993	12.295	6.6151	8.7693	3	2404	1
394	123.86	90	0	0	-6.8502	10.211	-1.1262	11.837	3	2487	1
395	87.075	50	0	0	0.6153	12.042	6.6151	8.7407	3	2505	1
396	140.63	130	0	0	-9.3636	7.6842	-9.1772	8.5687	3	2518	1
523	63.321	50	0	0	5.3913	10.729	4.0903	10.948	4	9367	1
524	143.07	130	0	0	-9.7165	7.3043	-11.059	6.6193	4	3336	1
525	108.23	90	0	0	-3.8517	11.691	1.0414	12.037	4	2752	1
526	141.94	130	0	0	-9.7284	7.6184	-4.8182	11.722	4	2564	1
527	120.59	90	0	0	-6.1961	10.482	1.7798	10.919	4	2543	0
528	81.341	50	0	0	1.8365	12.06	7.8061	8.2247	4	2349	1
529	83.876	50	0	0	1.3213	12.316	8.2349	8.2533	4	2393	0
530	139	130	0	0	-9.1023	7.9127	-7.224	10.833	4	2244	1
531	112.8	90	0	0	-4.7687	11.343	2.2085	11.636	4	2229	1
532	79.117	50	0	0	2.3462	12.204	7.2583	8.712	4	2269	1
533	107.52	90	0	0	-3.7173	11.776	1.2558	11.665	4	2329	1
534	135.49	130	0	0	-8.7671	8.6195	-8.6055	8.454	4	2209	1
535	135.37	130	0	0	-8.5492	8.4393	-7.2478	8.97	4	2351	1
536	83.611	50	0	0	1.3715	12.249	5.6147	9.486	4	2443	1
537	111.61	90	0	0	-4.4361	11.2	0.20771	12.611	4	2289	1
538	110.41	90	0	0	-4.238	11.392	-0.43542	12.267	4	2604	1
539	123.87	130	0	0	-6.8862	10.259	-4.5562	12.811	4	2447	1
540	109.56	50	0	0	-4.114	11.579	5.0431	9.8013	4	2210	0
