trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	81.303	90	0	0	1.8493	12.089	0.83861	11.404	1	7828	1
47	53.315	50	0	0	7.2707	9.7599	9.3898	7.3333	1	4552	1
48	123.26	130	0	0	-6.7756	10.33	-7.4267	9.6267	1	4133	1
49	85.809	90	0	0	0.9098	12.415	0.19548	12.121	1	7309	1
50	112.9	130	0	0	-4.7497	11.242	-7.0218	9.684	1	5009	1
51	55.155	50	0	0	7.0874	10.18	8.1274	6.932	1	4873	1
52	92.128	90	0	0	-0.4562	12.277	-0.066531	12.092	1	4589	1
53	63.105	50	0	0	5.5848	11.011	9.2945	7.3047	1	5073	0
54	125.44	130	0	0	-7.1211	10.004	-7.9269	9.7987	1	4757	1
55	90.301	90	0	0	-0.0659	12.545	1.3865	11.891	1	3857	1
56	125.02	130	0	0	-7.1122	10.152	-9.3799	7.362	1	4469	1
57	59.216	50	0	0	6.411	10.761	7.3651	9.168	1	4285	1
58	96.18	90	0	0	-1.3075	12.075	0.57659	12.063	1	3919	1
59	128.53	130	0	0	-7.5461	9.4753	-8.2842	8.6233	1	4378	1
60	61.325	50	0	0	5.8358	10.67	8.1988	9.082	1	4336	1
61	75.956	50	0	0	3.059	12.229	5.9836	9.34	1	4209	1
62	123.19	130	0	0	-6.6724	10.202	-7.784	9.2827	1	3769	1
63	90.443	90	0	0	-0.0957	12.376	-0.59056	12.895	1	3909	1
118	87.539	90	0	0	0.5268	12.255	1.4579	11.089	2	3919	1
119	133.36	130	0	0	-8.4072	8.9029	-7.0933	9.512	2	3249	1
120	62.504	50	0	0	5.6214	10.8	8.4847	7.6487	2	3153	1
121	134.07	130	0	0	-8.4262	8.7041	-7.1885	9.598	2	3141	1
122	99.136	90	0	0	-1.9082	11.865	0.31458	11.519	2	3309	1
123	72.068	50	0	0	3.7788	11.677	8.175	9.2253	2	3503	0
124	142.78	130	0	0	-9.9143	7.5307	-8.9274	7.964	2	4669	1
125	66.465	50	0	0	4.9161	11.287	8.8419	8.5947	2	3729	0
126	105.88	90	0	0	-3.3206	11.673	-0.4	12.149	2	4393	1
127	70.156	50	0	0	4.1995	11.636	7.8653	8.8813	2	3797	1
128	137.43	130	0	0	-9.0036	8.2698	-8.4272	8.5087	2	3449	1
129	96.605	90	0	0	-1.3914	12.016	1.3388	12.092	2	3650	1
130	104.78	90	0	0	-3.1499	11.938	-0.61438	12.551	2	3789	1
131	64.481	50	0	0	5.3138	11.131	7.2937	9.426	2	3875	1
132	133.96	130	0	0	-8.461	8.7736	-8.5463	8.7667	2	3530	1
133	129.55	130	0	0	-7.9296	9.6031	-8.8559	8.48	2	3570	1
134	76.763	50	0	0	2.8006	11.905	5.3881	11.49	2	4128	1
135	99.109	90	0	0	-1.9528	12.18	-0.47146	12.207	2	3369	1
190	60.939	50	0	0	5.8713	10.566	7.7939	8.7667	3	3642	1
191	92.89	90	0	0	-0.6089	12.061	-0.25709	12.321	3	3331	1
192	131.1	130	0	0	-8.0975	9.2832	-7.7602	9.168	3	3355	1
193	93.441	90	0	0	-0.726	12.072	-0.066531	11.777	3	3391	1
194	130.96	130	0	0	-8.0091	9.2254	-8.3795	8.9387	3	3449	1
195	60.12	50	0	0	6.0491	10.528	7.3651	8.1073	3	3572	1
196	131.87	130	0	0	-8.07	9.0027	-9.0465	8.1647	3	3212	1
197	51.672	50	0	0	7.8164	9.8875	8.2703	8.4513	3	3284	1
198	98.093	90	0	0	-1.7097	12.024	-0.61438	12.465	3	3269	1
199	98.406	90	0	0	-1.7622	11.925	-0.16181	12.178	3	3570	1
200	60.004	50	0	0	6.0714	10.518	8.699	7.792	3	3746	1
201	131.1	130	0	0	-8.0626	9.2414	-8.5463	8.5947	3	3769	1
202	70.541	50	0	0	4.008	11.344	6.8411	9.2253	3	3729	1
203	130.02	130	0	0	-7.8007	9.2902	-8.7844	8.48	3	3409	1
204	96.029	90	0	0	-1.267	11.997	-0.30473	11.576	3	3649	1
205	130.91	130	0	0	-7.9137	9.1326	-8.5939	8.738	3	3589	1
206	63.243	50	0	0	5.5196	10.947	8.3894	8.4227	3	3724	1
207	100.68	90	0	0	-2.2587	11.974	0.43368	11.662	3	3969	1
262	130.99	130	0	0	-7.9068	9.0975	-8.8797	8.5087	4	3482	1
263	90.282	90	0	0	-0.0598	12.139	0.0049276	12.465	4	3630	1
264	60.05	50	0	0	6.0868	10.564	8.175	8.4513	4	3735	1
265	68.746	50	0	0	4.3772	11.254	8.1035	8.5947	4	3663	1
266	131.93	130	0	0	-8.2926	9.2333	-8.5224	8.5373	4	3549	1
267	101.25	90	0	0	-2.3891	12.011	-0.59056	12.608	4	3865	1
268	99.009	90	0	0	-1.8979	11.971	-0.97167	12.579	4	3623	1
269	133.18	130	0	0	-8.276	8.8178	-8.713	7.4193	4	3758	1
270	58.056	50	0	0	6.5885	10.567	8.3179	7.3333	4	3631	1
271	128.83	130	0	0	-7.6492	9.5032	-9.5943	6.9033	4	5108	1
272	58.44	50	0	0	6.4234	10.457	8.9372	7.104	4	3951	1
273	91.308	90	0	0	-0.2743	12.014	0.052567	12.293	4	3909	1
274	92.948	90	0	0	-0.6315	12.262	-0.23327	12.35	4	3943	1
275	61.927	50	0	0	5.7852	10.847	8.7228	7.9067	4	3501	1
276	129.26	130	0	0	-7.7815	9.5222	-8.6892	8.1933	4	3429	1
277	62.215	50	0	0	5.7561	10.924	8.6276	8.1647	4	3423	1
278	129.47	130	0	0	-7.631	9.2667	-8.7606	7.9353	4	3614	1
279	94.608	90	0	0	-0.9981	12.384	-0.25709	12.522	4	3446	1
