Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
91	130	525.820554649	120.618270799	-0.000668	-0.084098	528	395	0.0	-0.085	0	0	1	0	0
91	130	525.004893964	121.133768352	-0.000918	-0.083940	528	395	0.0	-0.085	0	0	1	0	20
91	130	523.794453507	122.340946166	-0.001289	-0.083570	528	395	0.0	-0.085	0	0	1	0	40
91	130	523.216965742	123.290375204	-0.001466	-0.083279	528	395	0.0	-0.085	0	0	1	0	61
91	130	522.101141925	124.585644372	-0.001808	-0.082882	528	395	0.0	-0.085	0	0	1	0	80
91	130	521.442088091	125.88091354	-0.002010	-0.082485	528	395	0.0	-0.085	0	0	1	0	101
91	130	521.053833605	127.003262643	-0.002129	-0.082141	528	395	0.0	-0.085	0	0	1	0	120
91	130	520.978792822	127.783034258	-0.002152	-0.081902	528	395	0.0	-0.085	0	0	1	0	140
91	130	520.812398042	128.474714519	-0.002203	-0.081690	528	395	0.0	-0.085	0	0	1	0	160
91	130	521.141924959	128.993474715	-0.002102	-0.081531	528	395	0.0	-0.085	0	0	1	0	180
91	130	521.422512235	129.251223491	-0.002016	-0.081452	528	395	0.0	-0.085	0	0	1	0	200
91	130	521.840130506	129.424143556	-0.001888	-0.081399	528	395	0.0	-0.085	0	0	1	0	220
91	130	522.254486134	129.593800979	-0.001761	-0.081347	528	395	0.0	-0.085	0	0	1	0	240
91	130	522.577487765	129.681892333	-0.001662	-0.081320	528	395	0.0	-0.085	0	0	1	0	261
91	130	522.763458401	129.851549755	-0.001605	-0.081268	528	395	0.0	-0.085	0	0	1	0	280
91	130	522.858075041	129.939641109	-0.001576	-0.081241	528	395	0.0	-0.085	0	0	1	0	300
91	130	522.815660685	130.112561175	-0.001589	-0.081188	528	395	0.0	-0.085	0	0	1	0	320
91	130	522.67862969	130.200652529	-0.001631	-0.081161	528	395	0.0	-0.085	0	0	1	0	340
91	130	522.67862969	130.200652529	-0.001631	-0.081161	528	395	0.0	-0.085	0	0	1	0	360
91	130	522.67862969	130.200652529	-0.001631	-0.081161	528	395	0.0	-0.085	0	0	1	0	380
91	130	522.587275693	130.112561175	-0.001659	-0.081188	528	395	0.0	-0.085	0	0	1	0	401
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	420
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	440
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	460
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	480
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	500
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	520
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	540
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	560
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	580
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	600
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	620
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	640
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	660
91	130	522.450244698	130.200652529	-0.001701	-0.081161	528	395	0.0	-0.085	0	0	1	0	680
91	130	522.316476346	130.28548124	-0.001742	-0.081135	528	395	0.0	-0.085	0	0	1	0	701
91	130	522.045676998	130.461663948	-0.001825	-0.081081	528	395	0.0	-0.085	0	0	1	0	720
91	130	521.044045677	130.810766721	-0.002132	-0.080974	528	395	0.0	-0.085	0	0	1	0	740
91	130	519.370309951	131.593800979	-0.002645	-0.080734	528	395	0.0	-0.085	0	0	1	0	761
91	130	517.01141925	132.383360522	-0.003368	-0.080492	528	395	0.0	-0.085	0	0	1	0	781
91	130	513.063621533	133.619902121	-0.004578	-0.080113	528	395	0.0	-0.085	0	0	1	0	800
91	130	507.722675367	135.482871126	-0.006215	-0.079542	528	395	0.0	-0.085	0	0	1	0	821
91	130	500.939641109	137.724306688	-0.008294	-0.078855	528	395	0.0	-0.085	0	0	1	0	840
91	130	492.316476346	140.624796085	-0.010937	-0.077966	528	395	0.0	-0.085	0	0	1	0	861
91	130	482.234910277	144.115823817	-0.014027	-0.076896	528	395	0.0	-0.085	0	0	1	0	880
91	130	470.623164763	148.569331158	-0.017586	-0.075531	528	395	0.0	-0.085	0	0	1	0	901
91	130	457.236541599	154.203915171	-0.021689	-0.073804	528	395	0.0	-0.085	0	0	1	0	921
91	130	442.394779772	161.30995106	-0.026238	-0.071626	528	395	0.0	-0.085	0	0	1	0	940
91	130	426.199021207	169.577487765	-0.031202	-0.069092	528	395	0.0	-0.085	0	0	1	0	961
91	130	408.391517129	179.424143556	-0.036660	-0.066074	528	395	0.0	-0.085	0	0	1	0	981
91	130	389.628058728	190.605220228	-0.042411	-0.062647	528	395	0.0	-0.085	0	0	1	0	1000
91	130	370.329526917	202.230016313	-0.048326	-0.059084	528	395	0.0	-0.085	0	0	1	0	1020
91	130	349.853181077	215.009787928	-0.054602	-0.055167	528	395	0.0	-0.085	0	0	1	0	1040
91	130	329.517128874	227.779771615	-0.060835	-0.051253	528	395	0.0	-0.085	0	0	1	0	1060
91	130	308.505709625	240.889070147	-0.067275	-0.047235	528	395	0.0	-0.085	0	0	1	0	1080
91	130	287.885807504	253.776508972	-0.073595	-0.043285	528	395	0.0	-0.085	0	0	1	0	1101
91	130	267.517128874	266.543230016	-0.079838	-0.039372	528	395	0.0	-0.085	0	0	1	0	1120
91	130	247.305057096	279.084828711	-0.086033	-0.035528	528	395	0.0	-0.085	0	0	1	0	1141
91	130	227.331158238	291.479608483	-0.092155	-0.031729	528	395	0.0	-0.085	0	0	1	0	1160
91	130	207.608482871	303.525285481	-0.098200	-0.028037	528	395	0.0	-0.085	0	0	1	0	1181
91	130	188.176182708	315.871125612	-0.104156	-0.024253	528	395	0.0	-0.085	-0.104156	-0.024253	1	0	1748
92	90	530.978792822	112.305057096	0.000913	-0.086646	528	395	0.0	-0.085	0	0	1	0	0
92	90	531.977161501	111.538336052	0.001219	-0.086881	528	395	0.0	-0.085	0	0	1	0	20
92	90	533.324632953	109.831973899	0.001632	-0.087404	528	395	0.0	-0.085	0	0	1	0	40
92	90	534.936378467	107.535073409	0.002126	-0.088108	528	395	0.0	-0.085	0	0	1	0	60
92	90	536.182707993	105.326264274	0.002508	-0.088785	528	395	0.0	-0.085	0	0	1	0	80
92	90	538.022838499	102.615008157	0.003072	-0.089616	528	395	0.0	-0.085	0	0	1	0	100
92	90	539.634584013	99.9102773246	0.003566	-0.090445	528	395	0.0	-0.085	0	0	1	0	120
92	90	540.929853181	97.5481239804	0.003963	-0.091169	528	395	0.0	-0.085	0	0	1	0	140
92	90	542.140293638	95.528548124	0.004334	-0.091788	528	395	0.0	-0.085	0	0	1	0	160
92	90	542.841761827	93.6753670473	0.004549	-0.092356	528	395	0.0	-0.085	0	0	1	0	180
92	90	542.867862969	92.6639477977	0.004557	-0.092666	528	395	0.0	-0.085	0	0	1	0	200
92	90	542.616639478	91.8221859706	0.004480	-0.092924	528	395	0.0	-0.085	0	0	1	0	220
92	90	542.143556281	91.3980424144	0.004335	-0.093054	528	395	0.0	-0.085	0	0	1	0	240
92	90	541.350734095	91.3099510604	0.004092	-0.093081	528	395	0.0	-0.085	0	0	1	0	260
92	90	540.561174551	91.2218597064	0.003850	-0.093108	528	395	0.0	-0.085	0	0	1	0	280
92	90	539.957585644	91.3034257749	0.003665	-0.093083	528	395	0.0	-0.085	0	0	1	0	300
92	90	539.122349103	91.3817292007	0.003409	-0.093059	528	395	0.0	-0.085	0	0	1	0	320
92	90	538.518760196	91.4632952692	0.003224	-0.093034	528	395	0.0	-0.085	0	0	1	0	340
92	90	538.150081566	91.5448613377	0.003111	-0.093009	528	395	0.0	-0.085	0	0	1	0	360
92	90	537.781402936	91.6296900489	0.002998	-0.092983	528	395	0.0	-0.085	0	0	1	0	380
92	90	537.641109299	91.7112561175	0.002955	-0.092958	528	395	0.0	-0.085	0	0	1	0	400
92	90	537.641109299	91.7112561175	0.002955	-0.092958	528	395	0.0	-0.085	0	0	1	0	420
