trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	150.2	130	0	0	-9.7893	5.6066	-3.2345	12.379	1	3699	1
140	152.46	90	0	0	-9.9204	5.172	-0.4	12.465	1	2169	1
141	123.39	50	0	0	-6.3506	9.6335	4.8165	11.691	1	2089	1
142	186.35	130	0	0	-11.748	-1.3079	-6.0929	11.777	1	2249	1
143	144.46	90	0	0	-9.4121	6.7247	2.8394	10.085	1	2069	1
144	88.455	50	0	0	0.3108	11.524	10.319	6.5307	1	2169	1
145	101.32	50	0	0	-2.2424	11.204	7.5557	9.3687	1	2109	1
146	126.88	90	0	0	-6.9392	9.2475	3.8399	12.637	1	2049	1
147	212.58	130	0	0	-9.8412	-6.2877	-9.1894	7.3047	1	3153	1
148	35.693	50	0	0	9.4002	6.753	8.9849	6.8173	1	2253	1
149	155.34	90	0	0	-10.476	4.8103	0.12402	12.35	1	2149	1
150	205.16	130	0	0	-10.535	-4.948	-4.8781	14.07	1	2149	1
151	218.46	130	0	0	-9.6108	-7.6344	-7.3315	12.551	1	2130	1
152	90.073	50	0	0	-0.0162	12.728	5.7931	10.487	1	2309	1
153	161.94	90	0	0	-11.123	3.6269	-2.2579	11.605	1	2070	1
154	149	90	0	0	-10.381	6.2384	1.5532	12.035	1	2357	1
155	200.45	130	0	0	-10.913	-4.0704	-7.4267	10.859	1	2506	1
156	81.043	50	0	0	1.8378	11.66	6.3885	11.49	1	2129	1
283	58.872	50	0	0	6.0849	10.076	12.439	4.7533	2	3323	1
284	204.91	130	0	0	-10.399	-4.8283	-7.8079	6.9607	2	3069	1
285	128.97	90	0	0	-7.4548	9.2148	2.8394	9.856	2	2130	1
286	180.35	50	0	0	-11.561	-0.071	4.3162	10.659	2	2309	0
287	160.13	90	0	0	-10.718	3.8723	2.5298	11.92	2	2130	1
288	223.05	130	0	0	-8.2638	-7.7197	-4.5922	10.573	2	3485	0
289	145.08	90	0	0	-9.6804	6.7571	-0.44764	10.945	2	2029	1
290	161.14	50	0	0	-10.971	3.7472	4.0304	10.458	2	2069	1
291	213.5	130	0	0	-9.6225	-6.368	-5.6165	9.2253	2	3342	1
292	199.66	130	0	0	-10.961	-3.9148	-8.7606	10.802	2	2209	1
293	89.953	50	0	0	0.0099	12.155	10.009	6.6453	2	2269	1
294	159.54	90	0	0	-10.806	4.0312	0.64805	13.181	2	4549	1
295	111.91	50	0	0	-4.4541	11.077	7.7939	10.257	2	3665	1
296	111.31	90	0	0	-4.2752	10.962	3.1967	12.407	2	3895	1
297	218.99	130	0	0	-10.428	-8.4416	-7.0456	7.792	2	3735	0
298	177.07	90	0	0	-11.747	0.6006	-0.92403	11.777	2	2519	1
299	188.38	130	0	0	-11.369	-1.6743	-8.975	10.057	2	2977	1
300	27.173	50	0	0	11.367	5.8352	6.6029	11.375	2	3023	1
427	150.1	50	0	0	-11.012	6.3329	5.4834	10.716	3	4385	1
428	143.77	90	0	0	-9.2125	6.7508	4.1257	13.353	3	2390	1
429	226.92	130	0	0	-8.1024	-8.6633	-3.6156	10.057	3	2450	0
430	129.44	50	0	0	-7.0964	8.6283	9.5089	9.1107	3	2314	1
431	145.05	90	0	0	-9.6913	6.7736	4.745	12.035	3	2575	1
432	170.49	130	0	0	-11.212	1.8785	-5.5926	10.401	3	2250	1
433	146.52	90	0	0	-9.4599	6.257	3.0062	13.353	3	2250	1
434	210.2	130	0	0	-9.8448	-5.7291	-8.3795	11.519	3	2289	1
435	105.76	50	0	0	-3.1223	11.063	7.4604	9.5693	3	2567	1
436	152.34	90	0	0	-9.9332	5.2059	0.81479	11.691	3	2089	1
437	211.15	130	0	0	-9.8804	-5.9716	-7.8317	9.5693	3	3521	1
438	116.31	50	0	0	-5.0823	10.278	6.9126	10.143	3	2164	1
439	123.05	50	0	0	-6.3495	9.7589	7.4842	8.6807	3	2109	1
440	200.02	130	0	0	-10.864	-3.9587	-6.474	10.487	3	2500	1
441	147.01	90	0	0	-10.163	6.5983	1.9343	11.576	3	2089	1
442	194.73	130	0	0	-11.299	-2.9715	-6.1405	9.3687	3	2186	1
443	210.01	50	0	0	-10.23	-5.9077	7.2937	10.831	3	2411	0
444	145.38	90	0	0	-9.5855	6.6177	-2.9487	11.003	3	2269	1
571	123.79	50	0	0	-6.2425	9.3288	5.7692	11.347	4	4447	1
572	198.11	130	0	0	-11.412	-3.7327	-4.9972	11.289	4	3569	1
573	142.72	90	0	0	-8.9471	6.8106	-2.115	11.433	4	2229	1
574	205.87	130	0	0	-10.362	-5.0251	-5.6165	12.321	4	3875	1
575	159.38	90	0	0	-11.104	4.178	0.95771	12.235	4	2109	1
576	107.99	50	0	0	-3.6269	11.167	9.4374	10.171	4	2149	1
577	193.44	130	0	0	-10.949	-2.617	-4.1158	11.031	4	2229	1
578	123.87	90	0	0	-6.454	9.6156	2.2201	11.949	4	4453	1
579	116.8	50	0	0	-5.1894	10.274	9.0087	9.426	4	2269	1
580	112.49	50	0	0	-4.4663	10.79	9.0563	8.566	4	2169	1
581	151.07	90	0	0	-9.9905	5.5214	2.5536	11.863	4	2189	1
582	214.84	130	0	0	-9.4234	-6.5604	-3.5204	11.289	4	2250	1
583	217.31	50	0	0	-9.2505	-7.0505	8.9849	9.254	4	3916	0
584	196.66	90	0	0	-10.926	-3.2694	3.7446	11.175	4	2109	1
585	206.81	130	0	0	-10.09	-5.0988	-7.4029	10.315	4	2130	1
586	150.38	90	0	0	-10.032	5.7038	1.6961	11.433	4	2190	1
587	183.89	130	0	0	-11.476	-0.7799	-5.545	10.401	4	7953	1
588	119.11	50	0	0	-5.7469	10.323	8.4847	7.5627	4	2069	1
