trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	126.47	130	0	0	-7.3478	9.9418	-7.9984	9.2253	1	9852	1
47	51.137	50	0	0	7.7371	9.6014	6.4124	7.8207	1	4392	1
48	87.916	90	0	0	0.4488	12.332	-1.5195	11.289	1	3932	1
49	39.207	50	0	0	9.5356	7.7789	9.2469	5.3553	1	4604	1
50	105.22	90	0	0	-3.2682	12.009	-5.807	10.773	1	3684	1
51	129.71	130	0	0	-7.8979	9.5083	-11.119	6.2727	1	2829	1
52	95.339	130	0	0	-1.1328	12.121	-5.7356	10.659	1	2569	1
53	72.318	90	0	0	3.691	11.578	0.40986	11.031	1	2929	1
54	68.201	50	0	0	4.5085	11.273	4.2448	10.286	1	4326	1
55	46.853	50	0	0	8.4224	8.9856	7.6272	7.5913	1	2668	1
56	93.255	90	0	0	-0.7115	12.51	-2.4723	11.232	1	2557	1
57	134.42	130	0	0	-8.7861	8.9658	-11.19	5.212	1	2509	1
58	96.887	130	0	0	-1.4531	12.03	-6.2596	10.229	1	2649	1
59	47.267	50	0	0	8.4285	9.1232	8.6514	5.6993	1	2950	1
60	98.445	90	0	0	-1.7981	12.111	-4.3064	10.945	1	2529	1
61	60.263	90	0	0	5.9912	10.488	3.8637	10.286	1	2825	1
62	76.867	50	0	0	2.8027	12.012	1.8152	10.802	1	3431	1
63	130.54	130	0	0	-7.9882	9.3382	-10.833	6.3587	1	3851	1
118	37.738	50	0	0	9.7105	7.5155	8.7228	6.3587	2	3459	1
119	129.99	130	0	0	-7.8893	9.4041	-11.19	4.868	2	3545	0
120	89.293	90	0	0	0.1498	12.136	-2.5676	12.293	2	2869	1
121	141.23	130	0	0	-9.3775	7.5311	-11.595	6.416	2	3029	1
122	65.984	90	0	0	4.9549	11.121	1.8152	10.716	2	2909	1
123	43.485	50	0	0	8.8151	8.3608	9.2231	5.1833	2	3779	1
124	133.27	130	0	0	-8.4037	8.9273	-11.524	6.3587	2	3249	1
125	97.798	90	0	0	-1.6384	11.964	-4.354	11.289	2	3521	1
126	71.379	50	0	0	3.9067	11.595	4.7688	9.6553	2	4029	1
127	132.67	130	0	0	-8.1952	8.8912	-10.714	5.728	2	3631	1
128	70.355	50	0	0	4.1021	11.492	3.4349	10.028	2	3747	1
129	93.289	90	0	0	-0.7018	12.211	-0.018892	11.49	2	3551	1
130	102.55	90	0	0	-2.6353	11.834	-3.1631	11.691	2	3507	1
131	108.25	130	0	0	-3.7659	11.419	-5.545	10.257	2	3247	1
