Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	90.6584544234	130	0.0	-0.085	-0.001279	0.026288	874	645	1	3398
74	16.8813402813	50	0.0	-0.085	0.110684	-0.051411	382	393	1	2320
75	72.2982921243	90	0.0	-0.085	0.034758	0.023900	676	614	1	2475
76	88.1371359417	90	0.0	-0.085	0.003673	0.027930	807	636	1	2478
77	42.0085747568	50	0.0	-0.085	0.083695	-0.009618	415	441	1	2328
78	130.575743356	130	0.0	-0.085	-0.072299	-0.000575	1186	470	1	2301
79	58.5876933401	90	0.0	-0.085	0.061598	0.015865	543	578	1	2345
80	112.306604301	130	0.0	-0.085	-0.043934	0.022087	1069	553	1	2249
81	40.5914081077	50	0.0	-0.085	0.084488	-0.012607	395	400	1	2189
82	84.3960924626	90	0.0	-0.085	0.011042	0.027536	713	630	1	2229
83	52.0987815688	50	0.0	-0.085	0.072130	0.007651	489	471	1	2170
84	118.818116994	130	0.0	-0.085	-0.055185	0.015306	1175	479	1	2170
85	90.7878645041	130	0.0	-0.085	-0.001601	0.031422	886	607	1	2169
86	45.7763919164	50	0.0	-0.085	0.080873	-0.001905	475	455	1	2189
87	82.6017526359	90	0.0	-0.085	0.014810	0.029058	788	616	1	2209
88	59.8636919781	50	0.0	-0.085	0.056105	0.011645	541	547	1	2131
89	104.431093251	90	0.0	-0.085	-0.028102	0.024204	1098	566	1	2209
90	133.460604002	130	0.0	-0.085	-0.079917	-0.000669	1246	357	1	2249
145	67.4460468827	50	0.0	-0.085	0.043703	0.020228	689	641	2	2451
146	102.579720118	90	0.0	-0.085	-0.024751	0.025914	1012	618	2	2282
147	64.0675174744	130	0.0	-0.085	0.049707	0.017220	632	584	2	2209
148	59.9098021118	50	0.0	-0.085	0.057204	0.013721	577	582	2	2290
149	139.477681418	130	0.0	-0.085	-0.084939	-0.012398	1222	376	2	2109
150	105.795295818	90	0.0	-0.085	-0.031342	0.025795	1043	609	2	2309
151	68.9605880794	90	0.0	-0.085	0.042730	0.026087	706	609	2	2310
152	71.8504110124	130	0.0	-0.085	0.036036	0.024930	714	660	2	2249
153	46.5579923461	50	0.0	-0.085	0.079133	-0.001442	493	514	2	2209
154	98.7726491219	130	0.0	-0.085	-0.017533	0.028615	1015	593	2	2209
155	78.6276279612	50	0.0	-0.085	0.023030	0.029501	809	619	2	2209
156	71.7997782513	90	0.0	-0.085	0.037466	0.028952	655	584	2	2229
157	66.7803066452	90	0.0	-0.085	0.045540	0.021152	661	585	2	2189
158	112.632723384	130	0.0	-0.085	-0.044451	0.021615	1100	523	2	2149
159	43.1143856702	50	0.0	-0.085	0.083551	-0.006775	422	496	2	2209
160	63.9311011572	90	0.0	-0.085	0.053062	0.023462	628	601	2	2209
161	82.8610255207	50	0.0	-0.085	0.014300	0.029174	755	621	2	2249
162	122.186702845	130	0.0	-0.085	-0.061645	0.012941	1204	375	2	2229
217	101.332400333	130	0.0	-0.085	-0.022603	0.027785	1039	607	3	2209
218	39.9594362644	50	0.0	-0.085	0.085808	-0.013102	448	440	3	2109
219	62.0670577118	90	0.0	-0.085	0.055936	0.020498	609	610	3	2109
220	99.5611001067	90	0.0	-0.085	-0.019292	0.029534	962	622	3	2129
221	80.4747071611	130	0.0	-0.085	0.019283	0.029919	761	621	3	2189
222	57.3968068378	50	0.0	-0.085	0.062925	0.013381	556	554	3	2129
223	86.9692681175	90	0.0	-0.085	0.006140	0.030968	883	633	3	2129
224	33.4480117386	50	0.0	-0.085	0.101777	-0.017768	422	456	3	2129
225	83.4936760709	130	0.0	-0.085	0.013633	0.034538	849	626	3	2149
226	122.391200312	130	0.0	-0.085	-0.062124	0.012925	1157	510	3	2189
227	74.1587709577	90	0.0	-0.085	0.030503	0.022500	1183	447	3	6989
228	92.3729727005	50	0.0	-0.085	-0.004888	0.032954	921	633	3	2149
229	44.9138711182	90	0.0	-0.085	0.085944	0.000686	484	508	3	2190
230	82.1886981769	50	0.0	-0.085	0.015310	0.026602	790	607	3	2169
231	81.7925002645	130	0.0	-0.085	0.016485	0.029292	888	581	3	2189
232	75.7963124412	50	0.0	-0.085	0.029812	0.032784	703	582	3	2350
233	75.6269036188	90	0.0	-0.085	0.029544	0.030291	792	614	3	2282
234	100.460696001	130	0.0	-0.085	-0.020800	0.027658	882	631	3	2210
289	50.8255122537	50	0.0	-0.085	0.075142	0.007217	529	505	4	2616
290	101.516437908	130	0.0	-0.085	-0.023411	0.029900	1037	561	4	2256
291	72.030529094	90	0.0	-0.085	0.035678	0.025005	649	617	4	2110
292	43.7576207056	50	0.0	-0.085	0.084799	-0.003801	444	476	4	2180
293	75.5230256428	90	0.0	-0.085	0.028463	0.025241	761	640	4	2618
294	122.316041323	130	0.0	-0.085	-0.061171	0.011703	1210	461	4	2264
295	59.8375290311	50	0.0	-0.085	0.058617	0.015866	534	537	4	2246
296	82.6889034969	130	0.0	-0.085	0.014906	0.031181	690	622	4	2129
297	73.9960032112	90	0.0	-0.085	0.032325	0.027701	755	632	4	2189
298	101.919522872	90	0.0	-0.085	-0.024446	0.030809	1058	580	4	2209
299	81.8298851625	130	0.0	-0.085	0.016404	0.029258	774	607	4	2189
300	93.6927662196	50	0.0	-0.085	-0.007746	0.035018	904	622	4	2249
301	71.5356513323	90	0.0	-0.085	0.038061	0.028988	668	607	4	2369
302	57.598345385	130	0.0	-0.085	0.062917	0.014135	530	570	4	2345
303	81.2562882788	50	0.0	-0.085	0.018105	0.032716	709	597	4	2390
304	90.1924924019	130	0.0	-0.085	-0.000384	0.029298	895	638	4	2203
305	85.5803766745	50	0.0	-0.085	0.008839	0.029361	1053	580	4	4853
306	75.3479113344	90	0.0	-0.085	0.030628	0.032146	801	616	4	2220
