trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	81.024	90	0	0	1.9201	12.156	0.43562	10.589	1	28928	1
92	66.401	50	0	0	4.8591	11.123	4.6993	8.7253	1	2649	1
93	123.21	130	0	0	-6.712	10.253	-8.3776	7.9513	1	2370	1
94	73.615	50	0	0	3.4805	11.837	2.9128	9.9867	1	2449	1
95	109.27	90	0	0	-4.0843	11.68	-4.5665	10.302	1	2369	1
96	118.74	130	0	0	-5.7818	10.544	-8.3061	8.2953	1	2508	1
97	95.665	130	0	0	-1.204	12.138	-2.4227	10.732	1	3568	1
98	62.065	50	0	0	5.8213	10.978	4.7469	9.8433	1	2451	1
99	97.66	90	0	0	-1.6348	12.155	-1.2556	10.302	1	2509	1
100	69.2	50	0	0	4.3059	11.335	5.271	8.9547	1	2708	1
101	97.014	130	0	0	-1.5045	12.229	-2.4704	10.474	1	2649	1
102	122.98	90	0	0	-6.708	10.338	-8.1394	7.2347	1	2529	1
103	59.044	90	0	0	6.3581	10.6	5.3901	8.9833	1	2429	1
104	123.22	130	0	0	-6.8191	10.413	-7.4963	8.2953	1	2449	1
105	88.83	50	0	0	0.2533	12.399	-0.49334	10.302	1	2549	1
106	90.762	50	0	0	-0.1658	12.474	-0.13604	11.133	1	2429	1
107	66.454	90	0	0	4.7975	11.009	5.3662	9.184	1	2609	1
108	127.05	130	0	0	-7.2642	9.6211	-9.4018	7.55	1	3316	1
235	71.057	90	0	0	3.9698	11.567	1.2217	10.617	2	3170	1
236	135.57	130	0	0	-9.0118	8.8356	-9.8782	6.0307	2	2370	1
237	66.903	50	0	0	4.9067	11.505	3.8894	9.5567	2	2430	1
238	119.5	90	0	0	-6.0375	10.67	-6.4958	9.2987	2	2587	1
239	86.757	130	0	0	0.6792	11.988	-1.7081	10.789	2	2689	1
240	55.207	50	0	0	7.1513	10.292	7.248	7.206	2	4009	1
241	76.819	90	0	0	2.8633	12.226	2.2459	10.273	2	2570	1
242	90.082	50	0	0	-0.0171	12.01	0.4118	11.42	2	3089	1
243	126.74	130	0	0	-7.1826	9.6213	-7.7821	8.4673	2	2509	1
244	133.09	130	0	0	-8.2415	8.8103	-9.5447	6.4033	2	3349	1
245	80.819	90	0	0	1.9283	11.93	1.1502	10.961	2	2929	1
246	95.12	50	0	0	-1.0899	12.165	-2.3274	10.617	2	2729	1
247	68.475	130	0	0	4.5968	11.655	4.9613	9.1267	2	2509	1
248	104.93	50	0	0	-3.189	11.96	-4.2092	9.8433	2	2709	1
249	82.338	90	0	0	1.6147	12.002	2.2697	10.273	2	2549	1
250	57.215	130	0	0	6.6268	10.289	6.3667	7.4353	2	2649	1
251	65.4	50	0	0	5.1317	11.209	4.6517	9.0693	2	2709	1
252	122.02	90	0	0	-6.5912	10.541	-7.8297	8.4387	2	2410	1
379	82.409	90	0	0	1.5877	11.914	1.6266	10.675	3	3110	1
380	114.71	50	0	0	-5.0588	10.992	-6.1624	9.786	3	2329	1
381	134.6	130	0	0	-8.5344	8.6533	-9.5685	5.9733	3	2629	1
382	83.361	130	0	0	1.4236	12.23	1.1264	10.245	3	2549	1
383	123.37	90	0	0	-6.672	10.129	-7.2581	8.3527	3	2269	1
384	64.892	50	0	0	5.356	11.43	6.319	7.5787	3	3496	1
385	112.24	90	0	0	-4.591	11.227	-5.2572	9.442	3	2449	1
386	85.682	50	0	0	0.9109	12.065	0.50708	11.305	3	2389	1
387	134.74	130	0	0	-8.6971	8.777	-9.1398	7.4067	3	2409	1
388	67.614	130	0	0	4.586	11.134	5.3186	8.8113	3	2350	1
389	85.848	50	0	0	0.9031	12.441	1.841	11.076	3	2390	1
390	132.86	90	0	0	-8.429	9.0828	-9.1636	7.3493	3	3237	1
391	84.893	50	0	0	1.0809	12.094	0.17361	10.847	3	2609	1
392	115.54	90	0	0	-5.2198	10.922	-6.0671	9.872	3	2350	1
393	70.968	130	0	0	4.0097	11.624	3.7703	9.098	3	2489	1
394	123.39	130	0	0	-6.7159	10.19	-7.5439	8.754	3	2569	1
395	82.932	50	0	0	1.5038	12.129	1.3884	10.732	3	2589	1
396	128.47	90	0	0	-7.5773	9.5353	-7.925	8.8113	3	2473	1
523	41.983	50	0	0	9.1311	8.2169	7.5338	7.1487	4	10385	1
524	98.173	90	0	0	-1.7897	12.461	-3.3755	10.703	4	2509	1
525	99.974	130	0	0	-2.0824	11.842	-2.2322	10.646	4	2309	1
526	115.82	130	0	0	-5.4011	11.164	-7.8059	7.808	4	2790	1
527	82.852	90	0	0	1.5656	12.484	1.8172	10.216	4	3281	1
528	69.012	50	0	0	4.3635	11.374	5.0328	9.2413	4	2468	1
529	109.27	90	0	0	-3.9806	11.384	-4.9238	10.675	4	2570	1
530	127.96	130	0	0	-7.4557	9.5554	-8.1632	7.9227	4	2430	1
531	53.04	50	0	0	7.3976	9.8311	7.5338	7.0627	4	2430	1
532	123.25	90	0	0	-6.8653	10.472	-6.9008	9.098	4	2370	1
533	44.145	50	0	0	8.9509	8.6878	8.4866	5.6867	4	2409	1
534	135.56	130	0	0	-8.584	8.4192	-9.0922	7.1773	4	2169	1
535	57.587	90	0	0	6.6939	10.543	6.8669	7.0053	4	2289	1
536	45.095	50	0	0	8.6596	8.6885	9.0106	5.6293	4	2329	1
537	137.9	130	0	0	-9.0572	8.1851	-9.4494	6.4893	4	2369	1
538	51.456	90	0	0	7.5078	9.4239	7.4862	6.9193	4	2369	1
539	79.457	50	0	0	2.2191	11.924	2.7461	10.187	4	3592	1
540	123.03	130	0	0	-6.9046	10.62	-6.6388	9.8147	4	2329	1
