trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	78.041	90	0	0	2.4049	11.354	-0.11223	10.933	1	2489	1
140	63.782	50	0	0	5.0558	10.267	5.0328	9.098	1	2109	1
141	122.83	130	0	0	-6.1222	9.4891	-6.2576	8.7253	1	2036	1
142	71.269	50	0	0	3.7168	10.961	3.1749	8.8973	1	2049	1
143	107.96	90	0	0	-3.5492	10.948	-3.6137	10.015	1	1984	1
144	116.76	130	0	0	-5.0068	9.9284	-5.8527	8.8973	1	2009	1
145	93.436	130	0	0	-0.6842	11.395	-0.51716	10.101	1	1974	1
146	59.872	50	0	0	5.7953	9.986	7.7006	6.8047	1	2029	1
147	96.589	90	0	0	-1.303	11.28	-1.8749	11.076	1	2029	1
148	67.579	50	0	0	4.3421	10.524	4.6278	9.27	1	2129	1
149	95.733	130	0	0	-1.1489	11.444	-1.4461	11.477	1	2029	1
150	123	90	0	0	-6.2378	9.6036	-7.9726	7.894	1	2049	1
151	57.224	90	0	0	6.2206	9.6615	7.51	7.6073	1	2009	1
152	123.03	130	0	0	-6.2937	9.6812	-7.7821	8.066	1	2069	1
153	85.535	50	0	0	0.9265	11.865	2.7223	9.9867	1	2129	1
154	89.551	50	0	0	0.0919	11.716	0.29271	10.646	1	2049	1
155	65.603	90	0	0	4.6703	10.297	5.3901	8.6107	1	1989	1
156	127.27	130	0	0	-6.7178	8.8293	-8.6396	7.6647	1	2029	1
283	68.532	90	0	0	4.2178	10.725	3.818	10.245	2	2230	1
284	136.77	130	0	0	-8.6127	8.0974	-9.0683	7.1773	2	2210	1
285	64.95	50	0	0	4.9376	10.565	4.6517	9.442	2	2269	1
286	118.02	90	0	0	-5.3388	10.034	-7.2581	9.4133	2	2249	1
287	84.996	130	0	0	0.9843	11.242	-0.3266	10.933	2	3043	1
288	55.73	50	0	0	6.716	9.8562	6.581	8.668	2	3141	1
289	76.752	90	0	0	2.6636	11.314	1.0549	10.675	2	2169	1
290	89.27	50	0	0	0.1437	11.279	-0.70771	11.105	2	2209	1
291	127.07	130	0	0	-6.7241	8.9012	-7.5915	7.808	2	2069	1
292	132.07	130	0	0	-7.5925	8.413	-9.6638	6.862	2	2089	1
293	78.513	90	0	0	2.2327	10.986	4.1515	10.159	2	3814	1
294	92.933	50	0	0	-0.5866	11.449	0.29271	10.904	2	2551	1
295	66.906	130	0	0	4.6516	10.909	5.1281	9.27	2	2320	1
296	103.48	50	0	0	-2.7188	11.339	-3.6137	10.359	2	2297	1
297	80.048	90	0	0	1.9642	11.195	1.8648	11.42	2	2329	1
298	55.635	130	0	0	6.6006	9.6526	7.8911	6.6613	2	2319	1
299	63.133	50	0	0	5.328	10.517	7.0336	7.6073	2	2682	1
300	121.85	90	0	0	-6.1603	9.9164	-7.6392	8.9833	2	2149	1
427	79.879	90	0	0	1.9979	11.193	-0.15986	11.133	3	2390	1
428	113.38	50	0	0	-4.5132	10.441	-6.7579	9.7573	3	2269	1
429	132.88	130	0	0	-7.649	8.2382	-9.378	5.8013	3	2149	1
430	80.504	130	0	0	1.9017	11.369	2.2459	11.363	3	3082	1
431	122.03	90	0	0	-5.9734	9.5501	-8.2585	8.7827	3	2189	1
432	63.993	50	0	0	5.1729	10.603	5.6997	8.754	3	2169	1
433	110.48	90	0	0	-3.9957	10.698	-6.4482	9.7287	3	2183	1
434	84.057	50	0	0	1.172	11.258	1.3884	10.761	3	2209	1
435	134.4	130	0	0	-8.1035	8.2746	-10.045	6.9767	3	2129	1
436	65.301	130	0	0	4.8288	10.499	5.3424	9.2413	3	2209	1
437	84.613	50	0	0	1.0911	11.571	2.9843	10.273	3	2190	1
438	131.11	90	0	0	-7.6807	8.8001	-9.0445	7.464	3	2130	1
439	81.618	50	0	0	1.698	11.524	1.1264	10.847	3	2190	1
440	114.28	90	0	0	-4.6775	10.367	-7.9965	9.098	3	2129	1
441	68.589	130	0	0	4.2552	10.852	5.5568	9.1267	3	2109	1
442	122.3	130	0	0	-6.118	9.6766	-7.8297	8.7827	3	2130	1
443	79.928	50	0	0	2.0781	11.7	2.3412	9.9867	3	2189	1
444	127.25	90	0	0	-6.9061	9.082	-8.5919	8.496	3	2129	1
571	40.57	50	0	0	8.7567	7.4974	8.034	7.1773	4	2070	1
572	96.091	90	0	0	-1.2674	11.878	-1.3508	11.277	4	2189	1
573	99.962	130	0	0	-1.976	11.25	-2.3036	11.42	4	2109	1
574	114.16	130	0	0	-4.7479	10.582	-5.1381	10.417	4	2109	1
575	80.23	90	0	0	2.0493	11.902	2.8652	10.904	4	2069	1
576	68.144	50	0	0	4.3082	10.741	4.1991	9.9007	4	1949	1
577	107.51	90	0	0	-3.4545	10.949	-2.8753	11.907	4	1970	1
578	126.13	130	0	0	-6.6471	9.1045	-7.1628	9.9867	4	1929	1
579	53.1	50	0	0	7.1429	9.5135	6.4858	9.1267	4	1969	1
580	122.27	90	0	0	-6.3352	10.031	-7.8535	8.1233	4	1990	1
581	44.481	50	0	0	8.2045	8.0572	9.1059	6.1453	4	2050	1
582	134.17	130	0	0	-7.8989	8.1299	-8.9254	7.6073	4	2030	1
583	57.28	90	0	0	6.4049	9.9689	7.0336	8.6967	4	1990	1
584	47.984	50	0	0	7.8611	8.7258	8.439	6.9767	4	1869	1
585	136.86	130	0	0	-8.393	7.864	-9.0207	7.2347	4	1850	1
586	49.67	90	0	0	7.2099	8.4927	8.7486	6.3173	4	1869	1
587	78.536	50	0	0	2.2338	11.015	3.7703	11.105	4	1949	1
588	122.14	130	0	0	-6.2526	9.9537	-6.7579	9.5567	4	1829	1
