trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	42.908	50	0	0	8.9705	8.3381	-14.428	-7.5	1	7764	0
47	102.6	130	0	0	-2.6998	12.076	-4.757	12.022	1	3946	1
48	59.382	90	0	0	10.52	17.776	-15.643	-7.5	1	8491	0
49	128.44	130	0	0	-7.4795	9.4237	-7.5439	8.8113	1	9217	1
50	79.766	50	0	0	2.2442	12.43	0.57854	11.277	1	6232	1
51	102.01	90	0	0	-2.639	12.407	-2.9229	11.764	1	4964	1
52	76.062	130	0	0	3.0459	12.273	-15.19	2.906	1	4487	0
53	93.468	90	0	0	-0.7636	12.599	-1.4938	13.455	1	4026	1
54	45.496	50	0	0	8.4378	8.5851	8.2246	10.388	1	4045	1
55	125.45	130	0	0	-7.4085	10.404	-8.1632	11.305	1	3743	1
56	102.14	90	0	0	-2.6089	12.133	-4.0424	13.398	1	3869	1
57	77.273	50	0	0	2.7995	12.395	2.365	13.427	1	3830	1
58	100.97	90	0	0	-2.4349	12.565	-4.0663	15.118	1	3509	1
59	37.187	50	0	0	9.6606	7.3294	-7.4248	-7.5	1	6229	0
60	92.47	130	0	0	-0.5329	12.356	-0.15986	14.545	1	4334	1
61	136.21	130	0	0	-8.9573	8.5867	-12.284	12.223	1	3070	0
62	74.864	50	0	0	3.1526	11.655	-11.355	-7.5	1	3589	0
63	95.489	90	0	0	-1.1507	11.975	-1.9463	13.943	1	5206	1
118	51.441	50	0	0	7.5398	9.4589	7.0812	8.926	2	3629	1
119	83.716	90	0	0	1.3319	12.095	1.841	12.165	2	2949	1
120	131.36	130	0	0	-7.9649	9.0456	-8.2108	11.535	2	4079	1
121	126.39	130	0	0	-7.3661	9.9943	-8.1394	11.477	2	2989	1
122	79.284	50	0	0	2.2679	11.984	4.08	13.398	2	2589	1
123	123.63	90	0	0	-6.7826	10.198	-7.9488	12.796	2	2959	1
124	49.097	50	0	0	8.0599	9.3035	6.9622	9.012	2	4232	1
125	106.17	130	0	0	-3.3609	11.588	-2.9229	11.42	2	3740	1
126	97.238	90	0	0	-1.5129	11.912	-0.56479	11.764	2	4789	1
127	102.99	90	0	0	-2.7124	11.763	-2.2798	12.337	2	2849	1
128	139.99	130	0	0	-9.4315	7.9165	-10.879	7.6073	2	2810	1
129	92.716	50	0	0	-0.593	12.503	1.6981	11.907	2	2809	1
130	112.48	130	0	0	-4.629	11.188	-4.1139	11.105	2	3389	1
131	49.033	50	0	0	7.9165	9.1174	8.7962	8.8687	2	3330	1
