Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
91	50	0.108756934444	-0.0342858085911	-0.000759	-0.085019	528	395	0.0	-0.085	0	0	1	0	1
91	50	0.108756934444	-0.0342858085911	-0.000829	-0.085019	528	395	0.0	-0.085	0	0	1	0	21
91	50	0.108756934444	-0.0342858085911	-0.001153	-0.084992	528	395	0.0	-0.085	0	0	1	0	41
91	50	0.108756934444	-0.0342858085911	-0.001745	-0.085018	528	395	0.0	-0.085	0	0	1	0	61
91	50	0.108756934444	-0.0342858085911	-0.002325	-0.085095	528	395	0.0	-0.085	0	0	1	0	81
91	50	0.108756934444	-0.0342858085911	-0.003033	-0.085224	528	395	0.0	-0.085	0	0	1	0	101
91	50	0.108756934444	-0.0342858085911	-0.003633	-0.085510	528	395	0.0	-0.085	0	0	1	0	121
91	50	0.108756934444	-0.0342858085911	-0.004345	-0.085769	528	395	0.0	-0.085	0	0	1	0	141
91	50	0.108756934444	-0.0342858085911	-0.005170	-0.086000	528	395	0.0	-0.085	0	0	1	0	161
91	50	0.108756934444	-0.0342858085911	-0.005955	-0.086256	528	395	0.0	-0.085	0	0	1	0	181
91	50	0.108756934444	-0.0342858085911	-0.006781	-0.086485	528	395	0.0	-0.085	0	0	1	0	202
91	50	0.108756934444	-0.0342858085911	-0.007512	-0.086818	528	395	0.0	-0.085	0	0	1	0	221
91	50	0.108756934444	-0.0342858085911	-0.008311	-0.087019	528	395	0.0	-0.085	0	0	1	0	241
91	50	0.108756934444	-0.0342858085911	-0.009093	-0.087140	528	395	0.0	-0.085	0	0	1	0	261
91	50	0.108756934444	-0.0342858085911	-0.009733	-0.087263	528	395	0.0	-0.085	0	0	1	0	281
91	50	0.108756934444	-0.0342858085911	-0.010221	-0.087439	528	395	0.0	-0.085	0	0	1	0	301
91	50	0.108756934444	-0.0342858085911	-0.010521	-0.087514	528	395	0.0	-0.085	0	0	1	0	321
91	50	0.108756934444	-0.0342858085911	-0.010721	-0.087563	528	395	0.0	-0.085	0	0	1	0	341
91	50	0.108756934444	-0.0342858085911	-0.010904	-0.087534	528	395	0.0	-0.085	0	0	1	0	361
91	50	0.108756934444	-0.0342858085911	-0.010957	-0.087455	528	395	0.0	-0.085	0	0	1	0	381
91	50	0.108756934444	-0.0342858085911	-0.010940	-0.087377	528	395	0.0	-0.085	0	0	1	0	401
91	50	0.108756934444	-0.0342858085911	-0.010852	-0.087300	528	395	0.0	-0.085	0	0	1	0	421
91	50	0.108756934444	-0.0342858085911	-0.010682	-0.087276	528	395	0.0	-0.085	0	0	1	0	441
91	50	0.108756934444	-0.0342858085911	-0.010511	-0.087252	528	395	0.0	-0.085	0	0	1	0	461
91	50	0.108756934444	-0.0342858085911	-0.010270	-0.087230	528	395	0.0	-0.085	0	0	1	0	481
91	50	0.108756934444	-0.0342858085911	-0.010128	-0.087232	528	395	0.0	-0.085	0	0	1	0	501
91	50	0.108756934444	-0.0342858085911	-0.009916	-0.087234	528	395	0.0	-0.085	0	0	1	0	521
91	50	0.108756934444	-0.0342858085911	-0.009763	-0.087289	528	395	0.0	-0.085	0	0	1	0	541
91	50	0.108756934444	-0.0342858085911	-0.009568	-0.087370	528	395	0.0	-0.085	0	0	1	0	561
91	50	0.108756934444	-0.0342858085911	-0.009497	-0.087371	528	395	0.0	-0.085	0	0	1	0	581
91	50	0.108756934444	-0.0342858085911	-0.009455	-0.087397	528	395	0.0	-0.085	0	0	1	0	601
91	50	0.108756934444	-0.0342858085911	-0.009455	-0.087397	528	395	0.0	-0.085	0	0	1	0	621
91	50	0.108756934444	-0.0342858085911	-0.009455	-0.087397	528	395	0.0	-0.085	0	0	1	0	641
91	50	0.108756934444	-0.0342858085911	-0.009526	-0.087396	528	395	0.0	-0.085	0	0	1	0	661
91	50	0.108756934444	-0.0342858085911	-0.009526	-0.087396	528	395	0.0	-0.085	0	0	1	0	681
91	50	0.108756934444	-0.0342858085911	-0.009526	-0.087396	528	395	0.0	-0.085	0	0	1	0	701
91	50	0.108756934444	-0.0342858085911	-0.009526	-0.087396	528	395	0.0	-0.085	0	0	1	0	721
