Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
100	90	528.848287113	118.125611746	0.000260	-0.084862	528	395	0.0	-0.085	0.0	0.035	1	0	0
100	90	528.848287113	118.125611746	0.000260	-0.084862	528	395	0.0	-0.085	0.0	0.035	1	0	20
100	90	529.171288744	118.2137031	0.000359	-0.084835	528	395	0.0	-0.085	0.0	0.035	1	0	40
100	90	529.722675367	118.298531811	0.000528	-0.084809	528	395	0.0	-0.085	0.0	0.035	1	0	60
100	90	530.371941272	118.471451876	0.000727	-0.084756	528	395	0.0	-0.085	0.0	0.035	1	0	80
100	90	530.923327896	118.556280587	0.000896	-0.084730	528	395	0.0	-0.085	0.0	0.035	1	0	100
100	90	531.706362153	118.644371941	0.001136	-0.084703	528	395	0.0	-0.085	0.0	0.035	1	0	120
100	90	532.261011419	118.732463295	0.001306	-0.084676	528	395	0.0	-0.085	0.0	0.035	1	0	140
100	90	532.907014682	118.905383361	0.001504	-0.084623	528	395	0.0	-0.085	0.0	0.035	1	0	160
100	90	533.461663948	118.990212072	0.001674	-0.084597	528	395	0.0	-0.085	0.0	0.035	1	0	180
100	90	533.647634584	119.163132137	0.001731	-0.084544	528	395	0.0	-0.085	0.0	0.035	1	0	200
100	90	533.970636215	119.251223491	0.001830	-0.084517	528	395	0.0	-0.085	0.0	0.035	1	0	220
100	90	534.156606852	119.420880914	0.001887	-0.084465	528	395	0.0	-0.085	0.0	0.035	1	0	240
100	90	534.251223491	119.508972268	0.001916	-0.084438	528	395	0.0	-0.085	0.0	0.035	1	0	260
100	90	534.114192496	119.593800979	0.001874	-0.084412	528	395	0.0	-0.085	0.0	0.035	1	0	280
100	90	534.114192496	119.593800979	0.001874	-0.084412	528	395	0.0	-0.085	0.0	0.035	1	0	300
100	90	534.114192496	119.593800979	0.001874	-0.084412	528	395	0.0	-0.085	0.0	0.035	1	0	320
100	90	534.114192496	119.593800979	0.001874	-0.084412	528	395	0.0	-0.085	0.0	0.035	1	0	340
100	90	534.114192496	119.593800979	0.001874	-0.084412	528	395	0.0	-0.085	0.0	0.035	1	0	360
100	90	534.114192496	119.593800979	0.001874	-0.084412	528	395	0.0	-0.085	0.0	0.035	1	0	380
100	90	534.114192496	119.593800979	0.001874	-0.084412	528	395	0.0	-0.085	0.0	0.035	1	0	400
100	90	534.114192496	119.593800979	0.001874	-0.084412	528	395	0.0	-0.085	0.0	0.035	1	0	420
100	90	534.251223491	119.508972268	0.001916	-0.084438	528	395	0.0	-0.085	0.0	0.035	1	0	440
100	90	534.251223491	119.508972268	0.001916	-0.084438	528	395	0.0	-0.085	0.0	0.035	1	0	460
100	90	534.479608483	119.508972268	0.001986	-0.084438	528	395	0.0	-0.085	0.0	0.035	1	0	480
100	90	534.616639478	119.424143556	0.002028	-0.084464	528	395	0.0	-0.085	0.0	0.035	1	0	500
100	90	534.753670473	119.339314845	0.002070	-0.084490	528	395	0.0	-0.085	0.0	0.035	1	0	520
100	90	535.11908646	119.254486134	0.002182	-0.084516	528	395	0.0	-0.085	0.0	0.035	1	0	540
100	90	535.350734095	119.254486134	0.002253	-0.084516	528	395	0.0	-0.085	0.0	0.035	1	0	560
100	90	535.673735726	119.339314845	0.002352	-0.084490	528	395	0.0	-0.085	0.0	0.035	1	0	580
100	90	536.13050571	119.342577488	0.002492	-0.084489	528	395	0.0	-0.085	0.0	0.035	1	0	600
100	90	536.456769984	119.430668842	0.002592	-0.084462	528	395	0.0	-0.085	0.0	0.035	1	0	620
100	90	536.64274062	119.600326264	0.002649	-0.084410	528	395	0.0	-0.085	0.0	0.035	1	0	640
100	90	536.734094617	119.688417618	0.002677	-0.084383	528	395	0.0	-0.085	0.0	0.035	1	0	660
100	90	536.965742251	119.688417618	0.002748	-0.084383	528	395	0.0	-0.085	0.0	0.035	1	0	680
100	90	537.194127243	119.688417618	0.002818	-0.084383	528	395	0.0	-0.085	0.0	0.035	1	0	700
100	90	537.517128874	119.776508972	0.002917	-0.084356	528	395	0.0	-0.085	0.0	0.035	1	0	720
100	90	537.882544861	119.691680261	0.003029	-0.084382	528	395	0.0	-0.085	0.0	0.035	1	0	740
100	90	538.205546493	119.779771615	0.003128	-0.084355	528	395	0.0	-0.085	0.0	0.035	1	0	760
100	90	538.486133768	120.037520392	0.003214	-0.084276	528	395	0.0	-0.085	0.0	0.035	1	0	780
100	90	538.672104405	120.210440457	0.003271	-0.084223	528	395	0.0	-0.085	0.0	0.035	1	0	800
100	90	538.95269168	120.471451876	0.003357	-0.084143	528	395	0.0	-0.085	0.0	0.035	1	0	820
100	90	539.004893964	120.729200653	0.003373	-0.084064	528	395	0.0	-0.085	0.0	0.035	1	0	840
100	90	539.1908646	120.902120718	0.003430	-0.084011	528	395	0.0	-0.085	0.0	0.035	1	0	860
100	90	539.334420881	121.244698206	0.003474	-0.083906	528	395	0.0	-0.085	0.0	0.035	1	0	880
100	90	539.432300163	121.763458401	0.003504	-0.083747	528	395	0.0	-0.085	0.0	0.035	1	0	900
100	90	539.168026101	122.363784666	0.003423	-0.083563	528	395	0.0	-0.085	0.0	0.035	1	0	920
100	90	538.900489396	122.96411093	0.003341	-0.083379	528	395	0.0	-0.085	0.0	0.035	1	0	940
100	90	538.727569331	123.652528548	0.003288	-0.083168	528	395	0.0	-0.085	0.0	0.035	1	0	960
100	90	538.241435563	124.686786297	0.003139	-0.082851	528	395	0.0	-0.085	0.0	0.035	1	0	980
100	90	537.481239804	125.890701468	0.002906	-0.082482	528	395	0.0	-0.085	0.0	0.035	1	0	1000
100	90	537.034257749	126.752039152	0.002769	-0.082218	528	395	0.0	-0.085	0.0	0.035	1	0	1020
100	90	536.685154976	127.701468189	0.002662	-0.081927	528	395	0.0	-0.085	0.0	0.035	1	0	1040
100	90	536.877650897	128.308319739	0.002721	-0.081741	528	395	0.0	-0.085	0.0	0.035	1	0	1060
100	90	536.933115824	129.0	0.002738	-0.081529	528	395	0.0	-0.085	0.0	0.035	1	0	1080
100	90	537.125611746	129.603588907	0.002797	-0.081344	528	395	0.0	-0.085	0.0	0.035	1	0	1100
100	90	537.272430669	130.383360522	0.002842	-0.081105	528	395	0.0	-0.085	0.0	0.035	1	0	1120
100	90	537.243066884	131.424143556	0.002833	-0.080786	528	395	0.0	-0.085	0.0	0.035	1	0	1140
100	90	537.034257749	132.722675367	0.002769	-0.080388	528	395	0.0	-0.085	0.0	0.035	1	0	1160
100	90	536.414355628	134.282218597	0.002579	-0.079910	528	395	0.0	-0.085	0.0	0.035	1	0	1180
100	90	535.941272431	136.194127243	0.002434	-0.079324	528	395	0.0	-0.085	0.0	0.035	1	0	1200
100	90	534.473083197	138.885807504	0.001984	-0.078499	528	395	0.0	-0.085	0.0	0.035	1	0	1220
100	90	533.239804241	142.021207178	0.001606	-0.077538	528	395	0.0	-0.085	0.0	0.035	1	0	1240
100	90	531.745513866	145.776508972	0.001148	-0.076387	528	395	0.0	-0.085	0.0	0.035	1	0	1260
100	90	529.986949429	150.15497553	0.000609	-0.075045	528	395	0.0	-0.085	0.0	0.035	1	0	1280
100	90	528.061990212	155.254486134	0.000019	-0.073482	528	395	0.0	-0.085	0.0	0.035	1	0	1300
100	90	526.326264274	160.993474715	-0.000513	-0.071723	528	395	0.0	-0.085	0.0	0.035	1	0	1320
100	90	524.505709625	167.10766721	-0.001071	-0.069849	528	395	0.0	-0.085	0.0	0.035	1	0	1340
100	90	522.783034258	173.783034258	-0.001599	-0.067803	528	395	0.0	-0.085	0.0	0.035	1	0	1360
100	90	521.735725938	180.48776509	-0.001920	-0.065748	528	395	0.0	-0.085	0.0	0.035	1	0	1380
100	90	520.815660685	187.13050571	-0.002202	-0.063712	528	395	0.0	-0.085	0.0	0.035	1	0	1400
100	90	520.205546493	193.893964111	-0.002389	-0.061639	528	395	0.0	-0.085	0.0	0.035	1	0	1420
100	90	519.63132137	200.500815661	-0.002565	-0.059614	528	395	0.0	-0.085	0.0	0.035	1	0	1440
100	90	519.314845024	206.954323002	-0.002662	-0.057636	528	395	0.0	-0.085	0.0	0.035	1	0	1460
100	90	518.907014682	213.342577488	-0.002787	-0.055678	528	395	0.0	-0.085	0.0	0.035	1	0	1480
100	90	518.753670473	219.57096248	-0.002834	-0.053769	528	395	0.0	-0.085	0.0	0.035	1	0	1500
100	90	518.417618271	225.639477977	-0.002937	-0.051909	528	395	0.0	-0.085	0.0	0.035	1	0	1520
100	90	518.120717781	232.008156607	-0.003028	-0.049957	528	395	0.0	-0.085	0.0	0.035	1	0	1540
100	90	517.468189233	238.494290375	-0.003228	-0.047969	528	395	0.0	-0.085	0.0	0.035	1	0	1560
100	90	516.632952692	245.75040783	-0.003484	-0.045745	528	395	0.0	-0.085	0.0	0.035	1	0	1580
100	90	515.491027732	253.414355628	-0.003834	-0.043396	528	395	0.0	-0.085	0.0	0.035	1	0	1600
100	90	514.515497553	261.769983687	-0.004133	-0.040835	528	395	0.0	-0.085	0.0	0.035	1	0	1620
100	90	513.530179445	270.634584013	-0.004435	-0.038118	528	395	0.0	-0.085	0.0	0.035	1	0	1640
100	90	512.443719413	280.402936378	-0.004768	-0.035124	528	395	0.0	-0.085	0.0	0.035	1	0	1660
100	90	511.641109299	290.794453507	-0.005014	-0.031939	528	395	0.0	-0.085	0.0	0.035	1	0	1680
100	90	510.776508972	301.913539967	-0.005279	-0.028531	528	395	0.0	-0.085	0.0	0.035	1	0	1700
