trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	70.731	90	0	0	3.9785	11.381	-1.3508	-0.82066	1	14590	0
47	113.93	130	0	0	-4.9022	11.049	-0.85063	-0.534	1	5610	0
48	73.801	50	0	0	3.3523	11.54	-1.5652	0.64134	1	13938	0
49	100.08	130	0	0	-2.1034	11.829	-11.212	2.8773	1	7808	1
50	103.5	90	0	0	-2.8114	11.712	-3.3755	10.187	1	5129	1
51	58.111	50	0	0	6.3627	10.227	6.8192	5.8873	1	6201	1
52	28.878	50	0	0	10.555	5.8216	7.9626	6.4033	1	4469	1
53	118.31	130	0	0	-5.7696	10.709	-4.4474	9.8433	1	3449	1
54	74.362	90	0	0	3.2778	11.71	-1.1126	10.015	1	3535	1
55	95.018	90	0	0	-1.0539	12.003	-3.0658	9.6427	1	3709	1
56	129.98	130	0	0	-7.7285	9.216	-7.9012	6.7187	1	3929	1
57	66.816	50	0	0	4.7376	11.062	1.7219	9.5567	1	3499	1
58	109.64	130	0	0	-4.0525	11.357	-4.4235	10.015	1	3549	1
59	39.497	50	0	0	9.4035	7.7508	8.2008	5.9447	1	3749	1
60	92.905	90	0	0	-0.6188	12.194	-0.30278	10.359	1	3829	1
61	49.741	50	0	0	7.7807	9.188	5.2233	6.69	1	4765	1
62	137.07	130	0	0	-8.8826	8.2624	-8.9731	4.54	1	3543	1
63	106.67	90	0	0	-3.4477	11.516	-6.5435	8.4673	1	4110	1
118	65.888	90	0	0	4.959	11.079	4.6278	8.8113	2	4249	1
119	122.42	130	0	0	-6.4928	10.224	-6.8293	8.3527	2	3571	1
120	49.711	50	0	0	7.893	9.3108	5.5092	8.1233	2	3510	1
121	129.07	130	0	0	-7.7091	9.4978	-7.2581	7.2633	2	3309	1
122	69.309	50	0	0	4.298	11.38	3.8656	8.926	2	3429	1
123	119.8	90	0	0	-6.0098	10.493	-5.7336	10.044	2	3990	1
124	21.071	50	0	0	11.219	4.3225	7.1051	5.4573	2	3954	1
125	78.356	90	0	0	2.4524	11.9	1.5551	9.1267	2	3549	1
126	125.24	130	0	0	-6.9943	9.9019	-5.1381	8.2093	2	3369	1
127	88.657	90	0	0	0.2814	12.007	-1.6605	9.4707	2	3750	1
128	131.4	130	0	0	-8.0055	9.0817	-8.0679	7.464	2	4126	1
129	78.324	50	0	0	2.4626	11.917	1.3884	10.474	2	4001	1
130	67.115	90	0	0	4.7413	11.232	3.6989	9.098	2	4275	1
131	101	130	0	0	-2.3048	11.853	-4.6856	9.9867	2	3583	1
132	52.108	50	0	0	7.5046	9.6427	6.6049	7.0627	2	3709	1
133	94.78	90	0	0	-1.0052	12.021	-3.8757	8.582	2	4385	1
134	66.419	50	0	0	4.8115	11.023	4.3897	7.9513	2	5056	1
135	136.69	130	0	0	-8.7518	8.2509	-9.7353	4.4827	2	3449	1
190	71.285	90	0	0	3.9786	11.744	1.8886	8.6393	3	4183	1
191	39.563	50	0	0	9.368	7.7396	6.4619	6.088	3	3788	1
192	131.03	130	0	0	-7.9576	9.1442	-6.6149	8.2093	3	3110	1
193	103.27	130	0	0	-2.7702	11.743	-5.5907	9.0407	3	3109	1
194	94.111	90	0	0	-0.8666	12.058	-2.3513	9.442	3	3417	1
195	71.9	50	0	0	3.7799	11.564	1.8172	9.098	3	3569	1
196	64.566	90	0	0	5.2547	11.049	3.818	8.3527	3	3353	1
197	114.92	130	0	0	-5.0573	10.886	-4.9952	8.4387	3	3613	1
198	37.297	50	0	0	9.8548	7.5066	5.6044	7.0053	3	3373	1
199	54.474	50	0	0	6.9983	9.8017	2.5079	8.8687	3	3541	1
200	100.31	90	0	0	-2.1547	11.85	-3.1611	8.6967	3	4051	1
201	143.36	130	0	0	-9.7929	7.2823	-7.5201	6.088	3	3269	1
202	76.567	90	0	0	2.7942	11.699	2.627	8.8113	3	3423	1
203	114.28	130	0	0	-5.0165	11.119	-5.7813	8.3813	3	3565	1
204	44.285	50	0	0	8.7678	8.5516	4.6993	7.55	3	3711	1
205	132.68	130	0	0	-8.357	9.0641	-6.5197	7.6073	3	4515	1
206	76.351	50	0	0	2.8825	11.871	2.5794	8.754	3	3928	1
207	121.09	90	0	0	-6.2408	10.351	-5.7813	7.2633	3	4210	1
262	69.01	90	0	0	4.5036	11.738	2.1506	9.098	4	3229	1
263	118.84	130	0	0	-5.8418	10.61	-5.1619	8.926	4	2989	1
264	52.774	50	0	0	7.4552	9.8127	4.1515	7.9513	4	3678	1
265	128.8	130	0	0	-7.6046	9.4572	-6.6864	7.636	4	3688	1
266	69.232	50	0	0	4.2959	11.328	2.8652	8.7827	4	3008	1
267	111.62	90	0	0	-4.4738	11.286	-4.0424	9.1553	4	3184	1
268	69.633	90	0	0	4.2166	11.358	2.5794	8.4387	4	3169	1
269	140.98	130	0	0	-9.4818	7.6828	-6.7102	7.8367	4	3542	1
270	48.396	50	0	0	8.1401	9.167	4.8899	8.0087	4	3109	1
271	54.782	50	0	0	6.9485	9.8434	3.7465	8.7253	4	3029	1
