trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	25.876	50	0	0	10.898	5.286	9.2012	4.282	1	8394	1
47	128.02	130	0	0	-7.4955	9.5852	-7.2104	7.6933	1	7334	1
48	87.591	90	0	0	0.5049	11.999	-1.327	11.363	1	5855	1
49	46.872	50	0	0	8.5223	9.0982	3.9847	8.9547	1	5095	1
50	113.54	90	0	0	-4.9239	11.301	-5.7098	9.184	1	11975	1
51	133.18	130	0	0	-8.2416	8.7824	-7.5201	7.2347	1	15055	1
52	43.979	50	0	0	8.896	8.5845	7.3671	8.238	1	5727	1
53	114.79	130	0	0	-5.0723	10.983	-5.2572	10.044	1	4743	1
54	80.438	90	0	0	2.0568	12.21	1.5075	9.442	1	7526	1
55	130.84	130	0	0	-8.1494	9.4272	-8.1156	7.722	1	16176	1
56	98.899	90	0	0	-1.8829	12.026	-1.7558	9.9867	1	9144	1
57	73.539	50	0	0	3.486	11.798	4.3182	9.4133	1	6582	1
58	45.503	50	0	0	8.5713	8.7231	7.4624	6.7187	1	3892	1
59	112.38	130	0	0	-4.6142	11.207	-4.8523	9.3847	1	6604	1
60	84.227	90	0	0	1.2318	12.184	-0.4457	10.875	1	3910	1
61	64.989	50	0	0	5.1882	11.121	5.3901	9.012	1	7651	1
62	100.8	90	0	0	-2.2807	11.952	-3.4231	10.56	1	3147	1
63	145.95	130	0	0	-9.9793	6.7441	-8.8301	6.604	1	8761	1
118	70.57	90	0	0	4.0827	11.574	3.4131	10.101	2	6167	1
119	114.6	130	0	0	-5.0458	11.023	-6.8531	9.4707	2	3161	1
120	59.026	50	0	0	6.2151	10.354	5.8665	8.582	2	2989	1
121	100.73	90	0	0	-2.2761	12.016	-2.2322	9.786	2	3193	1
122	130.92	130	0	0	-7.9412	9.1609	-7.1866	6.2027	2	3009	1
123	73.646	50	0	0	3.4397	11.722	1.7695	10.331	2	2929	1
124	50.305	50	0	0	7.7822	9.3753	6.2952	8.7253	2	2769	1
125	111.92	130	0	0	-4.5373	11.278	-5.9718	10.015	2	3450	1
126	82.358	90	0	0	1.6405	12.226	0.74527	10.761	2	2669	1
